Player,Tm,Rushing Att,Rushing Yds,Rushing TD,Rushing Lng,week,year,game_id
Will Levis,TEN,4,2,0,4,11.0,2023,155
Chris Moore,TEN,1,38,0,38,11.0,2023,155
Derrick Henry,TEN,10,38,0,16,11.0,2023,155
Tyjae Spears,TEN,4,14,0,5,11.0,2023,155
DeAndre Hopkins,TEN,0,0,0,0,11.0,2023,155
Kyle Philips,TEN,0,0,0,0,11.0,2023,155
Josh Whyle,TEN,0,0,0,0,11.0,2023,155
Nick Westbrook-Ikhine,TEN,0,0,0,0,11.0,2023,155
Chigoziem Okonkwo,TEN,0,0,0,0,11.0,2023,155
Jeffery Simmons,TEN,0,0,0,0,11.0,2023,155
Trevor Lawrence,JAX,5,17,2,9,11.0,2023,155
Travis Etienne,JAX,14,52,0,11,11.0,2023,155
Tank Bigsby,JAX,9,21,0,6,11.0,2023,155
D'Ernest Johnson,JAX,7,20,0,9,11.0,2023,155
Calvin Ridley,JAX,1,18,0,18,11.0,2023,155
Christian Kirk,JAX,0,0,0,0,11.0,2023,155
Evan Engram,JAX,0,0,0,0,11.0,2023,155
Luke Farrell,JAX,0,0,0,0,11.0,2023,155
Zay Jones,JAX,0,0,0,0,11.0,2023,155
