Quarter,Time,Down,ToGo,Location,MIN,DEN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Broncos won the coin toss and deferred, Vikings to receive the opening kickoff.",,,11.0,2023,163
1.0,15:00,,,DEN 35,0.0,0.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,163
1.0,15:00,1.0,10.0,MIN 25,0.0,0.0,Alexander Mattison for 4 yards (tackle by Zach Allen and Alex Singleton),0.61,0.6,11.0,2023,163
1.0,14:20,2.0,6.0,MIN 29,0.0,0.0,Joshua Dobbs pass complete short right to Josh Oliver for 5 yards (tackle by Justin Simmons),0.6,0.56,11.0,2023,163
1.0,13:38,3.0,1.0,MIN 34,0.0,0.0,"Joshua Dobbs left end for no gain. Joshua Dobbs fumbles (forced by Baron Browning), recovered by Ja'Quan McMillian at MIN-34 and returned for 4 yards (tackle by K.J. Osborn)",0.56,-3.58,11.0,2023,163
1.0,13:30,1.0,10.0,MIN 30,0.0,0.0,Russell Wilson pass complete short left to Jerry Jeudy for 6 yards (tackle by Camryn Bynum),3.58,3.84,11.0,2023,163
1.0,12:59,2.0,4.0,MIN 24,0.0,0.0,Russell Wilson pass complete short right to Jaleel McLaughlin for 9 yards (tackle by Byron Murphy and Ivan Pace),3.84,4.58,11.0,2023,163
1.0,12:20,1.0,10.0,MIN 15,0.0,0.0,Javonte Williams up the middle for 2 yards (tackle by Ivan Pace),4.58,4.28,11.0,2023,163
1.0,11:52,2.0,8.0,MIN 13,0.0,0.0,Russell Wilson sacked by Danielle Hunter for -7 yards,4.28,2.68,11.0,2023,163
1.0,11:13,3.0,15.0,MIN 20,0.0,0.0,Russell Wilson pass complete short right to Samaje Perine for 7 yards (tackle by Josh Metellus),2.68,2.57,11.0,2023,163
1.0,10:31,4.0,8.0,MIN 13,0.0,3.0,Wil Lutz 31 yard field goal good,2.57,3.0,11.0,2023,163
1.0,10:28,,,DEN 35,0.0,3.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,163
1.0,10:28,1.0,10.0,MIN 25,0.0,3.0,Alexander Mattison left end for 15 yards (tackle by Alex Singleton),0.61,1.6,11.0,2023,163
1.0,9:54,1.0,10.0,MIN 40,0.0,3.0,Alexander Mattison right tackle for 1 yard (tackle by Mike Purcell and Jonathon Cooper),1.6,1.19,11.0,2023,163
1.0,9:25,2.0,9.0,MIN 41,0.0,3.0,Joshua Dobbs pass complete short middle to Josh Oliver for 10 yards (tackle by Alex Singleton),1.19,2.32,11.0,2023,163
1.0,8:39,1.0,10.0,DEN 49,0.0,3.0,Joshua Dobbs pass complete short left to K.J. Osborn for 7 yards (tackle by Kareem Jackson),2.32,2.73,11.0,2023,163
1.0,7:56,2.0,3.0,DEN 42,0.0,3.0,"Alexander Mattison right guard for no gain (tackle by Jonathon Cooper). Penalty on Josh Oliver: Offensive Holding, 10 yards (accepted) (no play)",2.73,1.38,11.0,2023,163
1.0,7:44,2.0,13.0,MIN 48,0.0,3.0,Joshua Dobbs scrambles left end for 5 yards (tackle by Alex Singleton),1.38,1.36,11.0,2023,163
1.0,6:57,3.0,8.0,DEN 47,0.0,3.0,Joshua Dobbs pass incomplete deep middle intended for T.J. Hockenson (defended by Justin Simmons),1.36,0.13,11.0,2023,163
