Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,week,year,game_id
DeAndre Hopkins,TEN,5,4,59,1,2.0,49,12.3,10,2.5,12.6,0,,0,0.0,0,155.4,11.0,2023,155
Tyjae Spears,TEN,2,2,12,0,,-4,-2.0,16,8.0,-2.0,1,2.0,0,0.0,0,91.7,11.0,2023,155
Derrick Henry,TEN,2,1,6,0,0.0,-5,-5.0,11,11.0,-6.5,0,,0,0.0,0,56.2,11.0,2023,155
Chris Moore,TEN,1,1,49,0,1.0,49,49.0,0,0.0,49.0,0,,0,0.0,0,118.7,11.0,2023,155
Chigoziem Okonkwo,TEN,2,1,6,0,,6,6.0,0,0.0,12.0,0,,0,0.0,0,56.2,11.0,2023,155
Kyle Philips,TEN,1,1,10,0,1.0,-4,-4.0,14,14.0,-4.0,0,,0,0.0,0,108.3,11.0,2023,155
Jeffery Simmons,TEN,1,1,2,1,1.0,2,2.0,0,0.0,2.0,0,,0,0.0,0,118.7,11.0,2023,155
Nick Westbrook-Ikhine,TEN,1,1,7,0,1.0,5,5.0,2,2.0,5.0,0,,0,0.0,0,95.8,11.0,2023,155
Josh Whyle,TEN,2,1,7,0,,-2,-2.0,9,9.0,5.5,0,,0,0.0,0,58.3,11.0,2023,155
Calvin Ridley,JAX,9,7,103,2,6.0,88,12.6,15,2.1,12.2,0,,0,0.0,0,153.9,11.0,2023,155
Evan Engram,JAX,6,4,29,0,1.0,24,6.0,5,1.3,12.5,0,,0,0.0,0,77.8,11.0,2023,155
Zay Jones,JAX,4,4,20,0,,17,4.3,3,0.8,4.3,0,,0,0.0,0,87.5,11.0,2023,155
Travis Etienne,JAX,3,3,7,0,1.0,-8,-2.7,15,5.0,-2.7,0,,0,0.0,0,79.2,11.0,2023,155
Christian Kirk,JAX,6,3,48,0,3.0,43,14.3,5,1.7,13.5,0,,0,0.0,0,77.1,11.0,2023,155
Luke Farrell,JAX,2,2,21,0,1.0,5,2.5,16,8.0,2.5,0,,0,0.0,0,110.4,11.0,2023,155
D'Ernest Johnson,JAX,1,1,34,0,1.0,10,10.0,24,24.0,10.0,0,,0,0.0,0,118.7,11.0,2023,155
