Unnamed: 0,SEA,LAR,week,year,game_id
First Downs,16,20,11.0,2023,161
Rush-Yds-TDs,21-68-0,27-82-1,11.0,2023,161
Cmp-Att-Yd-TD-INT,24-40-236-1-1,17-31-190-1-1,11.0,2023,161
Sacked-Yards,2-13,1-5,11.0,2023,161
Net Pass Yards,223,185,11.0,2023,161
Total Yards,291,267,11.0,2023,161
Fumbles-Lost,0-0,0-0,11.0,2023,161
Turnovers,1,1,11.0,2023,161
Penalties-Yards,12-130,9-92,11.0,2023,161
Third Down Conv.,5-15,2-9,11.0,2023,161
Fourth Down Conv.,2-2,0-1,11.0,2023,161
Time of Possession,32:06,27:54,11.0,2023,161
