Quarter,Time,Tm,Detail,LVR,MIA,week,year,game_id
1.0,6:41,Raiders,Daniel Carlson 34 yard field goal,3,0,11.0,2023,156
,2:03,Dolphins,Tyreek Hill 38 yard pass from Tua Tagovailoa (Jason Sanders kick),3,7,11.0,2023,156
,0:01,Raiders,Davante Adams 46 yard pass from Aidan O'Connell (Daniel Carlson kick),10,7,11.0,2023,156
2.0,2:28,Dolphins,Salvon Ahmed 11 yard pass from Tua Tagovailoa (Jason Sanders kick),10,14,11.0,2023,156
,0:05,Raiders,Daniel Carlson 47 yard field goal,13,14,11.0,2023,156
3.0,5:26,Dolphins,Jason Sanders 41 yard field goal,13,17,11.0,2023,156
,0:25,Dolphins,Jason Sanders 51 yard field goal,13,20,11.0,2023,156
