Unnamed: 0,NYJ,BUF,week,year,game_id
First Downs,14,22,11.0,2023,162
Rush-Yds-TDs,18-63-0,38-130-0,11.0,2023,162
Cmp-Att-Yd-TD-INT,15-30-132-1-2,20-32-275-3-1,11.0,2023,162
Sacked-Yards,6-40,1-12,11.0,2023,162
Net Pass Yards,92,263,11.0,2023,162
Total Yards,155,393,11.0,2023,162
Fumbles-Lost,2-2,1-0,11.0,2023,162
Turnovers,4,1,11.0,2023,162
Penalties-Yards,5-35,8-77,11.0,2023,162
Third Down Conv.,0-11,5-13,11.0,2023,162
Fourth Down Conv.,4-5,1-1,11.0,2023,162
Time of Possession,23:09,36:51,11.0,2023,162
