Quarter,Time,Down,ToGo,Location,LVR,MIA,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Dolphins won the coin toss and deferred, Raiders to receive the opening kickoff.",,,11.0,2023,156
1.0,15:00,,,MIA 35,0.0,0.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,156
1.0,15:00,1.0,10.0,LVR 25,0.0,0.0,Aidan O'Connell pass complete short right to Michael Mayer for 17 yards (tackle by Xavien Howard),0.61,1.73,11.0,2023,156
1.0,14:06,1.0,10.0,LVR 42,0.0,0.0,"Josh Jacobs left end for 7 yards. Penalty on Dylan Parham: Offensive Holding, 10 yards (accepted) (no play)",1.73,1.07,11.0,2023,156
1.0,13:55,1.0,20.0,LVR 32,0.0,0.0,Aidan O'Connell pass complete short right to Davante Adams for no gain (tackle by Raekwon Davis),1.07,-0.16,11.0,2023,156
1.0,13:12,2.0,20.0,LVR 32,0.0,0.0,Aidan O'Connell pass complete short left to Davante Adams for 4 yards (tackle by Jalen Ramsey),-0.16,-0.29,11.0,2023,156
1.0,12:24,3.0,16.0,LVR 36,0.0,0.0,"Aidan O'Connell pass complete short left to Michael Mayer for no gain. Michael Mayer fumbles (forced by Andrew Van Ginkel), recovered by Jevon Holland at LV-40, touchdown Replay Assistant challenged the fumble ruling, and the original play was overturned. Aidan O'Connell pass incomplete short left intended for Michael Mayer (defended by Andrew Van Ginkel)",-0.29,-0.98,11.0,2023,156
1.0,12:20,4.0,16.0,LVR 36,0.0,0.0,"AJ Cole punts 50 yards, returned by Cedrick Wilson for 14 yards (tackle by Jesper Horsted). Penalty on Elijah Campbell: Defensive Illegal Blindside Block, 14 yards (accepted)",-0.98,0.28,11.0,2023,156
1.0,12:06,1.0,10.0,MIA 14,0.0,0.0,De'Von Achane right tackle for 1 yard (tackle by John Jenkins),-0.28,-0.64,11.0,2023,156
1.0,11:40,2.0,9.0,MIA 15,0.0,0.0,Tua Tagovailoa pass complete short right to Tyreek Hill for 5 yards (tackle by Marcus Peters),-0.64,-0.68,11.0,2023,156
1.0,11:04,3.0,4.0,MIA 20,0.0,0.0,"Tua Tagovailoa scrambles up the middle for 6 yards (tackle by Luke Masterson) LVR challenged the fumble ruling, and the original play was overturned. Tua Tagovailoa scrambles up the middle for 7 yards. Tua Tagovailoa fumbles (forced by Luke Masterson), recovered by Marcus Epps at MIA-31 and returned for 1 yard",-0.68,-3.58,11.0,2023,156
1.0,10:58,1.0,10.0,MIA 30,0.0,0.0,Josh Jacobs right guard for 2 yards (tackle by Bradley Chubb),3.58,3.3,11.0,2023,156
1.0,10:21,2.0,8.0,MIA 28,0.0,0.0,Josh Jacobs left tackle for 1 yard (tackle by Bradley Chubb),3.3,2.74,11.0,2023,156
1.0,9:38,3.0,7.0,MIA 27,0.0,0.0,Aidan O'Connell pass complete short right to Michael Mayer for 12 yards (tackle by Xavien Howard),2.74,4.58,11.0,2023,156
1.0,9:14,1.0,10.0,MIA 15,0.0,0.0,"Aidan O'Connell pass complete short middle to Hunter Renfrow for no gain. Penalty on Michael Mayer: Offensive Pass Interference, 10 yards (accepted) (no play)",4.58,3.91,11.0,2023,156
1.0,8:57,1.0,20.0,MIA 25,0.0,0.0,Aidan O'Connell pass complete short right to Davante Adams for 7 yards (tackle by Xavien Howard),3.91,3.56,11.0,2023,156
1.0,8:13,2.0,13.0,MIA 18,0.0,0.0,Aidan O'Connell pass complete short right to Davante Adams for -1 yards (tackle by Xavien Howard),3.56,2.79,11.0,2023,156
1.0,7:30,3.0,14.0,MIA 19,0.0,0.0,Aidan O'Connell pass complete short left to Hunter Renfrow for 3 yards (tackle by Kader Kohou),2.79,2.38,11.0,2023,156
1.0,6:46,4.0,11.0,MIA 16,3.0,0.0,Daniel Carlson 34 yard field goal good,2.38,3.0,11.0,2023,156
1.0,6:41,,,LVR 35,3.0,0.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,156
1.0,6:41,1.0,10.0,MIA 25,3.0,0.0,Tua Tagovailoa pass complete short middle to De'Von Achane for 4 yards (tackle by Tyree Wilson and Marcus Peters),0.61,0.6,11.0,2023,156
1.0,6:02,2.0,6.0,MIA 29,3.0,0.0,Raheem Mostert up the middle for 7 yards (tackle by John Jenkins and Divine Deablo),0.6,1.33,11.0,2023,156
1.0,5:20,1.0,10.0,MIA 36,3.0,0.0,Tua Tagovailoa pass complete short right to Tyreek Hill for 1 yard (tackle by Marcus Peters),1.33,0.93,11.0,2023,156
1.0,4:43,2.0,9.0,MIA 37,3.0,0.0,Raheem Mostert left end for -2 yards (tackle by Robert Spillane and Divine Deablo),0.93,-0.03,11.0,2023,156
1.0,4:04,3.0,11.0,MIA 35,3.0,0.0,"Tua Tagovailoa sacked by Malcolm Koonce for no gain. Penalty on Jakorian Bennett: Defensive Holding, 5 yards (accepted) (no play)",-0.03,1.6,11.0,2023,156
