Unnamed: 0,TEN,JAX,week,year,game_id
First Downs,12,24,11.0,2023,155
Rush-Yds-TDs,19-92-0,36-128-2,11.0,2023,155
Cmp-Att-Yd-TD-INT,13-17-158-2-0,24-32-262-2-0,11.0,2023,155
Sacked-Yards,2-15,1-1,11.0,2023,155
Net Pass Yards,143,261,11.0,2023,155
Total Yards,235,389,11.0,2023,155
Fumbles-Lost,2-2,0-0,11.0,2023,155
Turnovers,2,0,11.0,2023,155
Penalties-Yards,7-66,4-29,11.0,2023,155
Third Down Conv.,2-7,4-12,11.0,2023,155
Fourth Down Conv.,1-1,3-4,11.0,2023,155
Time of Possession,23:34,36:26,11.0,2023,155
