Quarter,Time,Tm,Detail,NYJ,BUF,week,year,game_id
1.0,13:31,Bills,Tyler Bass 48 yard field goal,0,3,11.0,2023,162
,5:56,Bills,Tyler Bass 30 yard field goal,0,6,11.0,2023,162
2.0,11:26,Bills,Tyler Bass 33 yard field goal,0,9,11.0,2023,162
,3:03,Bills,James Cook 5 yard pass from Josh Allen (Tyler Bass kick),0,16,11.0,2023,162
,0:45,Jets,Breece Hall 9 yard pass from Zach Wilson (pass failed),6,16,11.0,2023,162
3.0,10:34,Bills,Ty Johnson 28 yard pass from Josh Allen (Tyler Bass kick failed),6,22,11.0,2023,162
,6:29,Bills,Khalil Shakir 81 yard pass from Josh Allen (Tyler Bass kick),6,29,11.0,2023,162
4.0,5:16,Bills,Tyler Bass 50 yard field goal,6,32,11.0,2023,162
