Quarter,Time,Down,ToGo,Location,ARI,HOU,Detail,EPB,EPA,week,year,game_id
1.0,6:01,2.0,6.0,ARI 20,7.0,0.0,C.J. Stroud pass incomplete short right intended for Nico Collins,3.97,3.27,11.0,2023,158
1.0,5:54,,,,,,Timeout #1 by Arizona Cardinals,,,11.0,2023,158
1.0,5:54,3.0,6.0,ARI 20,7.0,6.0,"C.J. Stroud pass complete deep middle to Dalton Schultz for 20 yards, touchdown",3.27,7.0,11.0,2023,158
1.0,5:48,,,ARI 15,7.0,7.0,Matt Ammendola kicks extra point good,0.0,0.0,11.0,2023,158
1.0,5:48,,,HOU 35,7.0,7.0,"Matt Ammendola kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,158
1.0,5:48,1.0,10.0,ARI 25,7.0,7.0,Kyler Murray pass incomplete short middle intended for James Conner,0.61,0.06,11.0,2023,158
1.0,5:43,2.0,10.0,ARI 25,7.0,7.0,James Conner left tackle for 11 yards (tackle by Christian Harris),0.06,1.33,11.0,2023,158
1.0,5:01,1.0,10.0,ARI 36,7.0,7.0,James Conner right guard for 14 yards (tackle by Derek Stingley),1.33,2.26,11.0,2023,158
1.0,4:34,1.0,10.0,HOU 50,7.0,7.0,Kyler Murray pass complete short middle to Marquise Brown for 5 yards (tackle by Blake Cashman),2.26,2.39,11.0,2023,158
1.0,4:09,2.0,5.0,HOU 45,7.0,7.0,"Kyler Murray scrambles up the middle for 22 yards (tackle by DeAndre Houston-Carson). Penalty on Elijah Higgins: Offensive Holding, 10 yards (accepted)",2.39,3.38,11.0,2023,158
1.0,3:35,1.0,10.0,HOU 33,7.0,7.0,Rondale Moore right end for 4 yards (tackle by Maliek Collins and Jalen Pitre),3.38,3.38,11.0,2023,158
1.0,2:54,2.0,6.0,HOU 29,7.0,7.0,"Kyler Murray sacked by. Kyler Murray fumbles, recovered by James Conner at HOU-34",3.38,2.01,11.0,2023,158
1.0,2:10,3.0,11.0,HOU 34,7.0,7.0,Kyler Murray sacked by Will Anderson for -5 yards,2.01,0.66,11.0,2023,158
1.0,1:26,4.0,16.0,HOU 39,10.0,7.0,Matt Prater 57 yard field goal good,0.66,3.0,11.0,2023,158
1.0,1:21,,,ARI 35,10.0,7.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,158
1.0,1:21,1.0,10.0,HOU 25,10.0,7.0,Devin Singletary right tackle for 2 yards (tackle by Leki Fotu),0.61,0.33,11.0,2023,158
1.0,0:39,2.0,8.0,HOU 27,10.0,7.0,C.J. Stroud pass complete short right to Nico Collins for 6 yards (tackle by Antonio Hamilton),0.33,0.43,11.0,2023,158
1.0,0:13,3.0,2.0,HOU 33,10.0,7.0,C.J. Stroud pass complete short middle to Robert Woods for 14 yards (tackle by Josh Woods),0.43,2.06,11.0,2023,158
2.0,15:00,1.0,10.0,HOU 47,10.0,7.0,Devin Singletary up the middle for 8 yards (tackle by Phil Hoskins),2.06,2.6,11.0,2023,158
2.0,14:26,2.0,2.0,ARI 45,10.0,7.0,Devin Singletary left end for 11 yards (tackle by Jalen Thompson),2.6,3.31,11.0,2023,158
2.0,13:55,1.0,10.0,ARI 34,10.0,7.0,C.J. Stroud sacked by Leki Fotu for -10 yards,3.31,1.42,11.0,2023,158
2.0,13:17,2.0,20.0,ARI 44,10.0,7.0,C.J. Stroud pass complete short right to Steven Sims for 23 yards (tackle by Jalen Thompson),1.42,4.17,11.0,2023,158
2.0,12:37,1.0,10.0,ARI 21,10.0,7.0,C.J. Stroud pass complete short right to Nico Collins for 10 yards (tackle by Starling Thomas),4.17,4.84,11.0,2023,158
2.0,12:10,1.0,10.0,ARI 11,10.0,7.0,Devin Singletary up the middle for no gain (tackle by Roy Lopez and Zaven Collins),4.84,4.14,11.0,2023,158
2.0,11:27,2.0,10.0,ARI 11,10.0,13.0,"Devin Singletary right guard for 11 yards, touchdown",4.14,7.0,11.0,2023,158
2.0,11:20,,,ARI 15,10.0,14.0,Matt Ammendola kicks extra point good,0.0,0.0,11.0,2023,158
2.0,11:20,,,HOU 35,10.0,14.0,"Matt Ammendola kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,158
