Quarter,Time,Down,ToGo,Location,CHI,DET,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Lions won the coin toss and deferred, Bears to receive the opening kickoff.",,,11.0,2023,157
1.0,15:00,,,DET 35,0.0,0.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,157
1.0,15:00,1.0,10.0,CHI 25,0.0,0.0,Justin Fields pass incomplete short right,0.61,0.06,11.0,2023,157
1.0,14:54,2.0,10.0,CHI 25,0.0,0.0,Justin Fields left end for 11 yards (tackle by Jack Campbell),0.06,1.33,11.0,2023,157
1.0,14:14,1.0,10.0,CHI 36,0.0,0.0,Justin Fields right tackle for 7 yards (tackle by Tracy Walker),1.33,1.74,11.0,2023,157
1.0,13:48,2.0,3.0,CHI 43,0.0,0.0,Justin Fields pass complete short left to D.J. Moore for 14 yards (tackle by Jerry Jacobs),1.74,2.72,11.0,2023,157
1.0,12:58,1.0,10.0,DET 43,0.0,0.0,Justin Fields pass complete short right to Cole Kmet for 11 yards (tackle by Alex Anzalone),2.72,3.45,11.0,2023,157
1.0,12:21,1.0,10.0,DET 32,0.0,0.0,Justin Fields pass complete short right to Equanimeous St. Brown for 13 yards (tackle by Jerry Jacobs),3.45,4.31,11.0,2023,157
1.0,11:38,1.0,10.0,DET 19,0.0,0.0,D'Onta Foreman left end for 4 yards (tackle by Derrick Barnes),4.31,4.35,11.0,2023,157
1.0,10:59,2.0,6.0,DET 15,0.0,0.0,Justin Fields scrambles up the middle for 10 yards (tackle by Alex Anzalone),4.35,6.06,11.0,2023,157
1.0,10:14,1.0,5.0,DET 5,0.0,0.0,D'Onta Foreman right tackle for 4 yards (tackle by Kerby Joseph and Alex Anzalone),6.06,5.91,11.0,2023,157
1.0,9:30,,,,,,Timeout #1 by Chicago Bears,,,11.0,2023,157
1.0,9:30,2.0,1.0,DET 1,0.0,0.0,Justin Fields pass incomplete short right intended for Cole Kmet. Penalty on Will Harris: Defensive Pass Interference (accepted) (no play),5.91,6.97,11.0,2023,157
1.0,9:26,1.0,1.0,DET 1,6.0,0.0,"D'Onta Foreman right tackle for 1 yard, touchdown",6.97,7.0,11.0,2023,157
1.0,9:23,,,DET 15,7.0,0.0,Cairo Santos kicks extra point good,0.0,0.0,11.0,2023,157
1.0,9:23,,,CHI 35,7.0,0.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,157
1.0,9:23,1.0,10.0,DET 25,7.0,0.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 8 yards (tackle by Jaylon Johnson),0.61,1.14,11.0,2023,157
1.0,8:46,2.0,2.0,DET 33,7.0,0.0,David Montgomery left end for 3 yards (tackle by Justin Jones and Tremaine Edmunds),1.14,1.33,11.0,2023,157
1.0,8:16,1.0,10.0,DET 36,7.0,0.0,Jared Goff pass incomplete short middle,1.33,0.79,11.0,2023,157
1.0,8:11,2.0,10.0,DET 36,7.0,0.0,David Montgomery up the middle for 5 yards (tackle by Andrew Billings and Jaquan Brisker),0.79,0.76,11.0,2023,157
1.0,7:32,3.0,5.0,DET 41,7.0,0.0,Jared Goff pass complete short left to Amon-Ra St. Brown for 9 yards (tackle by Kyler Gordon),0.76,2.26,11.0,2023,157
1.0,6:55,1.0,10.0,DET 50,7.0,0.0,David Montgomery right end for 5 yards (tackle by Tremaine Edmunds),2.26,2.39,11.0,2023,157
1.0,6:21,2.0,5.0,CHI 45,7.0,0.0,Jared Goff pass short right intended for Sam LaPorta is intercepted by Tyrique Stevenson at CHI-32 and returned for 5 yards (tackle by Brock Wright and Sam LaPorta),2.39,-1.4,11.0,2023,157
1.0,6:14,1.0,10.0,CHI 37,7.0,0.0,Justin Fields left end for 6 yards (tackle by Derrick Barnes),1.4,1.67,11.0,2023,157
1.0,5:37,2.0,4.0,CHI 43,7.0,0.0,Justin Fields pass complete short right to Cole Kmet for 6 yards (tackle by Benito Jones and Alex Anzalone),1.67,2.19,11.0,2023,157
1.0,4:56,1.0,10.0,CHI 49,7.0,0.0,Justin Fields left tackle for 7 yards (tackle by Alex Anzalone),2.19,2.59,11.0,2023,157
1.0,4:13,2.0,3.0,DET 44,7.0,0.0,Khalil Herbert right end for -2 yards (tackle by Derrick Barnes),2.59,1.62,11.0,2023,157
1.0,3:28,3.0,5.0,DET 46,7.0,0.0,Justin Fields pass complete short left to Cole Kmet for 3 yards (tackle by Alex Anzalone),1.62,0.4,11.0,2023,157
1.0,2:47,4.0,2.0,DET 43,7.0,0.0,Justin Fields pass complete short right to D.J. Moore for 5 yards,0.4,3.05,11.0,2023,157
1.0,2:09,1.0,10.0,DET 38,7.0,0.0,D'Onta Foreman left end for -6 yards (tackle by Brian Branch),3.05,1.7,11.0,2023,157
1.0,1:30,2.0,16.0,DET 44,7.0,0.0,Justin Fields pass incomplete deep middle intended for D.J. Moore,1.7,1.03,11.0,2023,157
1.0,1:24,3.0,16.0,DET 44,7.0,0.0,Justin Fields pass incomplete short middle intended for Cole Kmet (defended by John Cominsky),1.03,0.33,11.0,2023,157
1.0,1:18,4.0,16.0,DET 44,7.0,0.0,"Trenton Gill punts 44 yards, touchback.",0.33,-0.28,11.0,2023,157
1.0,1:09,1.0,10.0,DET 20,7.0,0.0,Jahmyr Gibbs right end for no gain (tackle by Tyrique Stevenson and Montez Sweat),0.28,-0.27,11.0,2023,157
1.0,0:34,2.0,10.0,DET 20,7.0,0.0,Jared Goff pass incomplete short middle intended for Amon-Ra St. Brown,-0.27,-0.96,11.0,2023,157
1.0,0:32,3.0,10.0,DET 20,7.0,0.0,Jared Goff pass complete short left to Josh Reynolds for 11 yards (tackle by Eddie Jackson),-0.96,1.0,11.0,2023,157
2.0,15:00,1.0,10.0,DET 31,7.0,0.0,"Jared Goff pass incomplete deep right intended for Josh Reynolds. Penalty on Jaylon Johnson: Defensive Pass Interference, 34 yards (accepted) (no play)",1.0,3.25,11.0,2023,157
2.0,14:53,1.0,10.0,CHI 35,7.0,0.0,"Jahmyr Gibbs up the middle for no gain. Penalty on Colby Sorsdal: Offensive Holding, 10 yards (accepted) (no play)",3.25,2.59,11.0,2023,157
2.0,14:38,1.0,20.0,CHI 45,7.0,0.0,Jared Goff pass short middle intended for Donovan Peoples-Jones is intercepted by T.J. Edwards at CHI-35 and returned for 2 yards (tackle by Malcolm Rodriguez),2.59,-1.4,11.0,2023,157
2.0,14:30,1.0,10.0,CHI 37,7.0,0.0,Justin Fields left tackle for -2 yards (tackle by Brian Branch),1.4,0.59,11.0,2023,157
