#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,12:05,TAM 37,3,0:59,3,Punt,0,Buccaneers,11.0,2023,160
2,1,3:55,TAM 15,9,5:58,52,Fumble,0,Buccaneers,11.0,2023,160
3,2,7:21,TAM 25,10,5:33,75,Touchdown,0,Buccaneers,11.0,2023,160
4,2,0:16,TAM 25,1,0:16,-1,End of Half,0,Buccaneers,11.0,2023,160
5,3,15:00,TAM 23,5,2:32,19,Punt,0,Buccaneers,11.0,2023,160
6,3,10:54,TAM 10,7,3:54,23,Punt,0,Buccaneers,11.0,2023,160
7,3,1:42,TAM 25,5,2:26,75,Touchdown,0,Buccaneers,11.0,2023,160
8,4,12:25,TAM 20,17,5:46,68,Downs,0,Buccaneers,11.0,2023,160
9,4,4:12,SFO 13,3,0:34,4,Interception,0,Buccaneers,11.0,2023,160
10,4,2:13,TAM 47,7,1:11,5,Downs,0,Buccaneers,11.0,2023,160
