Unnamed: 0,CHI,DET,week,year,game_id
First Downs,25,23,11.0,2023,157
Rush-Yds-TDs,46-183-1,22-115-2,11.0,2023,157
Cmp-Att-Yd-TD-INT,16-23-169-1-0,23-35-236-2-3,11.0,2023,157
Sacked-Yards,2-18,2-13,11.0,2023,157
Net Pass Yards,151,223,11.0,2023,157
Total Yards,334,338,11.0,2023,157
Fumbles-Lost,2-1,1-1,11.0,2023,157
Turnovers,1,4,11.0,2023,157
Penalties-Yards,6-69,5-25,11.0,2023,157
Third Down Conv.,5-13,8-11,11.0,2023,157
Fourth Down Conv.,2-2,0-0,11.0,2023,157
Time of Possession,40:24,19:36,11.0,2023,157
