Quarter,Time,Down,ToGo,Location,NYG,WAS,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Commanders won the coin toss and deferred, Giants to receive the opening kickoff.",,,11.0,2023,159
1.0,15:00,,,WAS 35,0.0,0.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,159
1.0,15:00,1.0,10.0,NYG 25,0.0,0.0,Saquon Barkley left end for -3 yards (tackle by Jonathan Allen),0.61,-0.34,11.0,2023,159
1.0,14:36,2.0,13.0,NYG 22,0.0,0.0,Tommy DeVito pass complete short right to Wan'Dale Robinson for 3 yards (tackle by Percy Butler),-0.34,-0.62,11.0,2023,159
1.0,14:05,3.0,10.0,NYG 25,0.0,0.0,Tommy DeVito pass complete deep right to Saquon Barkley for 21 yards,-0.62,1.99,11.0,2023,159
1.0,13:38,1.0,10.0,NYG 46,0.0,0.0,Tommy DeVito sacked by David Mayo for -8 yards,1.99,0.37,11.0,2023,159
1.0,13:06,2.0,18.0,NYG 38,0.0,0.0,Tommy DeVito pass complete short right to Darius Slayton for 8 yards (tackle by Kamren Curl),0.37,0.76,11.0,2023,159
1.0,12:31,3.0,10.0,NYG 46,0.0,0.0,Tommy DeVito sacked by K.J. Henry for -2 yards,0.76,-0.46,11.0,2023,159
1.0,12:03,4.0,12.0,NYG 44,0.0,0.0,"Jamie Gillan punts 56 yards, touchback.",-0.46,-0.28,11.0,2023,159
1.0,11:56,1.0,10.0,WAS 20,0.0,0.0,Sam Howell pass complete short right to Terry McLaurin for 4 yards (tackle by Bobby Okereke),0.28,0.27,11.0,2023,159
1.0,11:20,2.0,6.0,WAS 24,0.0,0.0,Brian Robinson left end for 3 yards (tackle by Dexter Lawrence),0.27,-0.03,11.0,2023,159
1.0,10:49,3.0,3.0,WAS 27,0.0,0.0,Sam Howell scrambles up the middle for 8 yards (tackle by Deonte Banks),-0.03,1.27,11.0,2023,159
1.0,10:11,1.0,10.0,WAS 35,0.0,0.0,Sam Howell pass deep middle intended for Dyami Brown is intercepted by Nick McCloud at NYG-13 and returned for no gain (tackle by Dyami Brown and Logan Thomas),1.27,0.32,11.0,2023,159
1.0,10:01,1.0,10.0,NYG 13,0.0,0.0,Saquon Barkley left guard for 2 yards (tackle by Phidarian Mathis and John Ridgeway),-0.32,-0.57,11.0,2023,159
1.0,9:36,2.0,8.0,NYG 15,0.0,0.0,Saquon Barkley left end for -3 yards (tackle by David Mayo),-0.57,-1.54,11.0,2023,159
1.0,9:07,3.0,11.0,NYG 12,0.0,0.0,Tommy DeVito pass complete short left to Daniel Bellinger for 6 yards (tackle by Percy Butler),-1.54,-2.24,11.0,2023,159
1.0,8:34,4.0,5.0,NYG 18,0.0,0.0,"Jamie Gillan punts 49 yards, returned by Jamison Crowder for 3 yards (tackle by Cam Brown)",-2.24,-1.33,11.0,2023,159
1.0,8:24,1.0,10.0,WAS 36,0.0,0.0,Sam Howell pass complete short middle to Terry McLaurin for 11 yards (tackle by Tre Hawkins),1.33,2.06,11.0,2023,159
1.0,7:49,1.0,10.0,WAS 47,0.0,0.0,"Sam Howell pass complete short right to Logan Thomas for 5 yards. Logan Thomas fumbles (forced by Cordale Flott) (tackle by Micah McFadden), recovered by Xavier McKinney at NYG-48 and returned for 7 yards (tackle by Brian Robinson)",2.06,-2.59,11.0,2023,159
1.0,7:39,1.0,10.0,WAS 45,0.0,0.0,Tommy DeVito sacked by Benjamin St-Juste for -3 yards,2.59,1.64,11.0,2023,159
1.0,7:10,2.0,13.0,WAS 48,0.0,0.0,Tommy DeVito pass incomplete short middle intended for Wan'Dale Robinson (defended by K.J. Henry),1.64,0.96,11.0,2023,159
1.0,7:05,3.0,13.0,WAS 48,0.0,0.0,Tommy DeVito pass complete deep middle to Darius Slayton for 24 yards (tackle by Kamren Curl and Percy Butler),0.96,3.97,11.0,2023,159
1.0,6:35,1.0,10.0,WAS 24,6.0,0.0,"Tommy DeVito pass complete deep right to Saquon Barkley for 24 yards, touchdown",3.97,7.0,11.0,2023,159
1.0,6:29,,,WAS 15,7.0,0.0,Randy Bullock kicks extra point good,0.0,0.0,11.0,2023,159
1.0,6:29,,,NYG 35,7.0,0.0,"Randy Bullock kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,159
1.0,6:29,1.0,10.0,WAS 25,7.0,0.0,Sam Howell pass complete short right to Logan Thomas for 8 yards (tackle by Xavier McKinney and Bobby Okereke),0.61,1.14,11.0,2023,159
1.0,5:49,2.0,2.0,WAS 33,7.0,0.0,Brian Robinson right tackle for 4 yards (tackle by Kayvon Thibodeaux and Micah McFadden),1.14,1.4,11.0,2023,159
1.0,5:13,1.0,10.0,WAS 37,7.0,0.0,Sam Howell pass complete short right to Brian Robinson for 18 yards (tackle by Jason Pinnock and Xavier McKinney),1.4,2.59,11.0,2023,159
1.0,4:31,1.0,10.0,NYG 45,7.0,0.0,Brian Robinson right guard for 11 yards (tackle by Dane Belton and Bobby Okereke),2.59,3.31,11.0,2023,159
1.0,3:51,1.0,10.0,NYG 34,7.0,0.0,Sam Howell pass complete deep left to Logan Thomas for 29 yards (tackle by Jason Pinnock),3.31,6.06,11.0,2023,159
1.0,3:06,1.0,5.0,NYG 5,7.0,0.0,Derrick Gore right end for no gain (tackle by Jason Pinnock and Cordale Flott),6.06,5.15,11.0,2023,159
1.0,2:22,2.0,5.0,NYG 5,7.0,0.0,Sam Howell pass incomplete short middle intended for Logan Thomas,5.15,4.26,11.0,2023,159
