Quarter,Time,Down,ToGo,Location,DAL,CAR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Panthers won the coin toss and deferred, Cowboys to receive the opening kickoff.",,,11.0,2023,152
1.0,15:00,,,CAR 35,0.0,0.0,"Eddy Pineiro kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,152
1.0,15:00,1.0,10.0,DAL 25,0.0,0.0,Dak Prescott pass complete short left to Michael Gallup for 7 yards (tackle by Frankie Luvu),0.61,1.01,11.0,2023,152
1.0,14:29,2.0,3.0,DAL 32,0.0,0.0,Dak Prescott pass incomplete short middle,1.01,0.3,11.0,2023,152
1.0,14:24,3.0,3.0,DAL 32,0.0,0.0,Dak Prescott pass complete short right to KaVontae Turpin for no gain (tackle by Frankie Luvu),0.3,-1.24,11.0,2023,152
1.0,13:47,4.0,2.0,DAL 32,0.0,0.0,"Bryan Anger punts 55 yards, fair catch by Ihmir Smith-Marsette at CAR-13",-1.24,0.32,11.0,2023,152
1.0,13:37,1.0,10.0,CAR 13,0.0,0.0,Bryce Young scrambles right end for 4 yards (tackle by Micah Parsons and Damone Clark),-0.32,-0.3,11.0,2023,152
1.0,13:02,2.0,6.0,CAR 17,0.0,0.0,Chuba Hubbard right guard for 3 yards (tackle by Markquese Bell and Damone Clark),-0.3,-0.59,11.0,2023,152
1.0,12:19,3.0,3.0,CAR 20,0.0,0.0,Bryce Young pass complete short middle to Adam Thielen for 5 yards (tackle by DaRon Bland),-0.59,0.61,11.0,2023,152
1.0,11:49,1.0,10.0,CAR 25,0.0,0.0,Chuba Hubbard left guard for 13 yards (tackle by Malik Hooker),0.61,1.47,11.0,2023,152
1.0,11:20,1.0,10.0,CAR 38,0.0,0.0,Chuba Hubbard left end for 7 yards (tackle by Micah Parsons and Markquese Bell),1.47,1.87,11.0,2023,152
1.0,10:43,2.0,3.0,CAR 45,0.0,0.0,Bryce Young pass incomplete short left,1.87,1.16,11.0,2023,152
1.0,10:37,3.0,3.0,CAR 45,0.0,0.0,Bryce Young pass complete short left to Adam Thielen for 14 yards (tackle by Jourdan Lewis),1.16,2.85,11.0,2023,152
1.0,9:57,1.0,10.0,DAL 41,0.0,0.0,Bryce Young pass incomplete deep right intended for Jonathan Mingo,2.85,2.31,11.0,2023,152
1.0,9:50,2.0,10.0,DAL 41,0.0,0.0,Bryce Young pass complete short left to Laviska Shenault for 4 yards (tackle by DeMarcus Lawrence and Malik Hooker),2.31,2.15,11.0,2023,152
1.0,9:06,3.0,6.0,DAL 37,0.0,0.0,Bryce Young sacked by Micah Parsons for -9 yards,2.15,0.2,11.0,2023,152
1.0,8:26,4.0,15.0,DAL 46,0.0,0.0,"Johnny Hekker punts 29 yards, fair catch by KaVontae Turpin at DAL-17",0.2,0.06,11.0,2023,152
1.0,8:19,1.0,10.0,DAL 17,0.0,0.0,Dak Prescott pass complete short left to Tony Pollard for 12 yards (tackle by Brian Burns),-0.06,0.87,11.0,2023,152
1.0,7:44,1.0,10.0,DAL 29,0.0,0.0,KaVontae Turpin right end for 13 yards (tackle by Vonn Bell),0.87,1.73,11.0,2023,152
1.0,7:07,1.0,10.0,DAL 42,0.0,0.0,Dak Prescott pass incomplete deep left intended for CeeDee Lamb (defended by Troy Hill),1.73,1.19,11.0,2023,152
1.0,7:02,2.0,10.0,DAL 42,0.0,0.0,Tony Pollard up the middle for 9 yards (tackle by Troy Hill and Xavier Woods),1.19,1.69,11.0,2023,152
1.0,6:23,3.0,1.0,CAR 49,0.0,0.0,Tony Pollard left end for 3 yards (tackle by Kamu Grugier-Hill and Frankie Luvu),1.69,2.52,11.0,2023,152
1.0,5:52,1.0,10.0,CAR 46,0.0,0.0,Dak Prescott pass complete short right to Rico Dowdle for -1 yards (tackle by Troy Hill),2.52,1.84,11.0,2023,152
1.0,5:14,2.0,11.0,CAR 47,0.0,0.0,Dak Prescott pass complete short right to Jalen Tolbert for 7 yards (tackle by Donte Jackson),1.84,2.08,11.0,2023,152
1.0,4:38,3.0,4.0,CAR 40,0.0,0.0,Tony Pollard right end for 22 yards (tackle by Vonn Bell),2.08,4.37,11.0,2023,152
1.0,4:02,1.0,10.0,CAR 18,0.0,0.0,Rico Dowdle right guard for no gain (tackle by Eku Leota and Frankie Luvu),4.37,3.8,11.0,2023,152
1.0,3:25,2.0,10.0,CAR 18,6.0,0.0,"Dak Prescott pass complete deep right to Luke Schoonmaker for 18 yards, touchdown",3.8,7.0,11.0,2023,152
1.0,3:20,,,CAR 15,7.0,0.0,Brandon Aubrey kicks extra point good,0.0,0.0,11.0,2023,152
1.0,3:20,,,DAL 35,7.0,0.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,152
1.0,3:20,1.0,10.0,CAR 25,7.0,0.0,Miles Sanders right tackle for 5 yards (tackle by Markquese Bell and Jayron Kearse),0.61,0.74,11.0,2023,152
1.0,2:53,2.0,5.0,CAR 30,7.0,0.0,Miles Sanders up the middle for 15 yards (tackle by Malik Hooker),0.74,1.93,11.0,2023,152
1.0,2:25,1.0,10.0,CAR 45,7.0,0.0,Miles Sanders up the middle for 3 yards (tackle by Johnathan Hankins and Mazi Smith),1.93,1.79,11.0,2023,152
1.0,1:44,2.0,7.0,CAR 48,7.0,0.0,Bryce Young pass incomplete short right intended for Jonathan Mingo,1.79,1.09,11.0,2023,152
1.0,1:37,3.0,7.0,CAR 48,7.0,0.0,Bryce Young sacked by Micah Parsons for -9 yards,1.09,-0.78,11.0,2023,152
1.0,1:22,4.0,16.0,CAR 39,7.0,0.0,"Johnny Hekker punts 61 yards, touchback.",-0.78,-0.28,11.0,2023,152
