Unnamed: 0,PIT,CLE,week,year,game_id
First Downs,12,20,11.0,2023,153
Rush-Yds-TDs,26-172-1,29-96-1,11.0,2023,153
Cmp-Att-Yd-TD-INT,15-28-106-0-0,24-43-165-0-1,11.0,2023,153
Sacked-Yards,3-29,1-2,11.0,2023,153
Net Pass Yards,77,163,11.0,2023,153
Total Yards,249,259,11.0,2023,153
Fumbles-Lost,0-0,0-0,11.0,2023,153
Turnovers,0,1,11.0,2023,153
Penalties-Yards,6-46,1-10,11.0,2023,153
Third Down Conv.,3-14,4-17,11.0,2023,153
Fourth Down Conv.,1-1,1-1,11.0,2023,153
Time of Possession,28:33,31:27,11.0,2023,153
