Unnamed: 0,CIN,BAL,week,year,game_id
First Downs,20,22,11.0,2023,151
Rush-Yds-TDs,23-136-0,31-157-2,11.0,2023,151
Cmp-Att-Yd-TD-INT,19-31-169-2-0,16-26-264-2-0,11.0,2023,151
Sacked-Yards,5-33,3-16,11.0,2023,151
Net Pass Yards,136,248,11.0,2023,151
Total Yards,272,405,11.0,2023,151
Fumbles-Lost,0-0,1-0,11.0,2023,151
Turnovers,0,0,11.0,2023,151
Penalties-Yards,9-78,9-110,11.0,2023,151
Third Down Conv.,2-11,6-12,11.0,2023,151
Fourth Down Conv.,1-1,0-0,11.0,2023,151
Time of Possession,29:23,30:37,11.0,2023,151
