Quarter,Time,Tm,Detail,TAM,SFO,week,year,game_id
1.0,3:55,49ers,Christian McCaffrey 4 yard pass from Brock Purdy (Jake Moody kick),0,7,11.0,2023,160
2.0,7:21,49ers,Jake Moody 37 yard field goal,0,10,11.0,2023,160
,1:48,Buccaneers,Mike Evans 1 yard pass from Baker Mayfield (Chase McLaughlin kick),7,10,11.0,2023,160
,0:16,49ers,Jake Moody 28 yard field goal,7,13,11.0,2023,160
3.0,11:05,49ers,Brandon Aiyuk 76 yard pass from Brock Purdy (Jake Moody kick),7,20,11.0,2023,160
,1:47,49ers,George Kittle 3 yard pass from Brock Purdy (Jake Moody kick),7,27,11.0,2023,160
4.0,14:16,Buccaneers,Rachaad White 1 yard rush (Chase McLaughlin kick),14,27,11.0,2023,160
