Unnamed: 0,LAC,GNB,week,year,game_id
First Downs,17,23,11.0,2023,154
Rush-Yds-TDs,24-150-0,28-102-1,11.0,2023,154
Cmp-Att-Yd-TD-INT,21-36-260-2-0,27-40-322-2-0,11.0,2023,154
Sacked-Yards,2-16,3-27,11.0,2023,154
Net Pass Yards,244,295,11.0,2023,154
Total Yards,394,397,11.0,2023,154
Fumbles-Lost,2-1,3-0,11.0,2023,154
Turnovers,1,0,11.0,2023,154
Penalties-Yards,4-54,7-46,11.0,2023,154
Third Down Conv.,7-14,7-14,11.0,2023,154
Fourth Down Conv.,0-2,0-1,11.0,2023,154
Time of Possession,28:02,31:58,11.0,2023,154
