Unnamed: 0,MIN,DEN,week,year,game_id
First Downs,19,13,11.0,2023,163
Rush-Yds-TDs,36-175-1,15-46-0,11.0,2023,163
Cmp-Att-Yd-TD-INT,20-32-221-1-1,27-35-259-1-0,11.0,2023,163
Sacked-Yards,2-11,2-10,11.0,2023,163
Net Pass Yards,210,249,11.0,2023,163
Total Yards,385,295,11.0,2023,163
Fumbles-Lost,4-2,1-0,11.0,2023,163
Turnovers,3,0,11.0,2023,163
Penalties-Yards,6-55,4-48,11.0,2023,163
Third Down Conv.,6-15,2-12,11.0,2023,163
Fourth Down Conv.,3-4,1-1,11.0,2023,163
Time of Possession,34:58,25:02,11.0,2023,163
