Quarter,Time,Down,ToGo,Location,PIT,CLE,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Steelers won the coin toss and deferred, Browns to receive the opening kickoff.",,,11.0,2023,153
1.0,15:00,,,PIT 35,0.0,0.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,153
1.0,15:00,1.0,10.0,CLE 25,0.0,0.0,Jerome Ford right end for 4 yards (tackle by Cameron Heyward),0.61,0.6,11.0,2023,153
1.0,14:27,,,,,,Timeout #1 by Pittsburgh Steelers,,,11.0,2023,153
1.0,14:27,2.0,6.0,CLE 29,0.0,0.0,Jerome Ford right guard for 3 yards (tackle by T.J. Watt),0.6,0.3,11.0,2023,153
1.0,13:46,3.0,3.0,CLE 32,0.0,0.0,"Dorian Thompson-Robinson right end for 6 yards (tackle by Damontae Kazee). Penalty on Joey Porter: Defensive Offside, 5 yards (declined)",0.3,1.47,11.0,2023,153
1.0,13:29,1.0,10.0,CLE 38,0.0,0.0,Dorian Thompson-Robinson pass complete short left to Elijah Moore for 4 yards (tackle by Elandon Roberts),1.47,1.46,11.0,2023,153
1.0,12:51,2.0,6.0,CLE 42,0.0,0.0,Dorian Thompson-Robinson pass complete short left to Amari Cooper for 11 yards (tackle by Joey Porter),1.46,2.46,11.0,2023,153
1.0,12:08,1.0,10.0,PIT 47,0.0,0.0,Jerome Ford right guard for no gain (tackle by Isaiahh Loudermilk and Larry Ogunjobi),2.46,1.91,11.0,2023,153
1.0,11:30,2.0,10.0,PIT 47,0.0,0.0,Dorian Thompson-Robinson pass incomplete short right intended for David Njoku,1.91,1.22,11.0,2023,153
1.0,11:26,3.0,10.0,PIT 47,0.0,0.0,Dorian Thompson-Robinson pass complete short right to Jerome Ford for 3 yards (tackle by Keeanu Benton and Elijah Riley),1.22,0.33,11.0,2023,153
1.0,10:42,4.0,7.0,PIT 44,0.0,0.0,Corey Bojorquez punts 35 yards downed by Charley Hughlett,0.33,0.38,11.0,2023,153
1.0,10:28,1.0,10.0,PIT 9,0.0,0.0,Kenny Pickett sacked by Myles Garrett for -8 yards,-0.38,-1.36,11.0,2023,153
1.0,9:45,2.0,18.0,PIT 1,0.0,0.0,Najee Harris left guard for no gain (tackle by Jeremiah Owusu-Koramoah and Sione Takitaki),-1.36,-2.36,11.0,2023,153
1.0,9:01,3.0,18.0,PIT 1,0.0,0.0,Kenny Pickett pass complete short left to Allen Robinson for 6 yards,-2.36,-2.49,11.0,2023,153
1.0,8:31,4.0,12.0,PIT 7,0.0,0.0,"Pressley Harvin punts 43 yards, fair catch by James Proche at 50",-2.49,-2.26,11.0,2023,153
1.0,8:24,1.0,10.0,PIT 50,0.0,0.0,Jerome Ford left end for 2 yards (tackle by Alex Highsmith),2.26,1.98,11.0,2023,153
1.0,7:38,2.0,8.0,PIT 48,0.0,0.0,Dorian Thompson-Robinson pass complete short right to David Njoku for 18 yards (tackle by Trenton Thompson),1.98,3.58,11.0,2023,153
1.0,6:54,1.0,10.0,PIT 30,0.0,0.0,Dorian Thompson-Robinson pass complete short right to Jerome Ford for 5 yards (tackle by Joey Porter),3.58,3.71,11.0,2023,153
1.0,6:16,2.0,5.0,PIT 25,0.0,0.0,"Jerome Ford right guard for 13 yards (tackle by Patrick Peterson). Penalty on Patrick Peterson: Face Mask (15 Yards), 6 yards (accepted)",3.71,5.83,11.0,2023,153
1.0,5:51,1.0,6.0,PIT 6,0.0,0.0,Jerome Ford right guard for 2 yards (tackle by Armon Watts and Elijah Riley),5.83,5.34,11.0,2023,153
1.0,5:11,2.0,4.0,PIT 4,0.0,0.0,Jerome Ford right guard for 3 yards (tackle by Elandon Roberts and Alex Highsmith),5.34,5.17,11.0,2023,153
