Quarter,Time,Down,ToGo,Location,PHI,KAN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Eagles won the coin toss and deferred, Chiefs to receive the opening kickoff.",,,11.0,2023,164
1.0,15:00,,,PHI 35,0.0,0.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,164
1.0,15:00,1.0,10.0,KAN 25,0.0,0.0,Patrick Mahomes pass incomplete short right intended for Noah Gray,0.61,0.06,11.0,2023,164
1.0,14:55,2.0,10.0,KAN 25,0.0,0.0,Patrick Mahomes sacked by Haason Reddick for -9 yards,0.06,-2.14,11.0,2023,164
1.0,14:13,3.0,19.0,KAN 16,0.0,0.0,Patrick Mahomes pass complete short right to Jerick McKinnon for 4 yards (tackle by Bradley Roby),-2.14,-2.03,11.0,2023,164
1.0,13:39,4.0,15.0,KAN 20,0.0,0.0,Tommy Townsend punts 37 yards out of bounds,-2.03,-1.8,11.0,2023,164
1.0,13:31,1.0,10.0,PHI 43,0.0,0.0,D'Andre Swift right end for 3 yards (tackle by Drue Tranquill),1.8,1.66,11.0,2023,164
1.0,12:50,2.0,7.0,PHI 46,0.0,0.0,D'Andre Swift left end for 1 yard (tackle by Leo Chenal),1.66,1.09,11.0,2023,164
1.0,12:06,3.0,6.0,PHI 47,0.0,0.0,Jalen Hurts sacked by Trent McDuffie for -7 yards,1.09,-0.72,11.0,2023,164
1.0,11:30,4.0,13.0,PHI 40,0.0,0.0,Braden Mann punts 40 yards downed by Ben VanSumeren,-0.72,-0.28,11.0,2023,164
1.0,11:17,1.0,10.0,KAN 20,0.0,0.0,Isiah Pacheco right guard for 3 yards (tackle by Milton Williams and Fletcher Cox),0.28,0.14,11.0,2023,164
1.0,10:44,2.0,7.0,KAN 23,0.0,0.0,Isiah Pacheco right end for 24 yards (tackle by Reed Blankenship),0.14,2.06,11.0,2023,164
1.0,10:25,1.0,10.0,KAN 47,0.0,0.0,Kadarius Toney right end for 14 yards (tackle by Darius Slay and Reed Blankenship),2.06,2.98,11.0,2023,164
1.0,9:46,1.0,10.0,PHI 39,0.0,0.0,Patrick Mahomes pass complete short right to Mecole Hardman for 5 yards (tackle by Darius Slay),2.98,3.12,11.0,2023,164
1.0,9:09,2.0,5.0,PHI 34,0.0,0.0,Isiah Pacheco right end for -2 yards (tackle by Milton Williams),3.12,2.15,11.0,2023,164
1.0,8:28,3.0,7.0,PHI 36,0.0,0.0,Patrick Mahomes pass complete short middle to Kadarius Toney for 7 yards (tackle by Bradley Roby),2.15,3.64,11.0,2023,164
1.0,7:56,1.0,10.0,PHI 29,0.0,0.0,"Penalty on Josh Sweat: Neutral Zone Infraction, 5 yards (accepted) (no play)",3.64,4.37,11.0,2023,164
1.0,7:39,1.0,5.0,PHI 24,0.0,0.0,Patrick Mahomes pass complete short right to Rashee Rice for 14 yards (tackle by Kevin Byard),4.37,4.91,11.0,2023,164
1.0,6:58,1.0,10.0,PHI 10,0.0,0.0,Kadarius Toney left end for no gain (tackle by Haason Reddick and Josh Sweat),4.91,4.19,11.0,2023,164
1.0,6:19,2.0,10.0,PHI 10,0.0,0.0,Isiah Pacheco right end for 7 yards (tackle by Nicholas Morrow),4.19,4.72,11.0,2023,164
1.0,5:40,3.0,3.0,PHI 3,0.0,6.0,"Patrick Mahomes pass complete short left to Justin Watson for 3 yards, touchdown",4.72,7.0,11.0,2023,164
1.0,5:34,,,PHI 15,0.0,7.0,Harrison Butker kicks extra point good,0.0,0.0,11.0,2023,164
1.0,5:34,,,KAN 35,0.0,7.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,164
1.0,5:34,1.0,10.0,PHI 25,0.0,7.0,Jalen Hurts pass complete deep right to DeVonta Smith for 20 yards,0.61,1.93,11.0,2023,164
1.0,4:54,1.0,10.0,PHI 45,0.0,7.0,D'Andre Swift left guard for 7 yards (tackle by Bryan Cook and L'Jarius Sneed),1.93,2.33,11.0,2023,164
1.0,4:07,2.0,3.0,KAN 48,0.0,7.0,Jalen Hurts left end for 6 yards (tackle by Justin Reid),2.33,2.79,11.0,2023,164
1.0,3:31,,,,,,Timeout #1 by Kansas City Chiefs,,,11.0,2023,164
1.0,3:31,1.0,10.0,KAN 42,0.0,7.0,D'Andre Swift up the middle for 3 yards (tackle by Matt Dickerson and Drue Tranquill),2.79,2.65,11.0,2023,164
1.0,2:53,2.0,7.0,KAN 39,0.0,7.0,"Jalen Hurts pass complete short right to D'Andre Swift for no gain (tackle by Drue Tranquill). Penalty on L'Jarius Sneed: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",2.65,3.31,11.0,2023,164
1.0,2:33,1.0,10.0,KAN 34,0.0,7.0,D'Andre Swift left guard for 2 yards (tackle by Michael Danna),3.31,3.04,11.0,2023,164
1.0,2:04,2.0,8.0,KAN 32,0.0,7.0,Jalen Hurts pass complete short left to DeVonta Smith for 11 yards (tackle by Justin Reid),3.04,4.17,11.0,2023,164
1.0,1:18,1.0,10.0,KAN 21,0.0,7.0,Jalen Hurts pass incomplete deep right,4.17,3.63,11.0,2023,164
1.0,1:11,2.0,10.0,KAN 21,0.0,7.0,D'Andre Swift left end for 17 yards (tackle by Michael Danna),3.63,6.28,11.0,2023,164
1.0,0:36,1.0,4.0,KAN 4,6.0,7.0,"D'Andre Swift right end for 4 yards, touchdown",6.28,7.0,11.0,2023,164
1.0,0:31,,,KAN 15,7.0,7.0,Jake Elliott kicks extra point good,0.0,0.0,11.0,2023,164
1.0,0:31,,,PHI 35,7.0,7.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,164
1.0,0:31,1.0,10.0,KAN 25,7.0,7.0,Isiah Pacheco left tackle for no gain (tackle by Milton Williams and Jordan Davis),0.61,0.06,11.0,2023,164
2.0,15:00,2.0,10.0,KAN 25,7.0,7.0,Isiah Pacheco left end for 1 yard (tackle by Josh Sweat),0.06,-0.49,11.0,2023,164
2.0,14:22,3.0,9.0,KAN 26,7.0,7.0,"Patrick Mahomes scrambles up the middle for 2 yards (tackle by Jalen Carter). Penalty on Donovan Smith: Offensive Holding, 10 yards (declined)",-0.49,-1.5,11.0,2023,164
2.0,14:12,4.0,7.0,KAN 28,7.0,7.0,"Tommy Townsend punts 41 yards, returned by Britain Covey for 8 yards (tackle by Noah Gray)",-1.5,-1.53,11.0,2023,164
2.0,14:02,1.0,10.0,PHI 39,7.0,7.0,Jalen Hurts pass complete short right to A.J. Brown for 8 yards (tackle by L'Jarius Sneed),1.53,2.07,11.0,2023,164
