Quarter,Time,Tm,Detail,NYG,WAS,week,year,game_id
1.0,6:29,Giants,Saquon Barkley 24 yard pass from Tommy DeVito (Randy Bullock kick),7,0,11.0,2023,159
,2:12,Commanders,Joey Slye 23 yard field goal,7,3,11.0,2023,159
2.0,6:07,Giants,Darius Slayton 40 yard pass from Tommy DeVito (Randy Bullock kick),14,3,11.0,2023,159
,1:32,Commanders,Sam Howell 7 yard rush (Joey Slye kick failed),14,9,11.0,2023,159
3.0,5:43,Commanders,Joey Slye 42 yard field goal,14,12,11.0,2023,159
4.0,13:32,Giants,Saquon Barkley 5 yard pass from Tommy DeVito (Randy Bullock kick),21,12,11.0,2023,159
,6:48,Giants,Randy Bullock 36 yard field goal,24,12,11.0,2023,159
,2:20,Commanders,Jahan Dotson 8 yard pass from Sam Howell (Joey Slye kick),24,19,11.0,2023,159
,0:16,Giants,Isaiah Simmons 54 yard interception return (Randy Bullock kick),31,19,11.0,2023,159
