Quarter,Time,Tm,Detail,DAL,CAR,week,year,game_id
1.0,3:20,Cowboys,Luke Schoonmaker 18 yard pass from Dak Prescott (Brandon Aubrey kick),7,0,11.0,2023,152
2.0,11:01,Cowboys,Brandon Aubrey 30 yard field goal,10,0,11.0,2023,152
,1:56,Panthers,Eddy Piñeiro 42 yard field goal,10,3,11.0,2023,152
,0:24,Cowboys,CeeDee Lamb 5 yard pass from Dak Prescott (Brandon Aubrey kick),17,3,11.0,2023,152
3.0,1:59,Panthers,Tommy Tremble 4 yard pass from Bryce Young (Eddy Piñeiro kick),17,10,11.0,2023,152
4.0,13:58,Cowboys,Tony Pollard 21 yard rush (Brandon Aubrey kick),24,10,11.0,2023,152
,13:48,Cowboys,DaRon Bland 30 yard interception return (Brandon Aubrey kick failed),30,10,11.0,2023,152
,7:18,Cowboys,Brandon Aubrey 27 yard field goal,33,10,11.0,2023,152
