Quarter,Time,Down,ToGo,Location,LAC,GNB,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Chargers won the coin toss and deferred, Packers to receive the opening kickoff.",,,11.0,2023,154
1.0,15:00,,,LAC 35,0.0,0.0,"Cameron Dicker kicks off 69 yards, returned by Keisean Nixon for 30 yards (tackle by Tanner Muse). Penalty on Dallin Leavitt: Offensive Holding, 10 yards (accepted) . Penalty on Dallin Leavitt: Unsportsmanlike Conduct / Offense, 8 yards (accepted)",0.0,-0.38,11.0,2023,154
1.0,14:56,1.0,10.0,GNB 8,0.0,0.0,Jordan Love pass complete short left to Romeo Doubs for 15 yards (tackle by Derwin James),-0.38,0.48,11.0,2023,154
1.0,14:20,1.0,10.0,GNB 23,0.0,0.0,Jordan Love pass complete short left to Romeo Doubs for 8 yards (tackle by Michael Davis),0.48,1.01,11.0,2023,154
1.0,13:36,2.0,2.0,GNB 31,0.0,0.0,Jordan Love pass complete short right to Luke Musgrave for 11 yards (tackle by Dean Marlowe),1.01,1.73,11.0,2023,154
1.0,13:08,1.0,10.0,GNB 42,0.0,0.0,Aaron Jones left tackle for no gain (tackle by Sebastian Joseph-Day and Nick Williams),1.73,1.19,11.0,2023,154
1.0,12:31,2.0,10.0,GNB 42,0.0,0.0,Jordan Love pass complete short left to AJ Dillon for 9 yards (tackle by Khalil Mack),1.19,1.69,11.0,2023,154
1.0,11:40,3.0,1.0,LAC 49,0.0,0.0,Jayden Reed right tackle for -1 yards (tackle by Nick Williams),1.69,-0.06,11.0,2023,154
1.0,11:03,4.0,2.0,LAC 50,0.0,0.0,Jordan Love pass complete short left to Luke Musgrave for -1 yards (tackle by Alohi Gilman),-0.06,-2.32,11.0,2023,154
1.0,11:03,1.0,10.0,GNB 49,0.0,0.0,Justin Herbert pass complete short left to Austin Ekeler for no gain (tackle by De'Vondre Campbell and Quay Walker),2.32,1.78,11.0,2023,154
