Quarter,Time,Down,ToGo,Location,TEN,JAX,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Jaguars won the coin toss and deferred, Titans to receive the opening kickoff.",,,11.0,2023,155
1.0,15:00,,,JAX 35,0.0,0.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,155
1.0,15:00,1.0,10.0,TEN 25,0.0,0.0,Derrick Henry up the middle for 3 yards (tackle by Rayshawn Jenkins and Darious Williams),0.61,0.47,11.0,2023,155
1.0,14:21,2.0,7.0,TEN 28,0.0,0.0,Derrick Henry up the middle for no gain (tackle by Adam Gotsis),0.47,-0.23,11.0,2023,155
1.0,13:34,3.0,7.0,TEN 28,0.0,0.0,"Penalty on Travon Walker: Neutral Zone Infraction, 5 yards (accepted) (no play)",-0.23,0.43,11.0,2023,155
1.0,13:10,3.0,2.0,TEN 33,0.0,0.0,Will Levis sacked by and Foyesade Oluokun for -8 yards and Travon Walker for -8 yards,0.43,-1.7,11.0,2023,155
1.0,12:36,4.0,10.0,TEN 25,0.0,0.0,Ryan Stonehouse punts 61 yards downed by Colton Dowell,-1.7,0.28,11.0,2023,155
1.0,12:22,1.0,10.0,JAX 14,0.0,0.0,Trevor Lawrence pass incomplete short right,-0.28,-0.75,11.0,2023,155
1.0,12:16,2.0,10.0,JAX 14,0.0,0.0,Travis Etienne right guard for no gain (tackle by Kyle Peko and Elijah Molden),-0.75,-1.4,11.0,2023,155
1.0,11:35,3.0,10.0,JAX 14,0.0,0.0,Trevor Lawrence pass complete short left to Calvin Ridley for 14 yards (tackle by Kristian Fulton),-1.4,0.81,11.0,2023,155
1.0,10:51,1.0,10.0,JAX 28,0.0,0.0,Trevor Lawrence pass complete short left to Zay Jones for 6 yards (tackle by Kristian Fulton),0.81,1.07,11.0,2023,155
1.0,10:14,2.0,4.0,JAX 34,0.0,0.0,Travis Etienne left end for -1 yards (tackle by Teair Tart),1.07,0.23,11.0,2023,155
1.0,9:32,3.0,5.0,JAX 33,0.0,0.0,Trevor Lawrence pass incomplete short right intended for Christian Kirk,0.23,-1.18,11.0,2023,155
1.0,9:26,4.0,5.0,JAX 33,0.0,0.0,Logan Cooke punts 54 yards out of bounds,-1.18,0.32,11.0,2023,155
1.0,9:19,1.0,10.0,TEN 13,0.0,0.0,Will Levis pass complete short right to DeAndre Hopkins for 11 yards (tackle by Darious Williams),-0.32,0.54,11.0,2023,155
1.0,8:39,1.0,10.0,TEN 24,0.0,0.0,Chris Moore left end for 38 yards (tackle by Devin Lloyd and Andre Cisco),0.54,3.05,11.0,2023,155
1.0,7:54,1.0,10.0,JAX 38,0.0,0.0,Will Levis pass incomplete deep left intended for Chigoziem Okonkwo,3.05,2.51,11.0,2023,155
1.0,7:49,2.0,10.0,JAX 38,0.0,0.0,"Will Levis aborted snap, recovered by Foyesade Oluokun at JAC-43",2.51,-1.8,11.0,2023,155
1.0,7:41,1.0,10.0,JAX 43,0.0,0.0,Travis Etienne right end for 2 yards (tackle by Amani Hooker),1.8,1.52,11.0,2023,155
1.0,7:04,2.0,8.0,JAX 45,0.0,0.0,Trevor Lawrence pass complete short middle to Evan Engram for 5 yards (tackle by K'Von Wallace),1.52,1.49,11.0,2023,155
1.0,6:17,3.0,3.0,JAX 50,0.0,0.0,"Trevor Lawrence pass incomplete intended for Calvin Ridley. Penalty on Roger McCreary: Defensive Pass Interference, 9 yards (accepted) (no play)",1.49,2.85,11.0,2023,155
1.0,6:12,1.0,10.0,TEN 41,0.0,0.0,Trevor Lawrence pass complete deep left to Christian Kirk for 20 yards (tackle by Kristian Fulton),2.85,4.17,11.0,2023,155
1.0,5:47,1.0,10.0,TEN 21,0.0,0.0,Trevor Lawrence pass complete short left to Luke Farrell for 7 yards (tackle by Kristian Fulton),4.17,4.74,11.0,2023,155
1.0,5:07,2.0,3.0,TEN 14,0.0,0.0,Travis Etienne left end for 7 yards (tackle by K'Von Wallace),4.74,5.6,11.0,2023,155
1.0,4:23,1.0,7.0,TEN 7,0.0,0.0,Trevor Lawrence left end for 1 yard (tackle by Arden Key),5.6,4.95,11.0,2023,155
1.0,3:42,2.0,6.0,TEN 6,0.0,0.0,D'Ernest Johnson right guard for 3 yards (tackle by Arden Key and Jack Gibbens),4.95,4.72,11.0,2023,155
1.0,3:03,3.0,3.0,TEN 3,0.0,6.0,"Trevor Lawrence pass complete short left to Calvin Ridley for 3 yards, touchdown",4.72,7.0,11.0,2023,155
1.0,2:58,,,TEN 15,0.0,7.0,Brandon McManus kicks extra point good,0.0,0.0,11.0,2023,155
1.0,2:58,,,JAX 35,0.0,7.0,"Brandon McManus kicks off 65 yards, returned by Tyjae Spears for 26 yards (tackle by Tre Herndon)",0.0,0.67,11.0,2023,155
1.0,2:51,1.0,10.0,TEN 26,0.0,7.0,Will Levis pass complete short left to Derrick Henry for 6 yards (tackle by Tyler Lacy and Foyesade Oluokun),0.67,0.94,11.0,2023,155
1.0,2:02,2.0,4.0,TEN 32,0.0,7.0,Derrick Henry up the middle for 1 yard (tackle by Roy Robertson-Harris and Rayshawn Jenkins),0.94,0.37,11.0,2023,155
1.0,1:16,,,,,,Timeout #1 by Tennessee Titans,,,11.0,2023,155
1.0,1:16,3.0,3.0,TEN 33,0.0,7.0,Will Levis scrambles right end for 4 yards (tackle by Devin Lloyd),0.37,1.4,11.0,2023,155
