Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Justin Fields,CHI,0,0,0,0,0,11.0,2023,157
Khalil Herbert,CHI,3,2,6,0,5,11.0,2023,157
Roschon Johnson,CHI,0,0,0,0,0,11.0,2023,157
D'Onta Foreman,CHI,0,0,0,0,0,11.0,2023,157
D.J. Moore,CHI,9,7,96,1,39,11.0,2023,157
Darnell Mooney,CHI,1,1,24,0,24,11.0,2023,157
Cole Kmet,CHI,4,3,20,0,11,11.0,2023,157
Equanimeous St. Brown,CHI,2,2,19,0,13,11.0,2023,157
Tyler Scott,CHI,2,1,4,0,4,11.0,2023,157
Marcedes Lewis,CHI,1,0,0,0,0,11.0,2023,157
Jared Goff,DET,0,0,0,0,0,11.0,2023,157
David Montgomery,DET,2,2,22,0,13,11.0,2023,157
Jahmyr Gibbs,DET,6,6,59,0,14,11.0,2023,157
Amon-Ra St. Brown,DET,11,8,77,1,16,11.0,2023,157
Jameson Williams,DET,3,2,44,1,32,11.0,2023,157
Sam LaPorta,DET,5,3,18,0,8,11.0,2023,157
Josh Reynolds,DET,2,1,11,0,11,11.0,2023,157
Kalif Raymond,DET,2,1,5,0,5,11.0,2023,157
Donovan Peoples-Jones,DET,1,0,0,0,0,11.0,2023,157
