#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,15:00,DAL 25,3,1:23,7,Punt,0,Cowboys,11.0,2023,152
2,1,8:19,DAL 17,10,4:59,83,Touchdown,0,Cowboys,11.0,2023,152
3,1,1:10,DAL 20,12,5:09,69,Field Goal,0,Cowboys,11.0,2023,152
4,2,9:47,DAL 17,5,2:57,13,Punt,0,Cowboys,11.0,2023,152
5,2,1:56,DAL 40,11,1:32,60,Touchdown,0,Cowboys,11.0,2023,152
6,3,13:30,DAL 20,5,2:33,17,Punt,0,Cowboys,11.0,2023,152
7,3,1:59,DAL 25,8,3:01,75,Touchdown,0,Cowboys,11.0,2023,152
8,4,11:18,CAR 27,7,4:00,18,Field Goal,0,Cowboys,11.0,2023,152
9,4,5:47,DAL 27,9,5:47,19,End of Game,0,Cowboys,11.0,2023,152
