Quarter,Time,Tm,Detail,ARI,HOU,week,year,game_id
1.0,13:28,Cardinals,Rondale Moore 48 yard pass from Kyler Murray (Matt Prater kick),7,0,11.0,2023,158
,5:48,Texans,Dalton Schultz 20 yard pass from C.J. Stroud (Matt Ammendola kick),7,7,11.0,2023,158
,1:21,Cardinals,Matt Prater 57 yard field goal,10,7,11.0,2023,158
2.0,11:20,Texans,Devin Singletary 11 yard rush (Matt Ammendola kick),10,14,11.0,2023,158
,0:26,Texans,Tank Dell 40 yard pass from C.J. Stroud (Matt Ammendola kick),10,21,11.0,2023,158
3.0,2:52,Cardinals,Kyler Murray 1 yard rush (run failed),16,21,11.0,2023,158
