Quarter,Time,Tm,Detail,PHI,KAN,week,year,game_id
1.0,5:34,Chiefs,Justin Watson 3 yard pass from Patrick Mahomes (Harrison Butker kick),0,7,11.0,2023,164
,0:31,Eagles,D'Andre Swift 4 yard rush (Jake Elliott kick),7,7,11.0,2023,164
2.0,1:45,Chiefs,Travis Kelce 4 yard pass from Patrick Mahomes (Harrison Butker kick),7,14,11.0,2023,164
,0:00,Chiefs,Harrison Butker 43 yard field goal,7,17,11.0,2023,164
3.0,4:05,Eagles,Jalen Hurts 10 yard rush (Jake Elliott kick),14,17,11.0,2023,164
4.0,6:20,Eagles,Jalen Hurts 1 yard rush (Jake Elliott kick),21,17,11.0,2023,164
