Player,Tm,Rushing Att,Rushing Yds,Rushing TD,Rushing Lng,week,year,game_id
Kenny Pickett,PIT,4,9,0,5,11.0,2023,153
Jaylen Warren,PIT,9,129,1,74,11.0,2023,153
Najee Harris,PIT,12,35,0,17,11.0,2023,153
Allen Robinson,PIT,0,0,0,0,11.0,2023,153
Diontae Johnson,PIT,0,0,0,0,11.0,2023,153
Darnell Washington,PIT,0,0,0,0,11.0,2023,153
Pat Freiermuth,PIT,0,0,0,0,11.0,2023,153
George Pickens,PIT,1,-1,0,-1,11.0,2023,153
Dorian Thompson-Robinson,CLE,3,20,0,9,11.0,2023,153
Kareem Hunt,CLE,12,36,0,16,11.0,2023,153
Jerome Ford,CLE,12,31,1,13,11.0,2023,153
Cedric Tillman,CLE,1,8,0,8,11.0,2023,153
Pierre Strong,CLE,1,1,0,1,11.0,2023,153
Elijah Moore,CLE,0,0,0,0,11.0,2023,153
David Njoku,CLE,0,0,0,0,11.0,2023,153
Amari Cooper,CLE,0,0,0,0,11.0,2023,153
