Tm,Total,Offense Tot,Offense Pass,Offense Rush,Offense TOvr,Defense Tot,Defense Pass,Defense Rush,Defense TOvr,Special Teams Tot,Special Teams KO,Special Teams KR,Special Teams P,Special Teams PR,Special Teams FG/XP,week,year,game_id
Giants,12.0,0.33,5.44,-5.11,0.0,2.78,7.94,-5.49,20.0,6.95,-0.66,3.05,4.35,-0.47,0.68,11.0,2023,159
Commanders,-12.0,-2.78,-7.94,5.49,-20.0,-0.33,-5.44,5.11,0.0,-6.95,-3.05,0.66,0.47,-4.35,-0.68,11.0,2023,159
