Quarter,Time,Down,ToGo,Location,TAM,SFO,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Buccaneers won the coin toss and deferred, 49ers to receive the opening kickoff.",,,11.0,2023,160
1.0,15:00,,,TAM 35,0.0,0.0,"Jake Camarda kicks off 66 yards, returned by Ray-Ray McCloud for 21 yards (tackle by K.J. Britt)",0.0,0.28,11.0,2023,160
1.0,14:54,1.0,10.0,SFO 20,0.0,0.0,Deebo Samuel left end for -1 yards (tackle by Lavonte David),0.28,-0.46,11.0,2023,160
1.0,14:15,2.0,11.0,SFO 19,0.0,0.0,Brock Purdy pass complete deep middle to George Kittle for 24 yards (tackle by Shaquil Barrett),-0.46,1.8,11.0,2023,160
1.0,13:35,1.0,10.0,SFO 43,0.0,0.0,Brock Purdy pass incomplete short left intended for Deebo Samuel,1.8,1.25,11.0,2023,160
1.0,13:31,2.0,10.0,SFO 43,0.0,0.0,Brock Purdy pass complete short right to Christian McCaffrey for 2 yards (tackle by Christian Izien),1.25,0.83,11.0,2023,160
1.0,12:52,3.0,8.0,SFO 45,0.0,0.0,Brock Purdy sacked by Lavonte David for -11 yards,0.83,-1.11,11.0,2023,160
1.0,12:13,4.0,19.0,SFO 34,0.0,0.0,"Mitch Wishnowsky punts 44 yards, fair catch by Deven Thompkins at TB-22. Penalty on George Odum: Fair Catch Interference, 15 yards (accepted)",-1.11,-1.4,11.0,2023,160
1.0,12:05,1.0,10.0,TAM 37,0.0,0.0,Baker Mayfield pass incomplete deep left intended for Mike Evans (defended by Deommodore Lenoir),1.4,0.86,11.0,2023,160
1.0,12:03,2.0,10.0,TAM 37,0.0,0.0,Rachaad White up the middle for 3 yards (tackle by Charvarius Ward and Javon Hargrave),0.86,0.56,11.0,2023,160
1.0,11:23,3.0,7.0,TAM 40,0.0,0.0,Baker Mayfield pass incomplete deep right intended for Rakim Jarrett,0.56,-0.72,11.0,2023,160
1.0,11:16,4.0,7.0,TAM 40,0.0,0.0,"Jake Camarda punts 42 yards, returned by Ray-Ray McCloud for 2 yards (tackle by Kaevon Merriweather and Josh Hayes)",-0.72,-0.28,11.0,2023,160
1.0,11:06,1.0,10.0,SFO 20,0.0,0.0,Brock Purdy pass complete short middle to Deebo Samuel for 15 yards (tackle by Logan Hall and Anthony Nelson),0.28,1.27,11.0,2023,160
1.0,10:24,1.0,10.0,SFO 35,0.0,0.0,"Penalty on YaYa Diaby: Neutral Zone Infraction, 5 yards (accepted) (no play)",1.27,2.0,11.0,2023,160
1.0,10:03,1.0,5.0,SFO 40,0.0,0.0,Brock Purdy pass incomplete deep right intended for George Kittle,2.0,1.4,11.0,2023,160
1.0,9:58,2.0,5.0,SFO 40,0.0,0.0,Christian McCaffrey right guard for 8 yards (tackle by YaYa Diaby),1.4,2.13,11.0,2023,160
1.0,9:13,1.0,10.0,SFO 48,0.0,0.0,Brock Purdy sacked by Vita Vea for -1 yards,2.13,1.45,11.0,2023,160
1.0,8:30,2.0,11.0,SFO 47,0.0,0.0,Brock Purdy pass complete short left to George Kittle for 4 yards (tackle by Anthony Nelson),1.45,1.29,11.0,2023,160
1.0,7:48,3.0,7.0,TAM 49,0.0,0.0,Brock Purdy pass complete short left to Christian McCaffrey for 11 yards (tackle by Antoine Winfield and Jamel Dean),1.29,3.05,11.0,2023,160
1.0,7:11,1.0,10.0,TAM 38,0.0,0.0,"Christian McCaffrey up the middle for 6 yards (tackle by Antoine Winfield). Penalty on Brandon Aiyuk: Offensive Holding, 10 yards (accepted)",3.05,2.79,11.0,2023,160
1.0,6:45,1.0,14.0,TAM 42,0.0,0.0,"Brock Purdy pass incomplete deep left intended for Brandon Aiyuk. Penalty on Jamel Dean: Defensive Holding, 5 yards (accepted) (no play)",2.79,3.12,11.0,2023,160
1.0,6:39,1.0,10.0,TAM 37,0.0,0.0,Brock Purdy pass complete short middle to Brandon Aiyuk for 14 yards (tackle by Zyon McCollum and Antoine Winfield),3.12,4.04,11.0,2023,160
1.0,5:56,1.0,10.0,TAM 23,0.0,0.0,Christian McCaffrey right end for 9 yards (tackle by Kaevon Merriweather),4.04,4.95,11.0,2023,160
1.0,5:17,2.0,1.0,TAM 14,0.0,0.0,Christian McCaffrey up the middle for 8 yards (tackle by Antoine Winfield),4.95,5.83,11.0,2023,160
1.0,4:39,1.0,6.0,TAM 6,0.0,0.0,Christian McCaffrey up the middle for 2 yards (tackle by Mike Greene and Greg Gaines),5.83,5.34,11.0,2023,160
1.0,3:59,2.0,4.0,TAM 4,0.0,6.0,"Brock Purdy pass complete short right to Christian McCaffrey for 4 yards, touchdown",5.34,7.0,11.0,2023,160
1.0,3:55,,,TAM 15,0.0,7.0,Jake Moody kicks extra point good,0.0,0.0,11.0,2023,160
1.0,3:55,,,SFO 35,0.0,7.0,"Jake Moody kicks off 66 yards, returned by Deven Thompkins for 16 yards (tackle by Demetrius Flannigan-Fowles)",0.0,-0.22,11.0,2023,160
1.0,3:50,1.0,10.0,TAM 15,0.0,7.0,Baker Mayfield up the middle for 3 yards (tackle by Fred Warner),-0.22,-0.28,11.0,2023,160
1.0,3:12,2.0,7.0,TAM 18,0.0,7.0,Rachaad White up the middle for 4 yards (tackle by Fred Warner),-0.28,-0.51,11.0,2023,160
1.0,2:32,3.0,3.0,TAM 22,0.0,7.0,Baker Mayfield pass complete short left to Rachaad White for 8 yards (tackle by Dre Greenlaw),-0.51,0.94,11.0,2023,160
1.0,1:53,1.0,10.0,TAM 30,0.0,7.0,Baker Mayfield pass complete short right to Rachaad White for 5 yards (tackle by Charvarius Ward),0.94,1.07,11.0,2023,160
1.0,1:13,2.0,5.0,TAM 35,0.0,7.0,"Baker Mayfield pass complete short left to Deven Thompkins for no gain (tackle by Dre Greenlaw). Penalty on Talanoa Hufanga: Defensive Offside, 4 yards (accepted) (no play)",1.07,1.61,11.0,2023,160
1.0,0:50,2.0,1.0,TAM 39,0.0,7.0,Baker Mayfield pass complete short left to Chase Edmonds for 11 yards (tackle by Dre Greenlaw),1.61,2.26,11.0,2023,160
1.0,0:09,1.0,10.0,TAM 50,0.0,7.0,Chase Edmonds left end for 3 yards (tackle by Javon Kinlaw),2.26,2.12,11.0,2023,160
2.0,15:00,2.0,7.0,SFO 47,0.0,7.0,Trey Palmer right end for 6 yards (tackle by Tashaun Gipson),2.12,2.21,11.0,2023,160
2.0,14:25,3.0,1.0,SFO 41,0.0,7.0,Baker Mayfield pass complete short left to Trey Palmer for 3 yards (tackle by Tashaun Gipson and Ambry Thomas),2.21,3.05,11.0,2023,160
2.0,13:44,1.0,10.0,SFO 38,0.0,7.0,"Rachaad White up the middle for 4 yards. Penalty on Arik Armstead: Defensive Offside, 5 yards (accepted) (no play)",3.05,3.78,11.0,2023,160
2.0,13:17,1.0,5.0,SFO 33,0.0,7.0,"Baker Mayfield sacked by Nick Bosa for no gain. Baker Mayfield fumbles (forced by Fred Warner), recovered by Clelin Ferrell at SF-35",3.78,-1.27,11.0,2023,160
2.0,12:57,1.0,10.0,SFO 35,0.0,7.0,Elijah Mitchell right end for 13 yards (tackle by Antoine Winfield),1.27,2.13,11.0,2023,160
2.0,12:16,1.0,10.0,SFO 48,0.0,7.0,Elijah Mitchell left guard for 2 yards (tackle by Vita Vea and Shaquil Barrett),2.13,1.85,11.0,2023,160
2.0,11:43,2.0,8.0,SFO 50,0.0,7.0,Elijah Mitchell right end for 6 yards (tackle by Lavonte David),1.85,1.95,11.0,2023,160
2.0,11:03,3.0,2.0,TAM 44,0.0,7.0,Brock Purdy scrambles up the middle for 3 yards (tackle by Antoine Winfield),1.95,2.85,11.0,2023,160
2.0,10:18,1.0,10.0,TAM 41,0.0,7.0,Brock Purdy pass complete deep middle to Brandon Aiyuk for 19 yards (tackle by Jamel Dean),2.85,4.11,11.0,2023,160
2.0,9:34,1.0,10.0,TAM 22,0.0,7.0,Elijah Mitchell right end for 3 yards (tackle by Devin White),4.11,3.97,11.0,2023,160
2.0,8:52,2.0,7.0,TAM 19,0.0,7.0,Brock Purdy sacked by YaYa Diaby for -8 yards,3.97,2.21,11.0,2023,160
2.0,8:09,3.0,15.0,TAM 27,0.0,7.0,Brock Purdy pass complete short right to Deebo Samuel for 8 yards (tackle by Lavonte David),2.21,2.18,11.0,2023,160
2.0,7:25,4.0,7.0,TAM 19,0.0,10.0,Jake Moody 37 yard field goal good,2.18,3.0,11.0,2023,160
2.0,7:21,,,SFO 35,0.0,10.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,160
2.0,7:21,1.0,10.0,TAM 25,0.0,10.0,Baker Mayfield pass complete short left to Payne Durham for 8 yards (tackle by Oren Burks),0.61,1.14,11.0,2023,160
2.0,6:44,2.0,2.0,TAM 33,0.0,10.0,Chase Edmonds left tackle for 3 yards (tackle by Fred Warner),1.14,1.33,11.0,2023,160
2.0,6:03,1.0,10.0,TAM 36,0.0,10.0,Baker Mayfield pass complete deep right to Trey Palmer for 17 yards (tackle by Charvarius Ward),1.33,2.46,11.0,2023,160
2.0,5:27,1.0,10.0,SFO 47,0.0,10.0,Chase Edmonds right tackle for 1 yard (tackle by Fred Warner),2.46,2.05,11.0,2023,160
2.0,4:46,2.0,9.0,SFO 46,0.0,10.0,"Baker Mayfield pass incomplete short right intended for Cade Otton. Penalty on Nick Bosa: Defensive Offside, 5 yards (accepted) (no play)",2.05,2.72,11.0,2023,160
2.0,4:43,2.0,4.0,SFO 41,0.0,10.0,Rachaad White left guard for 2 yards (tackle by Javon Hargrave),2.72,2.28,11.0,2023,160
2.0,4:02,3.0,2.0,SFO 39,0.0,10.0,Baker Mayfield scrambles left tackle for 3 yards (tackle by Dre Greenlaw and Javon Hargrave),2.28,3.18,11.0,2023,160
2.0,3:16,1.0,10.0,SFO 36,0.0,10.0,Baker Mayfield sacked by Arik Armstead for -9 yards,3.18,1.42,11.0,2023,160
2.0,2:32,2.0,19.0,SFO 45,0.0,10.0,Baker Mayfield pass complete deep middle to Cade Otton for 27 yards (tackle by Talanoa Hufanga),1.42,4.37,11.0,2023,160
2.0,2:00,1.0,10.0,SFO 18,0.0,10.0,Deven Thompkins left end for 17 yards (tackle by Clelin Ferrell),4.37,6.97,11.0,2023,160
2.0,1:52,1.0,1.0,SFO 1,6.0,10.0,"Baker Mayfield pass complete short left to Mike Evans for 1 yard, touchdown",6.97,7.0,11.0,2023,160
2.0,1:48,,,SFO 15,7.0,10.0,Chase McLaughlin kicks extra point good,0.0,0.0,11.0,2023,160
2.0,1:48,,,TAM 35,7.0,10.0,"Jake Camarda kicks off 55 yards, returned by Ray-Ray McCloud for 19 yards (tackle by Anthony Nelson and Josh Hayes)",0.0,0.87,11.0,2023,160
2.0,1:43,1.0,10.0,SFO 29,7.0,10.0,Brock Purdy pass complete short right to Brandon Aiyuk for 37 yards (tackle by Devin White),0.87,3.31,11.0,2023,160
2.0,1:33,1.0,10.0,TAM 34,7.0,10.0,Christian McCaffrey left end for -2 yards (tackle by Lavonte David),3.31,2.5,11.0,2023,160
2.0,0:49,2.0,12.0,TAM 36,7.0,10.0,Brock Purdy pass complete short left to George Kittle for 9 yards (tackle by Lavonte David and Devin White),2.5,3.01,11.0,2023,160
2.0,0:42,,,,,,Timeout #1 by San Francisco 49ers,,,11.0,2023,160
2.0,0:42,3.0,3.0,TAM 27,7.0,10.0,Brock Purdy pass complete short left to Brandon Aiyuk for 10 yards (tackle by Dee Delaney),3.01,4.44,11.0,2023,160
2.0,0:32,,,,,,Timeout #2 by San Francisco 49ers,,,11.0,2023,160
2.0,0:32,1.0,10.0,TAM 17,7.0,10.0,Brock Purdy pass complete short right to Christian McCaffrey for 2 yards (tackle by Antoine Winfield),4.44,4.15,11.0,2023,160
2.0,0:28,2.0,8.0,TAM 15,7.0,10.0,Brock Purdy pass complete short right to George Kittle for 5 yards (tackle by Lavonte David),4.15,4.34,11.0,2023,160
2.0,0:24,3.0,3.0,TAM 10,7.0,10.0,Brock Purdy pass incomplete short middle intended for Jauan Jennings,4.34,2.86,11.0,2023,160
2.0,0:20,4.0,3.0,TAM 10,7.0,13.0,Jake Moody 28 yard field goal good,2.86,3.0,11.0,2023,160
2.0,0:16,,,SFO 35,7.0,13.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,160
2.0,0:16,1.0,10.0,TAM 25,7.0,13.0,Baker Mayfield kneels for -1 yards,0.61,-0.07,11.0,2023,160
3.0,15:00,,,SFO 35,7.0,13.0,"Jake Moody kicks off 65 yards, returned by Deven Thompkins for 23 yards (tackle by Jordan Mason)",0.0,0.48,11.0,2023,160
3.0,14:54,1.0,10.0,TAM 23,7.0,13.0,Rachaad White up the middle for 7 yards (tackle by Fred Warner and Tashaun Gipson),0.48,0.88,11.0,2023,160
3.0,14:15,2.0,3.0,TAM 30,7.0,13.0,Rachaad White right guard for 5 yards (tackle by Javon Hargrave and Nick Bosa),0.88,1.27,11.0,2023,160
3.0,13:33,1.0,10.0,TAM 35,7.0,13.0,Baker Mayfield pass incomplete deep left intended for Mike Evans,1.27,0.72,11.0,2023,160
3.0,13:27,2.0,10.0,TAM 35,7.0,13.0,Baker Mayfield pass complete short middle to Chris Godwin for 7 yards (tackle by Fred Warner),0.72,0.96,11.0,2023,160
