Tm,Total,Offense Tot,Offense Pass,Offense Rush,Offense TOvr,Defense Tot,Defense Pass,Defense Rush,Defense TOvr,Special Teams Tot,Special Teams KO,Special Teams KR,Special Teams P,Special Teams PR,Special Teams FG/XP,week,year,game_id
Bears,-4.0,4.18,7.37,-1.52,-3.22,-11.72,-6.06,-5.66,11.53,1.3,-3.59,3.05,0.28,-2.69,4.25,11.0,2023,157
Lions,4.0,11.72,6.06,5.66,-11.53,-4.18,-7.37,1.52,3.22,-1.3,-3.05,3.59,2.69,-0.28,-4.25,11.0,2023,157
