Quarter,Time,Tm,Detail,TEN,JAX,week,year,game_id
1.0,2:58,Jaguars,Calvin Ridley 3 yard pass from Trevor Lawrence (Brandon McManus kick),0,7,11.0,2023,155
2.0,2:43,Jaguars,Brandon McManus 30 yard field goal,0,10,11.0,2023,155
,0:14,Jaguars,Brandon McManus 25 yard field goal,0,13,11.0,2023,155
3.0,9:12,Jaguars,Trevor Lawrence 9 yard rush (Brandon McManus kick),0,20,11.0,2023,155
,3:22,Jaguars,Calvin Ridley 20 yard pass from Trevor Lawrence (Brandon McManus kick),0,27,11.0,2023,155
,0:00,Titans,DeAndre Hopkins 43 yard pass from Will Levis (Nick Folk kick),7,27,11.0,2023,155
4.0,7:28,Jaguars,Trevor Lawrence 5 yard rush (Brandon McManus kick),7,34,11.0,2023,155
,4:28,Titans,Jeffery Simmons 2 yard pass from Will Levis (Nick Folk kick),14,34,11.0,2023,155
