Unnamed: 0,DAL,CAR,week,year,game_id
First Downs,23,13,11.0,2023,152
Rush-Yds-TDs,27-107-1,23-110-0,11.0,2023,152
Cmp-Att-Yd-TD-INT,27-41-204-2-0,16-29-123-1-1,11.0,2023,152
Sacked-Yards,0-0,7-46,11.0,2023,152
Net Pass Yards,204,77,11.0,2023,152
Total Yards,311,187,11.0,2023,152
Fumbles-Lost,0-0,2-1,11.0,2023,152
Turnovers,0,2,11.0,2023,152
Penalties-Yards,5-45,8-90,11.0,2023,152
Third Down Conv.,7-16,5-15,11.0,2023,152
Fourth Down Conv.,0-0,3-3,11.0,2023,152
Time of Possession,31:21,28:39,11.0,2023,152
