Player,Tm,Rushing Att,Rushing Yds,Rushing TD,Rushing Lng,week,year,game_id
Joshua Dobbs,MIN,8,21,1,10,11.0,2023,163
Alexander Mattison,MIN,18,81,0,15,11.0,2023,163
Ty Chandler,MIN,10,73,0,31,11.0,2023,163
T.J. Hockenson,MIN,0,0,0,0,11.0,2023,163
Josh Oliver,MIN,0,0,0,0,11.0,2023,163
Jordan Addison,MIN,0,0,0,0,11.0,2023,163
Brandon Powell,MIN,0,0,0,0,11.0,2023,163
K.J. Osborn,MIN,0,0,0,0,11.0,2023,163
Russell Wilson,DEN,2,1,0,2,11.0,2023,163
Javonte Williams,DEN,11,37,0,15,11.0,2023,163
Samaje Perine,DEN,1,7,0,7,11.0,2023,163
Jaleel McLaughlin,DEN,1,1,0,1,11.0,2023,163
Courtland Sutton,DEN,0,0,0,0,11.0,2023,163
Jerry Jeudy,DEN,0,0,0,0,11.0,2023,163
Adam Trautman,DEN,0,0,0,0,11.0,2023,163
Marvin Mims,DEN,0,0,0,0,11.0,2023,163
Lil'Jordan Humphrey,DEN,0,0,0,0,11.0,2023,163
