No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
8.0,Kyle Allen,29,QB,0,0.0,210.0,6-3,"Texas A&M,Houston",3/8/1996,7,,
34.0,Alex Anzalone,31,LB,1,1.0,234.0,6-3,Florida,9/22/1994,8,,New Orleans Saints / 3rd / 76th pick / 2017
6.0,Terrion Arnold,22,CB,1,1.0,195.0,6-0,Alabama,3/22/2003,1,,Detroit Lions / 1st / 24th pick / 2024
74.0,Kayode Awosika,27,G,1,0.0,322.0,6-3,Buffalo,10/27/1998,4,,
55.0,Derrick Barnes,26,LB,1,1.0,240.0,6-0,Purdue,5/29/1999,4,,Detroit Lions / 4th / 113th pick / 2021
39.0,Jake Bates,26,K,1,0.0,202.0,5-10,"Texas St.,Arkansas",3/3/1999,1,,
32.0,Brian Branch,24,DB,1,1.0,203.0,6-0,Alabama,10/22/2001,2,,Detroit Lions / 2nd / 45th pick / 2023
46.0,Jack Campbell,25,LB,1,1.0,246.0,6-5,Iowa,8/22/2000,2,,Detroit Lions / 1st / 18th pick / 2023
52.0,Zach Cunningham,31,LB,1,0.0,230.0,6-3,Vanderbilt,12/12/1994,8,,Houston Texans / 2nd / 57th pick / 2017
92.0,Marcus Davenport,29,DE,1,1.0,285.0,6-6,Texas-San Antonio,9/4/1996,7,,New Orleans Saints / 1st / 14th pick / 2018
68.0,Taylor Decker,32,T,1,1.0,324.0,6-7,Ohio St.,8/23/1993,9,,Detroit Lions / 1st / 16th pick / 2016
30.0,Khalil Dorsey,27,CB,1,0.0,188.0,5-8,Northern Arizona,3/31/1998,5,,
65.0,Kingsley Eguakun,24,C,1,0.0,305.0,6-3,Florida,3/23/2001,Rook,,
3.0,Jack Fox,29,P,1,0.0,218.0,6-2,Rice,9/1/1996,5,,
0.0,Jahmyr Gibbs,23,RB,1,1.0,202.0,5-9,"Georgia Tech,Alabama",3/20/2002,2,,Detroit Lions / 1st / 12th pick / 2023
60.0,Graham Glasgow,33,OL,1,1.0,315.0,6-6,Michigan,7/19/1992,9,,Detroit Lions / 3rd / 95th pick / 2016
16.0,Jared Goff,31,QB,1,1.0,217.0,6-4,California,10/14/1994,9,,Los Angeles Rams / 1st / 1st pick / 2016
,Thomas Harper,25,S,0,0.0,189.0,5-10,"Oklahoma St.,Notre Dame",11/5/2000,1,,
49.0,Hogan Hatten,25,LS,1,0.0,239.0,6-2,Idaho,8/6/2000,1,,
97.0,Aidan Hutchinson,25,DE,1,1.0,268.0,6-7,Michigan,8/9/2000,3,,Detroit Lions / 1st / 2nd pick / 2022
31.0,Kerby Joseph,25,S,1,1.0,200.0,6-0,Illinois,11/14/2000,3,,Detroit Lions / 3rd / 97th pick / 2022
78.0,Tyler Lacy,26,DT,0,0.0,279.0,6-4,Oklahoma St.,11/10/1999,2,,Jacksonville Jaguars / 4th / 130th pick / 2023
87.0,Sam LaPorta,24,TE,1,1.0,245.0,6-3,Iowa,1/12/2001,2,,Detroit Lions / 2nd / 34th pick / 2023
51.0,Roy Lopez,28,DT,1,0.0,312.0,6-2,"New Mexico St.,Arizona",8/7/1997,4,,Houston Texans / 6th / 195th pick / 2021
19.0,Dominic Lovett,23,WR,1,0.0,185.0,5-10,"Missouri,Georgia",11/8/2002,Rook,,Detroit Lions / 7th / 244th pick / 2025
29.0,Avonte Maddox,29,CB,1,0.0,191.0,5-9,Pittsburgh,3/31/1996,7,,Philadelphia Eagles / 4th / 125th pick / 2018
73.0,Christian Mahogany,25,OL,1,1.0,327.0,6-3,Boston Col.,10/11/2000,1,,Detroit Lions / 6th / 210th pick / 2024
59.0,Giovanni Manu,24,OL,1,0.0,350.0,6-7,British Columbia,1/26/2001,Rook,,Detroit Lions / 4th / 126th pick / 2024
5.0,David Montgomery,28,RB,1,0.0,230.0,5-11,Iowa St.,6/7/1997,6,,Chicago Bears / 3rd / 73rd pick / 2019
96.0,Al-Quadin Muhammad,30,DE,1,0.0,250.0,6-3,Miami (FL),3/28/1995,8,,New Orleans Saints / 6th / 196th pick / 2017
