No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
0.0,Azeez Al-Shaair,28.0,LB,1,1.0,228.0,6-2,Florida Atlantic,8/4/1997,6,,
51.0,Will Anderson,24.0,DE,1,1.0,243.0,6-4,Alabama,9/2/2001,2,,Houston Texans / 1st / 3rd pick / 2023
60.0,Jake Andrews,26.0,C,1,1.0,308.0,6-3,Troy,11/11/1999,2,,New England Patriots / 4th / 107th pick / 2023
95.0,Derek Barnett,29.0,DE,1,0.0,259.0,6-3,Tennessee,6/25/1996,8,,Philadelphia Eagles / 1st / 14th pick / 2017
17.0,Braxton Berrios,30.0,WR,0,0.0,185.0,5-9,Miami (FL),10/6/1995,6,,New England Patriots / 6th / 210th pick / 2018
40.0,Austin Brinkman,23.0,LS,1,0.0,241.0,6-4,West Virginia,6/20/2002,Rook,,
44.0,British Brooks,26.0,RB,0,0.0,225.0,5-11,North Carolina,11/18/1999,1,,
2.0,Calen Bullock,22.0,S,1,1.0,190.0,6-3,USC,4/30/2003,1,,Houston Texans / 3rd / 78th pick / 2024
21.0,Nick Chubb,30.0,RB,1,1.0,227.0,5-11,Georgia,12/27/1995,7,,Cleveland Browns / 2nd / 35th pick / 2018
12.0,Nico Collins,26.0,WR,1,1.0,222.0,6-4,Michigan,3/19/1999,4,,Houston Texans / 3rd / 89th pick / 2021
97.0,Mario Edwards,31.0,DT,1,0.0,280.0,6-3,Florida St.,1/25/1994,10,,Oakland Raiders / 2nd / 35th pick / 2015
79.0,Aireontae Ersery,23.0,OT,1,1.0,330.0,6-6,Minnesota,2/19/2002,Rook,,Houston Texans / 2nd / 48th pick / 2025
15.0,Ka'imi Fairbairn,31.0,K,1,0.0,183.0,6-0,UCLA,1/29/1994,8,,
91.0,Folorunso Fatukasi,30.0,DT,1,0.0,318.0,6-4,Connecticut,3/4/1995,7,,New York Jets / 6th / 180th pick / 2018
57.0,Blake Fisher,22.0,T,1,0.0,312.0,6-6,Notre Dame,3/25/2003,1,,Houston Texans / 2nd / 59th pick / 2024
8.0,C.J. Gardner-Johnson,28.0,S,1,1.0,208.0,5-11,Florida,12/20/1997,6,,New Orleans Saints / 4th / 105th pick / 2019
35.0,Jake Hansen,27.0,LB,1,0.0,230.0,6-1,Illinois,6/19/1998,3,,
48.0,Christian Harris,24.0,LB,1,0.0,232.0,6-2,Alabama,1/16/2001,3,,Houston Texans / 3rd / 75th pick / 2022
81.0,Jayden Higgins,23.0,WR,1,1.0,215.0,6-4,"Eastern Kentucky,Iowa St.",12/15/2002,Rook,,Houston Texans / 2nd / 34th pick / 2025
56.0,Jamal Hill,24.0,LB,1,0.0,227.0,6-0,Oregon,4/4/2001,1,,Houston Texans / 6th / 188th pick / 2024
92.0,Dylan Horton,25.0,DE,1,0.0,275.0,6-4,"New Mexico,TCU",8/21/2000,2,,Houston Texans / 4th / 109th pick / 2023
71.0,Tytus Howard,29.0,T,1,1.0,322.0,6-5,Alabama St.,5/23/1996,6,,Houston Texans / 1st / 23rd pick / 2019
55.0,Danielle Hunter,31.0,DE,1,1.0,263.0,6-5,LSU,10/29/1994,10,,Minnesota Vikings / 3rd / 88th pick / 2015
19.0,Xavier Hutchinson,25.0,WR,1,0.0,210.0,6-3,"Blinn College (TX),Iowa St.",6/1/2000,2,,Houston Texans / 6th / 205th pick / 2023
69.0,Ed Ingram,26.0,G,0,0.0,307.0,6-3,LSU,2/11/1999,3,,Minnesota Vikings / 2nd / 59th pick / 2022
13.0,Christian Kirk,29.0,WR,0,0.0,200.0,5-11,Texas A&M,11/18/1996,7,,Arizona Cardinals / 2nd / 47th pick / 2018
4.0,Kamari Lassiter,22.0,CB,1,1.0,180.0,6-0,Georgia,1/23/2003,1,,Houston Texans / 2nd / 42nd pick / 2024
27.0,Woody Marks,25.0,RB,1,0.0,208.0,5-10,USC,12/29/2000,Rook,,Houston Texans / 4th / 116th pick / 2025
18.0,Graham Mertz,25.0,QB,0,0.0,216.0,6-2,"Wisconsin,Florida",12/6/2000,Rook,,Houston Texans / 6th / 197th pick / 2025
10.0,Davis Mills,27.0,QB,0,0.0,225.0,6-4,Stanford,10/21/1998,4,,Houston Texans / 3rd / 67th pick / 2021
14.0,Jaylin Noel,23.0,WR,1,0.0,201.0,5-11,Iowa St.,9/4/2002,Rook,,Houston Texans / 3rd / 79th pick / 2025
33.0,Dare Ogunbowale,31.0,RB,1,0.0,205.0,5-10,Wisconsin,5/4/1994,8,,
54.0,Jarrett Patterson,26.0,OL,1,0.0,310.0,6-4,Notre Dame,9/1/1999,2,,Houston Texans / 6th / 201st pick / 2023
31.0,Dameon Pierce,25.0,RB,1,0.0,215.0,5-10,Florida,2/19/2000,3,,Houston Texans / 4th / 107th pick / 2022
5.0,Jalen Pitre,26.0,S,1,1.0,200.0,6-0,Baylor,6/3/1999,3,,Houston Texans / 2nd / 37th pick / 2022
90.0,Sheldon Rankins,31.0,DT,1,1.0,305.0,6-2,Louisville,4/2/1994,9,,New Orleans Saints / 1st / 12th pick / 2016
74.0,Cam Robinson,30.0,OT,1,1.0,335.0,6-6,Alabama,10/9/1995,8,,Jacksonville Jaguars / 2nd / 34th pick / 2017
86.0,Dalton Schultz,29.0,TE,1,1.0,242.0,6-5,Stanford,7/11/1996,7,,Dallas Cowboys / 4th / 137th pick / 2018
70.0,Juice Scruggs,25.0,OL,1,0.0,310.0,6-3,Penn St.,1/19/2000,2,,Houston Texans / 2nd / 62nd pick / 2023
98.0,Tim Settle,28.0,DT,1,1.0,313.0,6-3,Virginia Tech,7/11/1997,7,,Washington Redskins / 5th / 163rd pick / 2018
22.0,Jaylin Smith,22.0,CB,1,0.0,190.0,5-11,USC,11/5/2003,Rook,,Houston Texans / 3rd / 97th pick / 2025
11.0,Tremon Smith,29.0,CB,1,0.0,190.0,5-11,Central Arkansas,7/20/1996,7,,Kansas City Chiefs / 6th / 196th pick / 2018
45.0,E.J. Speed,30.0,LB,1,0.0,227.0,6-4,Tarleton St.,6/1/1995,6,,Indianapolis Colts / 5th / 164th pick / 2019
29.0,M.J. Stewart,30.0,S,1,0.0,205.0,5-11,North Carolina,9/16/1995,7,,Tampa Bay Buccaneers / 2nd / 53rd pick / 2018
24.0,Derek Stingley Jr.,24.0,CB,1,1.0,195.0,6-1,LSU,6/20/2001,3,,Houston Texans / 1st / 3rd pick / 2022
87.0,Cade Stover,25.0,TE,1,1.0,251.0,6-4,Ohio St.,6/12/2000,1,,Houston Texans / 4th / 123rd pick / 2024
7.0,C.J. Stroud,24.0,QB,1,1.0,218.0,6-3,Ohio St.,10/3/2001,2,,Houston Texans / 1st / 2nd pick / 2023
52.0,Darrell Taylor,28.0,DE,1,0.0,255.0,6-4,Tennessee,3/24/1997,4,,Seattle Seahawks / 2nd / 48th pick / 2020
39.0,Henry To'oTo'o,24.0,LB,1,1.0,228.0,6-2,"Tennessee,Alabama",1/5/2001,2,,Houston Texans / 5th / 167th pick / 2023
72.0,Tommy Togiai,26.0,DT,0,0.0,296.0,6-2,Ohio St.,9/19/1999,4,,Cleveland Browns / 4th / 132nd pick / 2021
75.0,Laken Tomlinson,33.0,G,1,1.0,323.0,6-3,Duke,2/9/1992,10,,Detroit Lions / 1st / 28th pick / 2015
6.0,Tommy Townsend,29.0,P,1,0.0,191.0,6-1,Florida,11/12/1996,5,,
84.0,Justin Watson,29.0,WR,1,0.0,215.0,6-2,Pennsylvania,4/4/1996,7,,Tampa Bay Buccaneers / 5th / 144th pick / 2018
96.0,Denico Autry (PUP),35.0,DE,0,0.0,285.0,6-5,"East Mississippi CC,Mississippi St.",7/15/1990,11,,
3.0,Tank Dell (PUP),26.0,WR,0,0.0,165.0,5-10,"Alabama A&M,Independence (KS),Houston",10/29/1999,2,,Houston Texans / 3rd / 69th pick / 2023
93.0,Kurt Hinish (PUP),26.0,DT,0,0.0,296.0,6-1,Notre Dame,4/27/1999,3,,
36.0,Alijah Huzzie (NON),24.0,CB,0,0.0,195.0,5-10,North Carolina,1/16/2001,Rook,,
28.0,Joe Mixon (NON),29.0,RB,0,0.0,220.0,6-1,Oklahoma,7/24/1996,8,,Cincinnati Bengals / 2nd / 48th pick / 2017
23.0,Jaylen Reed (IRD),22.0,S,0,0.0,212.0,6-0,Penn St.,1/29/2003,Rook,,Houston Texans / 6th / 187th pick / 2025
58.0,Kyonte Hamilton (IR),23.0,DT,0,0.0,304.0,6-4,Rutgers,11/7/2002,Rook,,Houston Texans / 7th / 224th pick / 2025
9.0,Brevin Jordan (IR),25.0,TE,0,0.0,245.0,6-3,Miami (FL),7/16/2000,4,,Houston Texans / 5th / 147th pick / 2021
83.0,Irv Smith Jr. (IR),27.0,TE,0,0.0,242.0,6-2,Alabama,8/9/1998,6,,Minnesota Vikings / 2nd / 50th pick / 2019
20.0,Jimmie Ward (EXE),34.0,S,0,0.0,193.0,5-11,Northern Illinois,7/18/1991,11,,San Francisco 49ers / 1st / 30th pick / 2014
,Team Total,26.8,,1,,244.5,6-2.2,,,4.2,,
