No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
47.0,Julian Ashby,23.0,LS,1,0.0,231.0,6-1,"Furman,Vanderbilt",7/8/2002,Rook,,New England Patriots / 7th / 251st pick / 2025
28.0,Alex Austin,24.0,CB,1,1.0,191.0,6-1,Oregon St.,5/22/2001,2,,Buffalo Bills / 7th / 252nd pick / 2023
39.0,Corey Ballentine,29.0,CB,1,0.0,196.0,5-11,Washburn,4/13/1996,6,,New York Giants / 6th / 180th pick / 2019
17.0,Bryce Baringer,26.0,P,1,0.0,215.0,6-2,Michigan St.,4/26/1999,2,,New England Patriots / 6th / 192nd pick / 2023
90.0,Christian Barmore,26.0,DT,1,1.0,315.0,6-5,Alabama,7/28/1999,4,,New England Patriots / 2nd / 38th pick / 2021
36.0,Andres Borregales,23.0,K,1,0.0,202.0,5-11,Miami (FL),1/2/2002,Rook,,New England Patriots / 6th / 182nd pick / 2025
9.0,Kayshon Boutte,23.0,WR,1,1.0,197.0,5-11,LSU,5/7/2002,2,,New England Patriots / 6th / 187th pick / 2023
65.0,Garrett Bradbury,30.0,C,1,1.0,300.0,6-3,North Carolina St.,6/20/1995,6,,Minnesota Vikings / 1st / 18th pick / 2019
77.0,Ben Brown,27.0,C,1,0.0,313.0,6-5,Mississippi,5/19/1998,2,,
52.0,Marcus Bryant,23.0,OT,1,0.0,320.0,6-7,Missouri,6/22/2002,Rook,,New England Patriots / 7th / 220th pick / 2025
66.0,Will Campbell,21.0,OT,1,1.0,319.0,6-6,LSU,1/6/2004,Rook,,New England Patriots / 1st / 4th pick / 2025
44.0,K'Lavon Chaisson,26.0,LB,1,1.0,255.0,6-3,LSU,7/25/1999,5,,Jacksonville Jaguars / 1st / 20th pick / 2020
86.0,Efton Chism,,WR,0,0.0,198.0,5-10,Eastern Washington,,Rook,,
7.0,Carlton Davis,29.0,CB,1,1.0,206.0,6-1,Auburn,12/31/1996,7,,Tampa Bay Buccaneers / 2nd / 63rd pick / 2018
16.0,Tommy DeVito,27.0,QB,0,0.0,210.0,6-2,"Syracuse,Illinois",8/7/1998,2,,
8.0,Stefon Diggs,32.0,WR,1,1.0,191.0,6-0,Maryland,11/29/1993,10,,Minnesota Vikings / 5th / 146th pick / 2015
11.0,Joshua Dobbs,30.0,QB,0,0.0,220.0,6-3,Tennessee,1/26/1995,7,,Pittsburgh Steelers / 4th / 135th pick / 2017
3.0,Demario Douglas,25.0,WR,1,0.0,192.0,5-8,Liberty,12/8/2000,2,,New England Patriots / 6th / 210th pick / 2023
23.0,Kyle Dugger,29.0,S,1,1.0,216.0,6-1,Lenoir-Rhyne,3/22/1996,5,,New England Patriots / 2nd / 37th pick / 2020
94.0,Cory Durden,26.0,NT,1,0.0,305.0,6-4,"Florida St.,North Carolina St.",1/26/1999,2,,
53.0,Christian Elliss,26.0,LB,1,1.0,231.0,6-2,Idaho,1/2/1999,4,,
92.0,Joshua Farmer,22.0,DT,1,0.0,312.0,6-3,Florida St.,1/17/2003,Rook,,New England Patriots / 4th / 137th pick / 2025
51.0,Jack Gibbens,27.0,LB,1,0.0,242.0,6-3,"Abilene Christian,Minnesota",11/24/1998,3,,
4.0,Antonio Gibson,27.0,RB,1,0.0,228.0,6-0,"East Central CC (MS),Memphis",6/23/1998,5,,Washington Football Team / 3rd / 66th pick / 2020
0.0,Christian Gonzalez,23.0,CB,0,0.0,205.0,6-1,"Colorado,Oregon",6/28/2002,2,,New England Patriots / 1st / 17th pick / 2023
55.0,Eric Gregory,,DT,0,0.0,319.0,6-3,Arkansas,,Rook,,
21.0,Jaylinn Hawkins,28.0,S,1,1.0,208.0,6-1,California,8/25/1997,5,,Atlanta Falcons / 4th / 134th pick / 2020
32.0,TreVeyon Henderson,23.0,RB,1,0.0,202.0,5-10,Ohio St.,10/22/2002,Rook,,New England Patriots / 2nd / 38th pick / 2025
85.0,Hunter Henry,31.0,TE,1,1.0,249.0,6-5,Arkansas,12/7/1994,9,,San Diego Chargers / 2nd / 35th pick / 2016
