No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
13.0,Keenan Allen,33.0,WR,1,1.0,211.0,6-2,California,4/27/1992,12,,San Diego Chargers / 3rd / 76th pick / 2013
76.0,Joe Alt,22.0,T,1,1.0,322.0,6-8,Notre Dame,2/28/2003,1,,Los Angeles Chargers / 1st / 5th pick / 2024
73.0,Mekhi Becton,26.0,G,1,1.0,363.0,6-7,Louisville,4/18/1999,5,,New York Jets / 1st / 11th pick / 2020
75.0,Bradley Bozeman,31.0,C,1,1.0,325.0,6-5,Alabama,11/24/1994,7,,Baltimore Ravens / 6th / 215th pick / 2018
99.0,Jamaree Caldwell,25.0,DT,1,0.0,340.0,6-1,"Hutchinson (KS),Independence (KS),Houston,Oregon",8/30/2000,Rook,,Los Angeles Chargers / 3rd / 86th pick / 2025
83.0,Tyler Conklin,30.0,TE,1,1.0,248.0,6-3,Central Michigan,7/30/1995,7,,Minnesota Vikings / 5th / 157th pick / 2018
12.0,Derius Davis,25.0,WR,1,0.0,165.0,5-8,TCU,9/11/2000,2,,Los Angeles Chargers / 4th / 125th pick / 2023
74.0,Austin Deculus,26.0,T,1,0.0,321.0,6-5,LSU,3/12/1999,3,,Houston Texans / 6th / 205th pick / 2022
11.0,Cameron Dicker,25.0,K,1,0.0,216.0,6-1,Texas,5/6/2000,3,,
89.0,Will Dissly,29.0,TE,1,0.0,265.0,6-4,Washington,7/8/1996,7,,Seattle Seahawks / 4th / 120th pick / 2018
48.0,Bud Dupree,32.0,OLB,1,0.0,269.0,6-4,Kentucky,2/12/1993,10,,Pittsburgh Steelers / 1st / 22nd pick / 2015
43.0,Troy Dye,29.0,LB,1,0.0,225.0,6-3,Oregon,9/18/1996,5,,Minnesota Vikings / 4th / 132nd pick / 2020
92.0,Justin Eboigbe,24.0,DL,1,0.0,292.0,6-5,Alabama,4/9/2001,1,,Los Angeles Chargers / 4th / 105th pick / 2024
42.0,Tucker Fisk,26.0,TE,0,0.0,285.0,6-4,Stanford,1/19/1999,2,,
