Tm,G,Rushing Att,Rushing Yds,Rushing TD,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Fantasy FantPt,Fantasy DKPt,Fantasy FDPt,Fantasy per Game FantPt,Fantasy per Game DKPt,Fantasy per Game FDPt
Houston Texans,17,463,2411,22,111,85,616,3,450.8,561.7,493.2,26.5,33.0,29.0
Chicago Bears,17,412,2082,20,99,79,616,3,405.8,503.8,445.3,23.9,29.6,26.2
Arizona Cardinals,17,358,1670,16,120,101,810,6,378.0,489.0,428.5,22.2,28.8,25.2
Seattle Seahawks,17,419,1952,14,114,92,788,4,376.5,493.0,423.0,22.1,29.0,24.9
Los Angeles Chargers,17,387,2164,14,80,65,448,5,369.2,467.2,401.7,21.7,27.5,23.6
Cleveland Browns,17,399,1994,17,107,81,535,3,367.7,459.9,407.4,21.6,27.1,24.0
Las Vegas Raiders,17,378,1684,15,127,100,818,5,364.2,479.2,414.2,21.4,28.2,24.4
Green Bay Packers,17,392,1925,13,89,67,529,2,339.56,419.6,373.1,20.0,24.7,21.9
Indianapolis Colts,17,411,1670,14,117,94,650,3,330.1,432.0,377.0,19.4,25.4,22.2
New York Giants,17,385,2019,13,72,47,398,2,325.7,391.7,349.2,19.2,23.0,20.5
Los Angeles Rams,17,386,1641,11,103,79,665,2,309.96,398.0,349.5,18.2,23.4,20.6
Denver Broncos,17,362,1612,10,119,93,694,4,308.7,422.6,355.1,18.2,24.9,20.9
Minnesota Vikings,17,380,1514,12,115,90,667,3,304.2,402.1,349.1,17.9,23.7,20.5
Atlanta Falcons,17,403,1792,10,88,71,491,3,300.3,387.3,335.8,17.7,22.8,19.8
Carolina Panthers,17,376,1646,11,94,69,455,4,298.9,380.1,332.6,17.6,22.4,19.6
Philadelphia Eagles,17,344,1500,12,112,86,542,3,292.36,385.4,335.4,17.2,22.7,19.7
Jacksonville Jaguars,17,360,1412,12,140,107,815,0,291.2,413.7,344.2,17.1,24.3,20.2
New Orleans Saints,17,397,1772,8,97,70,434,3,288.6,368.6,323.6,17.0,21.7,19.0
Miami Dolphins,17,314,1160,11,119,93,700,6,286.2,383.0,332.5,16.8,22.5,19.6
Detroit Lions,17,355,1683,15,67,48,351,0,285.5,349.4,309.4,16.8,20.6,18.2
Pittsburgh Steelers,17,360,1536,7,86,64,523,6,283.9,353.9,315.9,16.7,20.8,18.6
Kansas City Chiefs,17,322,1380,6,136,112,806,4,277.3,401.6,332.6,16.3,23.6,19.6
New York Jets,17,389,1641,7,119,85,630,1,275.2,366.1,317.6,16.2,21.5,18.7
Tampa Bay Buccaneers,17,364,1615,7,81,66,395,4,263.6,343.0,296.0,15.5,20.2,17.4
Baltimore Ravens,17,338,1331,8,116,93,729,2,262.0,360.0,308.5,15.4,21.2,18.1
Buffalo Bills,16,323,1409,10,102,76,481,2,257.1,345.0,295.0,16.1,21.6,18.4
Cincinnati Bengals,16,335,1311,9,102,71,501,3,253.2,328.2,288.7,15.8,20.5,18.0
Washington Commanders,17,336,1351,7,82,56,384,6,250.0,312.5,277.5,14.7,18.4,16.3
Dallas Cowboys,17,411,1721,6,75,63,463,0,244.9,321.4,275.9,14.4,18.9,16.2
Tennessee Titans,17,316,1068,6,121,94,606,3,229.4,327.4,276.4,13.5,19.3,16.3
New England Patriots,17,355,1353,3,117,84,655,2,226.8,333.8,286.8,13.3,19.6,16.9
San Francisco 49ers,17,308,1014,7,129,93,573,0,190.7,288.7,238.2,11.2,17.0,14.0
