Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,EXP,year,week
1.0,Cincinnati Bengals,17.0,460.0,652.0,70.6,4640.0,43.0,6.6,9.0,1.4,70.0,7.5,8.2,10.7,272.9,108.5,48.0,278.0,6.9,6.6,7.3,1.0,2.0,166.38,2024,18
2.0,Detroit Lions,17.0,399.0,551.0,72.4,4474.0,39.0,7.1,12.0,2.2,82.0,8.6,9.0,11.8,263.2,112.6,33.0,244.0,5.7,7.7,8.1,4.0,4.0,202.58,2024,18
3.0,Tampa Bay Buccaneers,17.0,408.0,571.0,71.5,4257.0,41.0,7.2,16.0,2.8,57.0,7.9,8.1,11.0,250.4,106.8,40.0,248.0,6.5,7.0,7.1,2.0,2.0,177.8,2024,18
4.0,San Francisco 49ers,17.0,349.0,533.0,65.5,4234.0,23.0,4.3,16.0,3.0,76.0,8.3,7.8,12.7,249.1,93.1,36.0,190.0,6.3,7.4,7.0,1.0,1.0,108.78,2024,18
5.0,Atlanta Falcons,17.0,364.0,559.0,65.1,4068.0,21.0,3.8,19.0,3.4,60.0,7.7,6.9,11.8,239.3,86.6,32.0,215.0,5.4,6.9,6.1,3.0,3.0,102.61,2024,18
6.0,Minnesota Vikings,17.0,364.0,548.0,66.4,4043.0,35.0,6.4,12.0,2.2,97.0,8.0,8.3,12.0,237.8,102.9,49.0,336.0,8.2,6.8,7.0,3.0,5.0,114.55,2024,18
7.0,Baltimore Ravens,17.0,318.0,477.0,66.7,4035.0,41.0,8.6,4.0,0.8,84.0,8.8,10.1,13.2,237.4,119.4,24.0,154.0,4.8,8.1,9.3,2.0,2.0,221.45,2024,18
8.0,Seattle Seahawks,17.0,413.0,593.0,69.6,4020.0,21.0,3.5,16.0,2.7,71.0,7.4,6.9,10.6,236.5,91.5,54.0,359.0,8.3,6.2,5.7,4.0,4.0,60.67,2024,18
9.0,Buffalo Bills,17.0,329.0,520.0,63.3,3875.0,30.0,5.8,6.0,1.2,69.0,7.6,8.2,12.0,227.9,100.8,14.0,63.0,2.6,7.3,7.9,0.0,2.0,205.26,2024,18
10.0,Los Angeles Rams,17.0,367.0,559.0,65.7,3868.0,22.0,3.9,9.0,1.6,69.0,7.3,7.4,11.2,227.5,93.7,31.0,228.0,5.3,6.6,6.6,3.0,5.0,109.92,2024,18
