Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Touchdowns,Touchdowns,Touchdowns,Touchdowns,Touchdowns,Touchdowns,Touchdowns,Touchdowns,Touchdowns,Unnamed: 16_level_0,PAT,PAT,FG,FG,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
Rk,Player,Age,Team,Pos,G,GS,RshTD,RecTD,PRTD,KRTD,FRTD,IntTD,OthTD,AllTD,2PM,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G,Awards
1,Chris Boswell,33,PIT,K,17,0,0,0,0,0,0,0,0,0,0,0,35,35,41,44,0,158,9.3,"PB,AP-1"
2,Brandon Aubrey,29,DAL,K,17,0,0,0,0,0,0,0,0,0,0,0,30,30,40,47,0,150,8.8,"PB,AP-2"
3,Cameron Dicker,24,LAC,K,17,0,0,0,0,0,0,0,0,0,0,0,33,36,39,42,0,150,8.8,
4,Chase McLaughlin,28,TAM,K,17,0,0,0,0,0,0,0,0,0,0,0,54,56,30,32,0,144,8.5,
5,Jake Bates,25,DET,K,17,0,0,0,0,0,0,0,0,0,0,0,64,67,26,29,0,142,8.4,
6,Ka'imi Fairbairn,30,HOU,K,17,0,0,0,0,0,0,0,0,0,0,0,34,36,36,42,0,142,8.4,
7,Wil Lutz,30,DEN,K,17,0,0,0,0,0,0,0,0,0,0,0,46,46,31,34,0,139,8.2,
8,Jason Sanders,29,MIA,K,17,0,0,0,0,0,0,0,0,0,0,0,26,28,37,41,0,137,8.1,
9,Tyler Bass,27,BUF,K,17,0,0,0,0,0,0,0,0,0,0,0,59,64,24,29,0,131,7.7,
10,Jake Elliott,29,PHI,K,17,0,0,0,0,0,0,0,0,0,0,0,47,48,28,36,0,131,7.7,
11,Matt Gay,30,IND,K,16,0,0,0,0,0,0,0,0,0,0,0,33,33,31,37,0,126,7.9,
12,Justin Tucker,35,BAL,K,17,0,0,0,0,0,0,0,0,0,0,0,60,62,22,30,0,126,7.4,
13,Daniel Carlson,29,LVR,K,17,0,0,0,0,0,0,0,0,0,0,0,23,25,34,40,0,125,7.4,
14,Jahmyr Gibbs,22,DET,RB,17,4,16,4,0,0,0,0,0,20,0,0,0,0,0,0,0,120,7.1,"PB,AP OPoY-8"
15,Joshua Karty,22,LAR,K,17,0,0,0,0,0,0,0,0,0,0,0,32,36,29,34,0,119,7.0,
16,Jason Myers,33,SEA,K,17,0,0,0,0,0,0,0,0,0,0,0,37,40,26,30,0,115,6.8,
17,Blake Grupe,26,NOR,K,17,0,0,0,0,0,0,0,0,0,0,0,31,33,27,31,0,112,6.6,
18,Will Reichard,23,MIN,K,13,0,0,0,0,0,0,0,0,0,0,0,38,38,24,30,0,110,8.5,
19,Chad Ryland,25,ARI,K,13,0,0,0,0,0,0,0,0,0,0,0,26,27,28,32,0,110,8.5,
20,James Cook,25,BUF,RB,16,16,16,2,0,0,0,0,0,18,0,0,0,0,0,0,0,108,6.8,PB
21,Derrick Henry,30,BAL,RB,17,17,16,2,0,0,0,0,0,18,0,0,0,0,0,0,0,108,6.4,"PB,AP-2,AP OPoY-4"
22,Cam Little,21,JAX,K,17,0,0,0,0,0,0,0,0,0,0,0,27,27,27,29,0,108,6.4,
23,Jake Moody,25,SFO,K,14,0,0,0,0,0,0,0,0,0,0,0,32,33,24,34,0,104,7.4,
24,Austin Seibert,28,WAS,K,9,0,0,0,0,0,0,0,0,0,0,0,22,24,27,30,0,103,11.4,
25,Joey Slye,28,NWE,K,17,0,0,0,0,0,0,0,0,0,0,0,25,26,26,33,0,103,6.1,
26,Ja'Marr Chase,24,CIN,WR,17,16,0,17,0,0,0,0,0,17,0,0,0,0,0,0,0,102,6.0,"PB,AP-1,AP MVP-8,AP OPoY-3"
27,Younghoe Koo,30,ATL,K,14,0,0,0,0,0,0,0,0,0,0,0,26,26,25,34,0,101,7.2,
28,Eddy Piñeiro,29,CAR,K,17,0,0,0,0,0,0,0,0,0,0,0,33,35,22,26,0,99,5.8,
29,Saquon Barkley,27,PHI,RB,16,16,13,2,0,0,0,0,0,15,3,0,0,0,0,0,0,96,6.0,"PB,AP-1,AP MVP-3,AP OPoY-1,AP CPoY-14"
30,Josh Jacobs,26,GNB,RB,17,17,15,1,0,0,0,0,0,16,0,0,0,0,0,0,0,96,5.6,"PB,AP OPoY-11"
31,Kyren Williams,24,LAR,RB,16,16,14,2,0,0,0,0,0,16,0,0,0,0,0,0,0,96,6.0,AP OPoY-11
32,Harrison Butker,29,KAN,K,13,0,0,0,0,0,0,0,0,0,0,0,29,31,21,25,0,92,7.1,
33,Bijan Robinson,22,ATL,RB,17,17,14,1,0,0,0,0,0,15,1,0,0,0,0,0,0,92,5.4,PB
34,Brandon McManus,33,GNB,K,11,0,0,0,0,0,0,0,0,0,0,0,30,30,20,21,0,90,8.2,
35,Nick Folk,40,TEN,K,14,0,0,0,0,0,0,0,0,0,0,0,25,25,21,22,0,88,6.3,
36,Cairo Santos,33,CHI,K,17,0,0,0,0,0,0,0,0,0,0,0,25,26,21,25,0,88,5.2,
37,Evan McPherson,25,CIN,K,12,0,0,0,0,0,0,0,0,0,0,0,37,38,16,22,0,85,7.1,
38,Jalen Hurts,26,PHI,QB,15,15,14,0,0,0,0,0,0,14,0,0,0,0,0,0,0,84,5.6,
39,Josh Allen,28,BUF,QB,17,17,12,1,0,0,0,0,0,13,0,0,0,0,0,0,0,78,4.6,"PB,AP-2,AP MVP-1,AP OPoY-6"
40,Terry McLaurin,29,WAS,WR,17,17,0,13,0,0,0,0,0,13,0,0,0,0,0,0,0,78,4.6,"PB,AP-2"
41,De'Von Achane,23,MIA,RB,17,16,6,6,0,0,0,0,0,12,0,0,0,0,0,0,0,72,4.2,
42,Joe Mixon,28,HOU,RB,14,14,11,1,0,0,0,0,0,12,0,0,0,0,0,0,0,72,5.1,PB
43,David Montgomery,27,DET,RB,14,14,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,72,5.1,
44,Amon-Ra St. Brown,25,DET,WR,17,17,0,12,0,0,0,0,0,12,0,0,0,0,0,0,0,72,4.2,"PB,AP-1,AP OPoY-11"
45,Jonathan Taylor,25,IND,RB,14,13,11,1,0,0,0,0,0,12,0,0,0,0,0,0,0,72,5.1,"PB,AP CPoY-19"
46,Dustin Hopkins,34,CLE,K,16,0,0,0,0,0,0,0,0,0,0,0,17,20,18,27,0,71,4.4,
47,Chase Brown,24,CIN,RB,16,10,7,4,0,0,0,0,0,11,1,0,0,0,0,0,0,68,4.3,
48,Chuba Hubbard,25,CAR,RB,15,15,10,1,0,0,0,0,0,11,1,0,0,0,0,0,0,68,4.5,
49,Mark Andrews,29,BAL,TE,17,13,0,11,0,0,0,0,0,11,0,0,0,0,0,0,0,66,3.9,AP CPoY-19
50,Mike Evans,31,TAM,WR,14,14,0,11,0,0,0,0,0,11,0,0,0,0,0,0,0,66,4.7,PB
51,Brian Thomas,22,JAX,WR,17,16,0,10,0,0,0,0,0,10,2,0,0,0,0,0,0,64,3.8,"PB,AP ORoY-4"
52,Jordan Addison,22,MIN,WR,15,15,1,9,0,0,0,0,0,10,0,0,0,0,0,0,0,60,4.0,
53,Tee Higgins,25,CIN,WR,12,9,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,60,5.0,
54,Justin Jefferson,25,MIN,WR,17,17,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,60,3.5,"PB,AP-1,AP OPoY-7"
55,James Conner,29,ARI,RB,16,16,8,1,0,0,0,0,0,9,2,0,0,0,0,0,0,58,3.6,
56,Rashod Bateman,25,BAL,WR,17,14,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,54,3.2,
57,Zach Charbonnet,23,SEA,RB,17,6,8,1,0,0,0,0,0,9,0,0,0,0,0,0,0,54,3.2,
58,J.K. Dobbins,26,LAC,RB,13,11,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,54,4.2,AP CPoY-2
59,Drake London,23,ATL,WR,17,17,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,54,3.2,
60,Nick Westbrook-Ikhine,27,TEN,WR,17,9,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,54,3.2,
61,Rachaad White,25,TAM,RB,16,15,3,6,0,0,0,0,0,9,0,0,0,0,0,0,0,54,3.4,
62,Xavier Worthy,21,KAN,WR,17,13,3,6,0,0,0,0,0,9,0,0,0,0,0,0,0,54,3.2,
63,Breece Hall,23,NYJ,RB,16,16,5,3,0,0,0,0,0,8,2,0,0,0,0,0,0,52,3.3,
64,Brayden Narveson,25,2TM,K,7,0,0,0,0,0,0,0,0,0,0,0,18,18,12,18,0,54,7.7,
64,Brayden Narveson,25,GNB,K,6,0,0,0,0,0,0,0,0,0,0,0,16,16,12,17,0,52,8.7,
64,Brayden Narveson,25,TEN,K,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,2,2.0,
65,Rhamondre Stevenson,26,NWE,RB,15,14,7,1,0,0,0,0,0,8,2,0,0,0,0,0,0,52,3.5,
66,Marvin Harrison Jr.,22,ARI,WR,17,16,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,48,2.8,
