Unnamed: 0,SFO,ATL,week,year,game_id
First Downs,21,18,6.0,2022,82
Rush-Yds-TDs,16-50-0,40-168-1,6.0,2022,82
Cmp-Att-Yd-TD-INT,29-41-296-2-2,13-14-129-2-0,6.0,2022,82
Sacked-Yards,0-0,2-8,6.0,2022,82
Net Pass Yards,296,121,6.0,2022,82
Total Yards,346,289,6.0,2022,82
Fumbles-Lost,1-1,1-0,6.0,2022,82
Turnovers,3,0,6.0,2022,82
Penalties-Yards,5-30,5-40,6.0,2022,82
Third Down Conv.,3-8,9-14,6.0,2022,82
Fourth Down Conv.,0-1,0-0,6.0,2022,82
Time of Possession,26:35,33:25,6.0,2022,82
