#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,12:31,DEN 21,8,5:11,46,Field Goal,0,Broncos,6.0,2022,94
2,1,5:30,DEN 16,7,3:41,84,Touchdown,0,Broncos,6.0,2022,94
3,2,9:09,DEN 29,3,1:40,5,Punt,0,Broncos,6.0,2022,94
4,2,0:53,DEN 25,7,0:53,66,Field Goal,0,Broncos,6.0,2022,94
5,3,15:00,DEN 25,3,1:33,8,Punt,0,Broncos,6.0,2022,94
6,3,9:08,DEN 25,8,3:55,11,Punt,0,Broncos,6.0,2022,94
7,4,14:55,DEN 29,8,4:14,32,Punt,0,Broncos,6.0,2022,94
8,4,10:28,LAC 30,4,2:07,0,Field Goal,0,Broncos,6.0,2022,94
9,4,3:58,DEN 25,4,2:07,9,Punt,0,Broncos,6.0,2022,94
10,5,10:00,DEN 25,3,1:38,9,Punt,0,Broncos,6.0,2022,94
11,5,7:10,DEN 31,3,1:34,3,Punt,0,Broncos,6.0,2022,94
