Quarter,Time,Tm,Detail,BUF,KAN,week,year,game_id
2.0,13:32,Bills,Tyler Bass 39 yard field goal,3,0,6.0,2022,92
,11:31,Chiefs,JuJu Smith-Schuster 42 yard pass from Patrick Mahomes (Harrison Butker kick),3,7,6.0,2022,92
,0:16,Bills,Gabriel Davis 34 yard pass from Josh Allen (Tyler Bass kick),10,7,6.0,2022,92
,0:00,Chiefs,Harrison Butker 62 yard field goal,10,10,6.0,2022,92
3.0,7:02,Bills,Stefon Diggs 17 yard pass from Josh Allen (Tyler Bass kick),17,10,6.0,2022,92
,2:44,Chiefs,Mecole Hardman 3 yard pass from Patrick Mahomes (Harrison Butker kick),17,17,6.0,2022,92
4.0,9:49,Chiefs,Harrison Butker 44 yard field goal,17,20,6.0,2022,92
,1:04,Bills,Dawson Knox 14 yard pass from Josh Allen (Tyler Bass kick),24,20,6.0,2022,92
