Quarter,Time,Down,ToGo,Location,BAL,NYG,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Giants won the coin toss and deferred, Ravens to receive the opening kickoff.",,,6.0,2022,88
1.0,15:00,,,NYG 35,0.0,0.0,"Graham Gano kicks off 65 yards, touchback.",0.0,0.61,6.0,2022,88
1.0,15:00,1.0,10.0,BAL 25,0.0,0.0,J.K. Dobbins right guard for 6 yards (tackle by Xavier McKinney),0.61,0.87,6.0,2022,88
1.0,14:22,2.0,4.0,BAL 31,0.0,0.0,J.K. Dobbins right tackle for -2 yards (tackle by Jihad Ward),0.87,-0.1,6.0,2022,88
1.0,13:52,3.0,6.0,BAL 29,0.0,0.0,Lamar Jackson pass complete short middle to Mark Andrews for 11 yards (tackle by Julian Love and Xavier McKinney),-0.1,1.6,6.0,2022,88
1.0,13:14,1.0,10.0,BAL 40,0.0,0.0,"Penalty on Morgan Moses: False Start, 5 yards (accepted) (no play)",1.6,1.27,6.0,2022,88
1.0,12:55,1.0,15.0,BAL 35,0.0,0.0,Lamar Jackson scrambles left tackle for 13 yards (tackle by Fabian Moreau),1.27,2.13,6.0,2022,88
1.0,12:03,2.0,2.0,BAL 48,0.0,0.0,"Penalty on Patrick Ricard: False Start, 5 yards (accepted) (no play)",2.13,1.46,6.0,2022,88
1.0,11:44,2.0,7.0,BAL 43,0.0,0.0,Lamar Jackson pass complete short middle to Isaiah Likely for 19 yards (tackle by Tae Crowder),1.46,3.05,6.0,2022,88
1.0,10:58,1.0,10.0,NYG 38,0.0,0.0,Lamar Jackson pass complete short left to Demarcus Robinson for 2 yards (tackle by Fabian Moreau),3.05,2.78,6.0,2022,88
1.0,10:23,2.0,8.0,NYG 36,0.0,0.0,Lamar Jackson pass incomplete short right intended for Isaiah Likely,2.78,2.08,6.0,2022,88
1.0,10:19,3.0,8.0,NYG 36,0.0,0.0,Lamar Jackson right guard for -6 yards (tackle by Jihad Ward),2.08,0.46,6.0,2022,88
1.0,9:41,4.0,14.0,NYG 42,0.0,0.0,"Jordan Stout punts 42 yards, touchback.",0.46,-0.28,6.0,2022,88
1.0,9:33,1.0,10.0,NYG 20,0.0,0.0,Daniel Jones sacked by Travis Jones for -6 yards,0.28,-1.18,6.0,2022,88
1.0,9:01,2.0,16.0,NYG 14,0.0,0.0,Daniel Jones pass complete short right to Richie James for 10 yards (tackle by Damarion Williams),-1.18,-0.43,6.0,2022,88
1.0,8:14,3.0,6.0,NYG 24,0.0,0.0,Daniel Jones pass complete short left to Marcus Johnson for 7 yards (tackle by Damarion Williams),-0.43,1.0,6.0,2022,88
1.0,7:31,1.0,10.0,NYG 31,0.0,0.0,"Penalty on Richie James: False Start, 5 yards (accepted) (no play)",1.0,0.67,6.0,2022,88
1.0,7:08,1.0,15.0,NYG 26,0.0,0.0,Daniel Jones pass complete short right to Saquon Barkley for 5 yards (tackle by Malik Harrison),0.67,0.39,6.0,2022,88
1.0,6:31,2.0,11.0,NYG 31,0.0,0.0,Saquon Barkley up the middle for 3 yards (tackle by Brent Urban and Josh Bynes),0.39,0.17,6.0,2022,88
1.0,5:50,3.0,7.0,NYG 34,0.0,0.0,Daniel Jones pass incomplete deep right intended for Marcus Johnson,0.17,-1.11,6.0,2022,88
1.0,5:42,4.0,7.0,NYG 34,0.0,0.0,"Jamie Gillan punts 50 yards, fair catch by Devin Duvernay at BAL-16",-1.11,0.14,6.0,2022,88
1.0,5:34,1.0,10.0,BAL 16,0.0,0.0,J.K. Dobbins left guard for 1 yard (tackle by Tae Crowder),-0.14,-0.51,6.0,2022,88
1.0,4:54,2.0,9.0,BAL 17,0.0,0.0,Kenyan Drake left end for 4 yards (tackle by Dane Belton),-0.51,-0.7,6.0,2022,88
1.0,4:16,3.0,5.0,BAL 21,0.0,0.0,Lamar Jackson pass complete short middle to Demarcus Robinson for 15 yards (tackle by Fabian Moreau and Xavier McKinney),-0.7,1.33,6.0,2022,88
1.0,3:34,1.0,10.0,BAL 36,0.0,0.0,J.K. Dobbins right tackle for 5 yards (tackle by Jaylon Smith),1.33,1.47,6.0,2022,88
1.0,2:47,2.0,5.0,BAL 41,0.0,0.0,Lamar Jackson pass incomplete deep right intended for Devin Duvernay (defended by Adoree' Jackson),1.47,0.76,6.0,2022,88
1.0,2:39,3.0,5.0,BAL 41,0.0,0.0,Lamar Jackson right guard for 15 yards (tackle by Julian Love),0.76,2.65,6.0,2022,88
1.0,1:56,1.0,10.0,NYG 44,0.0,0.0,"Lamar Jackson pass complete short middle to Josh Oliver for 12 yards (tackle by Dane Belton) Replay Assistant challenged the pass completion ruling, and the play was upheld.",2.65,3.45,6.0,2022,88
1.0,1:22,1.0,10.0,NYG 32,0.0,0.0,Lamar Jackson pass incomplete deep middle intended for Demarcus Robinson (defended by Julian Love),3.45,2.9,6.0,2022,88
1.0,1:13,2.0,10.0,NYG 32,0.0,0.0,"Penalty on Patrick Ricard: False Start, 5 yards (accepted) (no play)",2.9,2.23,6.0,2022,88
1.0,1:13,2.0,15.0,NYG 37,0.0,0.0,J.K. Dobbins right end for -1 yards (tackle by Oshane Ximines),2.23,1.42,6.0,2022,88
1.0,0:35,3.0,16.0,NYG 38,0.0,0.0,Lamar Jackson pass incomplete intended for Kenyan Drake,1.42,0.72,6.0,2022,88
1.0,0:31,4.0,16.0,NYG 38,0.0,0.0,Justin Tucker 56 yard field goal no good,0.72,-1.99,6.0,2022,88
1.0,0:26,1.0,10.0,NYG 46,0.0,0.0,Saquon Barkley right end for 3 yards (tackle by Patrick Queen),1.99,1.86,6.0,2022,88
2.0,15:00,2.0,7.0,NYG 49,0.0,0.0,Saquon Barkley up the middle for 2 yards (tackle by Travis Jones),1.86,1.42,6.0,2022,88
2.0,14:20,3.0,5.0,BAL 49,0.0,0.0,Daniel Jones pass complete short middle to Saquon Barkley for 3 yards (tackle by Geno Stone),1.42,0.2,6.0,2022,88
2.0,13:42,4.0,2.0,BAL 46,0.0,0.0,"Jamie Gillan punts 35 yards, fair catch by Devin Duvernay at BAL-11",0.2,0.37,6.0,2022,88
2.0,13:34,1.0,10.0,BAL 11,0.0,0.0,Lamar Jackson scrambles up the middle for 14 yards (tackle by Dane Belton),-0.37,0.61,6.0,2022,88
2.0,12:52,1.0,10.0,BAL 25,0.0,0.0,Lamar Jackson pass complete short right to Devin Duvernay for 14 yards (tackle by Adoree' Jackson),0.61,1.53,6.0,2022,88
2.0,12:13,1.0,10.0,BAL 39,0.0,0.0,J.K. Dobbins right end for 4 yards (tackle by Kayvon Thibodeaux),1.53,1.53,6.0,2022,88
2.0,11:31,2.0,6.0,BAL 43,0.0,0.0,Lamar Jackson pass complete deep middle to Mark Andrews for 17 yards (tackle by Julian Love),1.53,2.92,6.0,2022,88
2.0,10:56,1.0,10.0,NYG 40,0.0,0.0,Lamar Jackson pass incomplete deep left intended for Mark Andrews,2.92,2.37,6.0,2022,88
2.0,10:49,2.0,10.0,NYG 40,0.0,0.0,J.K. Dobbins right tackle for 2 yards (tackle by Julian Love and Justin Ellis),2.37,1.95,6.0,2022,88
2.0,10:03,3.0,8.0,NYG 38,0.0,0.0,Lamar Jackson pass complete short left to Kenyan Drake for 8 yards (tackle by Xavier McKinney),1.95,3.58,6.0,2022,88
2.0,9:33,1.0,10.0,NYG 30,6.0,0.0,"Kenyan Drake right tackle for 30 yards, touchdown",3.58,7.0,6.0,2022,88
2.0,9:26,,,NYG 15,7.0,0.0,Justin Tucker kicks extra point good,0.0,0.0,6.0,2022,88
2.0,9:26,,,BAL 35,7.0,0.0,"Justin Tucker kicks off 65 yards, returned by Gary Brightwell for 47 yards (tackle by Josh Oliver)",0.0,2.06,6.0,2022,88
2.0,9:15,1.0,10.0,NYG 47,7.0,0.0,Daniel Jones pass complete short middle to Matt Breida for 2 yards (tackle by Brandon Stephens),2.06,1.79,6.0,2022,88
2.0,8:39,2.0,8.0,NYG 49,7.0,0.0,Daniel Jones scrambles left end for 4 yards (tackle by Odafe Oweh),1.79,1.62,6.0,2022,88
2.0,7:59,3.0,4.0,BAL 47,7.0,0.0,"Daniel Jones pass complete to Richie James for no gain (tackle by Kyle Hamilton). Penalty on Darius Slayton: Offensive Pass Interference, 10 yards (accepted) (no play)",1.62,0.3,6.0,2022,88
2.0,7:31,3.0,14.0,NYG 43,7.0,0.0,Daniel Jones pass complete deep left to Darius Slayton for 18 yards (tackle by Patrick Queen),0.3,2.98,6.0,2022,88
2.0,6:54,1.0,10.0,BAL 39,7.0,0.0,Daniel Jones pass complete short right to Matt Breida for 15 yards (tackle by Marcus Peters),2.98,3.97,6.0,2022,88
2.0,6:14,1.0,10.0,BAL 24,7.0,0.0,Saquon Barkley right guard for 3 yards (tackle by Justin Madubuike),3.97,3.84,6.0,2022,88
2.0,5:40,2.0,7.0,BAL 21,7.0,0.0,"Matt Breida left tackle for -5 yards (tackle by Malik Harrison) Penalty on NYG: Illegal Formation, 5 yards (declined)",3.84,2.48,6.0,2022,88
2.0,5:21,3.0,12.0,BAL 26,7.0,0.0,Daniel Jones pass complete short middle to Wan'Dale Robinson for 15 yards (tackle by Geno Stone),2.48,4.84,6.0,2022,88
2.0,4:39,1.0,10.0,BAL 11,7.0,0.0,"Penalty on BAL: Defensive Too Many Men on Field, 5 yards (accepted) (no play)",4.84,5.99,6.0,2022,88
2.0,4:39,1.0,5.0,BAL 6,7.0,0.0,Saquon Barkley up the middle for 1 yard (tackle by Travis Jones and Calais Campbell),5.99,5.28,6.0,2022,88
2.0,3:45,2.0,4.0,BAL 5,7.0,0.0,Daniel Jones pass incomplete short middle intended for Marcus Johnson (defended by Marcus Peters),5.28,4.44,6.0,2022,88
2.0,3:36,3.0,4.0,BAL 5,7.0,6.0,"Daniel Jones pass complete short left to Wan'Dale Robinson for 5 yards, touchdown",4.44,7.0,6.0,2022,88
2.0,3:31,,,BAL 15,7.0,7.0,Graham Gano kicks extra point good,0.0,0.0,6.0,2022,88
2.0,3:31,,,NYG 35,7.0,7.0,"Graham Gano kicks off 65 yards, touchback.",0.0,0.61,6.0,2022,88
2.0,3:31,1.0,10.0,BAL 25,7.0,7.0,Lamar Jackson pass incomplete short middle intended for Devin Duvernay (defended by Dexter Lawrence),0.61,0.06,6.0,2022,88
2.0,3:28,2.0,10.0,BAL 25,7.0,7.0,"Penalty on Morgan Moses: False Start, 5 yards (accepted) (no play)",0.06,-0.61,6.0,2022,88
2.0,3:28,2.0,15.0,BAL 20,7.0,7.0,Lamar Jackson pass complete short middle to Mark Andrews for 16 yards (tackle by Xavier McKinney),-0.61,1.33,6.0,2022,88
2.0,2:56,1.0,10.0,BAL 36,7.0,7.0,Kenyan Drake left tackle for 30 yards (tackle by Fabian Moreau),1.33,3.31,6.0,2022,88
2.0,2:16,1.0,10.0,NYG 34,7.0,7.0,Lamar Jackson pass complete short middle to Mark Andrews for 18 yards (tackle by Fabian Moreau and Xavier McKinney),3.31,4.51,6.0,2022,88
2.0,2:00,1.0,10.0,NYG 16,7.0,7.0,"Lamar Jackson pass complete short right to Josh Oliver for 4 yards (tackle by Julian Love) Replay Assistant challenged the pass completion ruling, and the original play was overturned. Lamar Jackson pass incomplete short right intended for Josh Oliver",4.51,3.9,6.0,2022,88
2.0,1:57,2.0,10.0,NYG 16,7.0,7.0,Lamar Jackson pass incomplete deep left intended for Devin Duvernay,3.9,3.08,6.0,2022,88
2.0,1:53,3.0,10.0,NYG 16,7.0,7.0,Lamar Jackson pass incomplete short left intended for Mark Andrews,3.08,2.38,6.0,2022,88
2.0,1:48,4.0,10.0,NYG 16,10.0,7.0,Justin Tucker 34 yard field goal good,2.38,3.0,6.0,2022,88
2.0,1:45,,,BAL 35,10.0,7.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,6.0,2022,88
2.0,1:45,1.0,10.0,NYG 25,10.0,7.0,Daniel Jones up the middle for 3 yards (tackle by Justin Madubuike),0.61,0.47,6.0,2022,88
2.0,1:25,2.0,7.0,NYG 28,10.0,7.0,Saquon Barkley right tackle for 2 yards (tackle by Calais Campbell and Josh Bynes),0.47,0.04,6.0,2022,88
2.0,1:21,,,,,,Timeout #1 by Baltimore Ravens,,,6.0,2022,88
