Unnamed: 0,ARI,SEA,week,year,game_id
First Downs,15,19,6.0,2022,91
Rush-Yds-TDs,28-144-0,30-136-1,6.0,2022,91
Cmp-Att-Yd-TD-INT,23-37-222-0-1,20-31-197-0-0,6.0,2022,91
Sacked-Yards,6-51,5-37,6.0,2022,91
Net Pass Yards,171,160,6.0,2022,91
Total Yards,315,296,6.0,2022,91
Fumbles-Lost,3-1,2-1,6.0,2022,91
Turnovers,2,1,6.0,2022,91
Penalties-Yards,6-53,6-44,6.0,2022,91
Third Down Conv.,4-16,4-14,6.0,2022,91
Fourth Down Conv.,1-5,0-1,6.0,2022,91
Time of Possession,30:44,29:16,6.0,2022,91
