Quarter,Time,Tm,Detail,ARI,SEA,week,year,game_id
1.0,10:20,Cardinals,Matt Ammendola 23 yard field goal,3,0,6.0,2022,91
,6:41,Seahawks,Jason Myers 39 yard field goal,3,3,6.0,2022,91
2.0,6:05,Seahawks,Jason Myers 27 yard field goal,3,6,6.0,2022,91
,0:00,Seahawks,Jason Myers 34 yard field goal,3,9,6.0,2022,91
3.0,4:11,Seahawks,Jason Myers 32 yard field goal,3,12,6.0,2022,91
,0:54,Cardinals,Chris Banjo fumble recovery in end zone (Matt Ammendola kick failed),9,12,6.0,2022,91
4.0,13:24,Seahawks,Kenneth Walker III 11 yard rush (Jason Myers kick),9,19,6.0,2022,91
