Unnamed: 0,CAR,LAR,week,year,game_id
First Downs,8,22,6.0,2022,90
Rush-Yds-TDs,21-93-0,29-111-2,6.0,2022,90
Cmp-Att-Yd-TD-INT,13-21-119-0-1,26-33-253-1-1,6.0,2022,90
Sacked-Yards,2-9,1-4,6.0,2022,90
Net Pass Yards,110,249,6.0,2022,90
Total Yards,203,360,6.0,2022,90
Fumbles-Lost,0-0,0-0,6.0,2022,90
Turnovers,1,1,6.0,2022,90
Penalties-Yards,3-30,7-49,6.0,2022,90
Third Down Conv.,2-10,6-12,6.0,2022,90
Fourth Down Conv.,0-0,0-0,6.0,2022,90
Time of Possession,22:55,37:05,6.0,2022,90
