Unnamed: 0,DAL,PHI,week,year,game_id
First Downs,21,22,6.0,2022,93
Rush-Yds-TDs,26-134-1,39-136-1,6.0,2022,93
Cmp-Att-Yd-TD-INT,18-38-181-1-3,15-25-155-2-0,6.0,2022,93
Sacked-Yards,0-0,4-23,6.0,2022,93
Net Pass Yards,181,132,6.0,2022,93
Total Yards,315,268,6.0,2022,93
Fumbles-Lost,0-0,1-0,6.0,2022,93
Turnovers,3,0,6.0,2022,93
Penalties-Yards,10-72,2-10,6.0,2022,93
Third Down Conv.,4-10,6-14,6.0,2022,93
Fourth Down Conv.,0-1,1-1,6.0,2022,93
Time of Possession,25:30,34:30,6.0,2022,93
