Quarter,Time,Down,ToGo,Location,CIN,NOR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Saints won the coin toss and deferred, Bengals to receive the opening kickoff.",,,6.0,2022,83
1.0,15:00,,,NOR 35,0.0,0.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,6.0,2022,83
1.0,15:00,1.0,10.0,CIN 25,0.0,0.0,Joe Burrow scrambles left end for 5 yards (tackle by Bradley Roby),0.61,0.74,6.0,2022,83
1.0,14:28,2.0,5.0,CIN 30,0.0,0.0,Joe Mixon left tackle for 4 yards (tackle by Pete Werner),0.74,0.56,6.0,2022,83
1.0,13:42,3.0,1.0,CIN 34,0.0,0.0,Joe Burrow sacked by Demario Davis for -10 yards,0.56,-1.77,6.0,2022,83
1.0,13:04,4.0,11.0,CIN 24,0.0,0.0,"Kevin Huber punts 50 yards, returned by Rashid Shaheed for 6 yards (tackle by Markus Bailey)",-1.77,-1.07,6.0,2022,83
1.0,12:54,1.0,10.0,NOR 32,0.0,0.0,Alvin Kamara left tackle for 1 yard (tackle by Logan Wilson),1.07,0.66,6.0,2022,83
1.0,12:23,2.0,9.0,NOR 33,0.0,0.0,Andy Dalton pass incomplete deep right intended for Rashid Shaheed,0.66,-0.03,6.0,2022,83
1.0,12:16,3.0,9.0,NOR 33,0.0,0.0,Andy Dalton pass incomplete short middle intended for Juwan Johnson,-0.03,-1.18,6.0,2022,83
1.0,12:12,4.0,9.0,NOR 33,0.0,0.0,"Blake Gillikin punts 59 yards, returned by Trent Taylor for 15 yards. Trent Taylor fumbles (forced by Andrew Dowell), recovered by Adam Trautman at CIN-32",-1.18,3.45,6.0,2022,83
1.0,11:58,1.0,10.0,CIN 32,0.0,0.0,Alvin Kamara up the middle for 7 yards (tackle by B.J. Hill and Vonn Bell),3.45,3.85,6.0,2022,83
1.0,11:20,2.0,3.0,CIN 25,0.0,0.0,Taysom Hill pass complete short right to Marquez Callaway for 7 yards (tackle by Chidobe Awuzie and Germaine Pratt),3.85,4.37,6.0,2022,83
1.0,10:39,1.0,10.0,CIN 18,0.0,6.0,"Andy Dalton pass complete short middle to Tre'Quan Smith for 18 yards, touchdown",4.37,7.0,6.0,2022,83
1.0,10:33,,,CIN 15,0.0,7.0,Wil Lutz kicks extra point good,0.0,0.0,6.0,2022,83
1.0,10:33,,,NOR 35,0.0,7.0,"Wil Lutz kicks off 66 yards, returned by Chris Evans for 23 yards (tackle by Zack Baun)",0.0,0.41,6.0,2022,83
1.0,10:28,1.0,10.0,CIN 22,0.0,7.0,Joe Burrow pass complete short left to Hayden Hurst for 9 yards (tackle by Pete Werner),0.41,1.08,6.0,2022,83
1.0,9:54,2.0,1.0,CIN 31,0.0,7.0,Joe Mixon right guard for 3 yards (tackle by Marcus Maye),1.08,1.2,6.0,2022,83
1.0,9:21,1.0,10.0,CIN 34,0.0,7.0,Joe Burrow pass complete short left to Hayden Hurst for 8 yards (tackle by Marcus Maye and Demario Davis),1.2,1.74,6.0,2022,83
1.0,8:40,2.0,2.0,CIN 42,0.0,7.0,Joe Burrow pass incomplete short middle intended for Ja'Marr Chase,1.74,1.03,6.0,2022,83
1.0,8:35,3.0,2.0,CIN 42,0.0,7.0,Joe Burrow pass incomplete deep left intended for Ja'Marr Chase,1.03,-0.59,6.0,2022,83
1.0,8:28,4.0,2.0,CIN 42,0.0,7.0,"Kevin Huber punts 40 yards, fair catch by Marquez Callaway at NO-18",-0.59,-0.04,6.0,2022,83
1.0,8:20,1.0,10.0,NOR 18,0.0,7.0,Alvin Kamara right end for 12 yards (tackle by Zachary Carter and Germaine Pratt),0.04,0.94,6.0,2022,83
1.0,7:40,1.0,10.0,NOR 30,0.0,7.0,Andy Dalton pass incomplete short left intended for Mark Ingram,0.94,0.39,6.0,2022,83
1.0,7:34,2.0,10.0,NOR 30,0.0,7.0,Mark Ingram right guard for 2 yards (tackle by Germaine Pratt and Josh Tupou),0.39,-0.03,6.0,2022,83
1.0,6:53,3.0,8.0,NOR 32,0.0,7.0,Andy Dalton pass incomplete short left intended for Alvin Kamara,-0.03,-1.24,6.0,2022,83
1.0,6:51,4.0,8.0,NOR 32,0.0,7.0,"Blake Gillikin punts 61 yards, returned by Trent Taylor for 18 yards (tackle by Chase Hansen)",-1.24,-0.61,6.0,2022,83
1.0,6:40,1.0,10.0,CIN 25,0.0,7.0,Joe Burrow pass complete short left to Tyler Boyd for 6 yards (tackle by Chris Harris),0.61,0.87,6.0,2022,83
1.0,6:09,2.0,4.0,CIN 31,0.0,7.0,Joe Burrow pass complete short left to Joe Mixon for 6 yards (tackle by Pete Werner),0.87,1.4,6.0,2022,83
1.0,5:33,1.0,10.0,CIN 37,0.0,7.0,Joe Burrow pass complete short right to Tyler Boyd for 12 yards (tackle by Chris Harris),1.4,2.19,6.0,2022,83
1.0,4:59,1.0,10.0,CIN 49,0.0,7.0,Joe Burrow pass complete short right to Ja'Marr Chase for 8 yards (tackle by Marcus Maye),2.19,2.73,6.0,2022,83
1.0,4:24,2.0,2.0,NOR 43,0.0,7.0,Joe Mixon right guard for 5 yards (tackle by Cameron Jordan),2.73,3.05,6.0,2022,83
