Unnamed: 0,MIN,MIA,week,year,game_id
First Downs,11,23,6.0,2022,87
Rush-Yds-TDs,17-78-1,20-73-0,6.0,2022,87
Cmp-Att-Yd-TD-INT,20-30-175-2-0,30-47-418-2-2,6.0,2022,87
Sacked-Yards,3-19,6-33,6.0,2022,87
Net Pass Yards,156,385,6.0,2022,87
Total Yards,234,458,6.0,2022,87
Fumbles-Lost,1-0,2-1,6.0,2022,87
Turnovers,0,3,6.0,2022,87
Penalties-Yards,2-20,10-97,6.0,2022,87
Third Down Conv.,2-12,4-14,6.0,2022,87
Fourth Down Conv.,0-0,1-2,6.0,2022,87
Time of Possession,24:31,35:29,6.0,2022,87
