Unnamed: 0,NWE,CLE,week,year,game_id
First Downs,20,16,6.0,2022,84
Rush-Yds-TDs,29-98-3,18-70-0,6.0,2022,84
Cmp-Att-Yd-TD-INT,24-34-309-2-0,21-45-266-1-2,6.0,2022,84
Sacked-Yards,2-8,4-8,6.0,2022,84
Net Pass Yards,301,258,6.0,2022,84
Total Yards,399,328,6.0,2022,84
Fumbles-Lost,1-1,3-2,6.0,2022,84
Turnovers,1,4,6.0,2022,84
Penalties-Yards,12-92,7-63,6.0,2022,84
Third Down Conv.,7-14,4-15,6.0,2022,84
Fourth Down Conv.,0-0,3-5,6.0,2022,84
Time of Possession,35:05,24:55,6.0,2022,84
