Quarter,Time,Down,ToGo,Location,BUF,KAN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Chiefs won the coin toss and deferred, Bills to receive the opening kickoff.",,,6.0,2022,92
1.0,15:00,,,KAN 35,0.0,0.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,6.0,2022,92
1.0,15:00,1.0,10.0,BUF 25,0.0,0.0,Josh Allen pass complete to Reggie Gilliam for -1 yards (tackle by L'Jarius Sneed),0.61,-0.07,6.0,2022,92
1.0,14:23,2.0,11.0,BUF 24,0.0,0.0,Josh Allen pass complete to Gabriel Davis for 22 yards (tackle by Jaylen Watson),-0.07,1.99,6.0,2022,92
1.0,13:43,1.0,10.0,BUF 46,0.0,0.0,Devin Singletary right end for 9 yards (tackle by Justin Reid),1.99,2.67,6.0,2022,92
1.0,12:59,2.0,1.0,KAN 45,0.0,0.0,Josh Allen pass complete short right to Devin Singletary for 2 yards (tackle by Jaylen Watson),2.67,2.72,6.0,2022,92
1.0,12:18,1.0,10.0,KAN 43,0.0,0.0,Devin Singletary right end for 10 yards (tackle by L'Jarius Sneed and Joshua Williams),2.72,3.38,6.0,2022,92
1.0,11:52,1.0,10.0,KAN 33,0.0,0.0,Devin Singletary right guard for 8 yards (tackle by Nick Bolton),3.38,3.92,6.0,2022,92
1.0,11:16,2.0,2.0,KAN 25,0.0,0.0,Josh Allen pass complete short left to Stefon Diggs for 8 yards (tackle by Leo Chenal and Nick Bolton),3.92,4.44,6.0,2022,92
1.0,10:33,1.0,10.0,KAN 17,0.0,0.0,Josh Allen pass complete short middle to Devin Singletary for 4 yards (tackle by Darius Harris),4.44,4.5,6.0,2022,92
1.0,9:51,2.0,6.0,KAN 13,0.0,0.0,"Josh Allen aborted snap, recovered by Darius Harris at KC-11 and returned for 2 yards",4.5,0.37,6.0,2022,92
1.0,9:47,1.0,10.0,KAN 11,0.0,0.0,Clyde Edwards-Helaire left end for 5 yards (tackle by Tremaine Edmunds),-0.37,-0.3,6.0,2022,92
1.0,9:14,2.0,5.0,KAN 16,0.0,0.0,Patrick Mahomes pass complete short left to Travis Kelce for 11 yards (tackle by Jordan Poyer),-0.3,0.74,6.0,2022,92
1.0,8:47,1.0,10.0,KAN 27,0.0,0.0,Patrick Mahomes pass incomplete short middle intended for Skyy Moore,0.74,0.2,6.0,2022,92
1.0,8:42,2.0,10.0,KAN 27,0.0,0.0,Patrick Mahomes pass complete deep right to Mecole Hardman for 26 yards (tackle by Taron Johnson),0.2,2.46,6.0,2022,92
1.0,8:01,1.0,10.0,BUF 47,0.0,0.0,Patrick Mahomes pass complete short left to Mecole Hardman for 13 yards (tackle by Damar Hamlin),2.46,3.31,6.0,2022,92
1.0,7:28,1.0,10.0,BUF 34,0.0,0.0,Patrick Mahomes pass complete short left to Noah Gray for 3 yards (tackle by Tremaine Edmunds),3.31,3.18,6.0,2022,92
1.0,6:55,2.0,7.0,BUF 31,0.0,0.0,Patrick Mahomes pass complete short right to JuJu Smith-Schuster for 8 yards (tackle by Kaiir Elam),3.18,4.04,6.0,2022,92
1.0,6:22,1.0,10.0,BUF 23,0.0,0.0,Clyde Edwards-Helaire left guard for 8 yards (tackle by Damar Hamlin),4.04,4.75,6.0,2022,92
1.0,5:46,2.0,2.0,BUF 15,0.0,0.0,"Patrick Mahomes pass complete to Marquez Valdes-Scantling for no gain (tackle by Damar Hamlin). Penalty on Creed Humphrey: Ineligible Downfield Pass, 5 yards (accepted) (no play)",4.75,3.9,6.0,2022,92
1.0,5:39,2.0,7.0,BUF 20,0.0,0.0,Patrick Mahomes pass incomplete deep left intended for Travis Kelce (defended by Dane Jackson),3.9,3.2,6.0,2022,92
1.0,5:33,3.0,7.0,BUF 20,0.0,0.0,"Penalty on Von Miller: Defensive Offside, 5 yards (accepted) (no play)",3.2,4.05,6.0,2022,92
1.0,5:33,3.0,2.0,BUF 15,0.0,0.0,Jerick McKinnon up the middle for no gain (tackle by Matt Milano),4.05,2.57,6.0,2022,92
1.0,4:52,4.0,2.0,BUF 15,0.0,0.0,Patrick Mahomes scrambles up the middle for 6 yards (tackle by Taron Johnson),2.57,5.14,6.0,2022,92
1.0,4:14,1.0,9.0,BUF 9,0.0,0.0,Patrick Mahomes pass incomplete short middle,5.14,0.0,6.0,2022,92
1.0,4:10,2.0,10.0,BUF 9,0.0,0.0,Clyde Edwards-Helaire left guard for no gain (tackle by Von Miller),0.0,3.36,6.0,2022,92
1.0,3:28,3.0,9.0,BUF 9,0.0,0.0,Patrick Mahomes pass intended for Marquez Valdes-Scantling is intercepted by Kaiir Elam in end zone and returned for no gain,3.36,-0.28,6.0,2022,92
1.0,3:16,1.0,10.0,BUF 20,0.0,0.0,Josh Allen pass complete deep left to Stefon Diggs for 31 yards (tackle by L'Jarius Sneed),0.28,2.32,6.0,2022,92
1.0,2:38,1.0,10.0,KAN 49,0.0,0.0,Josh Allen pass incomplete short right intended for Khalil Shakir,2.32,1.78,6.0,2022,92
1.0,2:35,2.0,10.0,KAN 49,0.0,0.0,Josh Allen scrambles left end for 9 yards (tackle by Justin Reid),1.78,2.28,6.0,2022,92
1.0,1:51,3.0,1.0,KAN 40,0.0,0.0,Josh Allen left end for 4 yards (tackle by George Karlaftis),2.28,3.18,6.0,2022,92
1.0,1:10,1.0,10.0,KAN 36,0.0,0.0,Josh Allen pass complete short right to Isaiah McKenzie for 5 yards (tackle by Joshua Williams),3.18,3.31,6.0,2022,92
1.0,0:28,2.0,5.0,KAN 31,0.0,0.0,Devin Singletary right guard for 9 yards (tackle by Nick Bolton),3.31,4.11,6.0,2022,92
2.0,13:32,1.0,10.0,KAN 22,0.0,0.0,"Devin Singletary left end for 7 yards (tackle by Frank Clark and Nick Bolton). Penalty on Gabriel Davis: Offensive Holding, 10 yards (accepted)",4.11,3.91,6.0,2022,92
2.0,14:32,1.0,13.0,KAN 25,0.0,0.0,Josh Allen pass incomplete short right,3.91,3.16,6.0,2022,92
2.0,14:25,2.0,13.0,KAN 25,0.0,0.0,James Cook left guard for 4 yards (tackle by Carlos Dunlap),3.16,3.01,6.0,2022,92
2.0,13:41,3.0,9.0,KAN 21,0.0,0.0,Josh Allen pass incomplete short left intended for Isaiah McKenzie (defended by Justin Reid),3.01,2.06,6.0,2022,92
2.0,13:36,4.0,9.0,KAN 21,3.0,0.0,Tyler Bass 39 yard field goal good,2.06,3.0,6.0,2022,92
2.0,13:32,,,BUF 35,3.0,0.0,"Tyler Bass kicks off 62 yards, returned by Isiah Pacheco for 18 yards (tackle by Terrel Bernard and Cameron Lewis)",0.0,0.34,6.0,2022,92
2.0,13:26,1.0,10.0,KAN 21,3.0,0.0,Patrick Mahomes pass complete short left to JuJu Smith-Schuster for 9 yards (tackle by Dane Jackson),0.34,1.02,6.0,2022,92
2.0,12:54,2.0,1.0,KAN 30,3.0,0.0,Clyde Edwards-Helaire left end for 3 yards (tackle by Ed Oliver),1.02,1.14,6.0,2022,92
2.0,12:17,1.0,10.0,KAN 33,3.0,0.0,"Patrick Mahomes pass complete deep left to Travis Kelce for 25 yards (tackle by Damar Hamlin). Penalty on Dane Jackson: Defensive Holding, 5 yards (declined)",1.14,2.79,6.0,2022,92
2.0,12:04,1.0,10.0,BUF 42,3.0,0.0,Patrick Mahomes pass incomplete short right intended for Marquez Valdes-Scantling,2.79,2.24,6.0,2022,92
2.0,11:57,2.0,10.0,BUF 42,3.0,0.0,Patrick Mahomes pass incomplete short right,2.24,1.55,6.0,2022,92
2.0,11:50,3.0,10.0,BUF 42,3.0,0.0,"Patrick Mahomes pass incomplete intended for Mecole Hardman. Penalty on Trey Smith: Offensive Holding, 10 yards (offset) . Penalty on Siran Neal: Defensive Holding, 5 yards (offset) (no play)",1.55,1.55,6.0,2022,92
2.0,11:44,3.0,10.0,BUF 42,3.0,6.0,"Patrick Mahomes pass complete short left to JuJu Smith-Schuster for 42 yards, touchdown",1.55,7.0,6.0,2022,92
2.0,11:31,,,BUF 15,3.0,7.0,Harrison Butker kicks extra point good,0.0,0.0,6.0,2022,92
2.0,11:31,,,KAN 35,3.0,7.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,6.0,2022,92
2.0,11:31,1.0,10.0,BUF 25,3.0,7.0,Devin Singletary right guard for 7 yards (tackle by Derrick Nnadi),0.61,1.01,6.0,2022,92
2.0,11:00,2.0,3.0,BUF 32,3.0,7.0,Devin Singletary up the middle for 2 yards (tackle by Nick Bolton),1.01,0.56,6.0,2022,92
