Quarter,Time,Down,ToGo,Location,ARI,SEA,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Seahawks won the coin toss and deferred, Cardinals to receive the opening kickoff.",,,6.0,2022,91
1.0,15:00,,,SEA 35,0.0,0.0,"Jason Myers kicks off 65 yards, returned by Greg Dortch for 19 yards (tackle by Joey Blount)",0.0,0.15,6.0,2022,91
1.0,14:55,1.0,10.0,ARI 19,0.0,0.0,Kyler Murray pass complete short left to Rondale Moore for 3 yards (tackle by Tariq Woolen),0.15,0.07,6.0,2022,91
1.0,14:21,2.0,7.0,ARI 22,0.0,0.0,Kyler Murray right guard for 3 yards (tackle by Jordyn Brooks),0.07,-0.29,6.0,2022,91
1.0,13:45,3.0,4.0,ARI 25,0.0,0.0,Kyler Murray right guard for 42 yards (tackle by Ryan Neal),-0.29,3.38,6.0,2022,91
1.0,13:03,1.0,10.0,SEA 33,0.0,0.0,Eno Benjamin left guard for 4 yards (tackle by Jordyn Brooks),3.38,3.38,6.0,2022,91
1.0,12:30,2.0,6.0,SEA 29,0.0,0.0,Kyler Murray pass incomplete short left,3.38,2.68,6.0,2022,91
1.0,12:26,3.0,6.0,SEA 29,0.0,0.0,Kyler Murray pass complete short right to Rondale Moore for 26 yards (tackle by Josh Jones),2.68,6.51,6.0,2022,91
1.0,11:39,1.0,3.0,SEA 3,0.0,0.0,Eno Benjamin right guard for 2 yards (tackle by Jordyn Brooks and Myles Adams),6.51,5.91,6.0,2022,91
1.0,11:03,2.0,1.0,SEA 1,0.0,0.0,Kyler Murray right end for -4 yards (tackle by Michael Jackson),5.91,4.26,6.0,2022,91
1.0,10:26,3.0,5.0,SEA 5,0.0,0.0,Kyler Murray pass incomplete short left intended for A.J. Green,4.26,3.01,6.0,2022,91
1.0,10:24,4.0,5.0,SEA 5,3.0,0.0,Matt Ammendola 23 yard field goal good,3.01,3.0,6.0,2022,91
1.0,10:20,,,ARI 35,3.0,0.0,"Matt Ammendola kicks off 65 yards, touchback.",0.0,0.61,6.0,2022,91
1.0,10:20,1.0,10.0,SEA 25,3.0,0.0,"Penalty on Abraham Lucas: False Start, 5 yards (accepted) (no play)",0.61,0.28,6.0,2022,91
1.0,10:20,1.0,15.0,SEA 20,3.0,0.0,Geno Smith pass incomplete short left intended for D.K. Metcalf (defended by Byron Murphy),0.28,-0.61,6.0,2022,91
1.0,10:15,2.0,15.0,SEA 20,3.0,0.0,Geno Smith pass complete short left to Noah Fant for 10 yards (tackle by Byron Murphy and Tanner Vallejo),-0.61,0.04,6.0,2022,91
1.0,9:31,3.0,5.0,SEA 30,3.0,0.0,Kenneth Walker right guard for 17 yards (tackle by Cameron Thomas and Marco Wilson),0.04,2.06,6.0,2022,91
1.0,8:57,1.0,10.0,SEA 47,3.0,0.0,Kenneth Walker right guard for 34 yards (tackle by Jalen Thompson),2.06,4.31,6.0,2022,91
1.0,8:16,1.0,10.0,ARI 19,3.0,0.0,"Geno Smith aborted snap, recovered by Geno Smith at ARI-21 Geno Smith for 4 yards (tackle by Budda Baker)",4.31,4.35,6.0,2022,91
1.0,7:31,2.0,6.0,ARI 15,3.0,0.0,Geno Smith pass incomplete short left intended for D.K. Metcalf,4.35,3.58,6.0,2022,91
1.0,7:26,3.0,6.0,ARI 15,3.0,0.0,Geno Smith sacked by Cameron Thomas for -6 yards,3.58,2.06,6.0,2022,91
1.0,6:46,4.0,12.0,ARI 21,3.0,3.0,Jason Myers 39 yard field goal good,2.06,3.0,6.0,2022,91
1.0,6:41,,,SEA 35,3.0,3.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.61,6.0,2022,91
1.0,6:41,1.0,10.0,ARI 25,3.0,3.0,Eno Benjamin up the middle for 2 yards (tackle by Bryan Mone and Coby Bryant),0.61,0.33,6.0,2022,91
