Quarter,Time,Down,ToGo,Location,NWE,CLE,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Patriots won the coin toss and deferred, Browns to receive the opening kickoff.",,,6.0,2022,84
1.0,15:00,,,NWE 35,0.0,0.0,"Jake Bailey kicks off 65 yards, touchback.",0.0,0.61,6.0,2022,84
1.0,15:00,1.0,10.0,CLE 25,0.0,0.0,Jacoby Brissett pass complete short left to Harrison Bryant for 6 yards (tackle by Kyle Dugger and Adrian Phillips),0.61,0.87,6.0,2022,84
1.0,14:28,2.0,4.0,CLE 31,0.0,0.0,Jacoby Brissett pass deep right intended for Pharaoh Brown is intercepted by Kyle Dugger at NE-36 and returned for no gain (tackle by Pharaoh Brown),0.87,-1.33,6.0,2022,84
1.0,14:21,1.0,10.0,NWE 36,0.0,0.0,Rhamondre Stevenson right guard for 3 yards (tackle by Sione Takitaki),1.33,1.2,6.0,2022,84
1.0,13:44,2.0,7.0,NWE 39,0.0,0.0,Bailey Zappe pass incomplete short left,1.2,0.5,6.0,2022,84
1.0,13:41,3.0,7.0,NWE 39,0.0,0.0,Bailey Zappe pass complete short left to Kendrick Bourne for 17 yards (tackle by John Johnson and Greedy Williams),0.5,2.65,6.0,2022,84
1.0,13:00,1.0,10.0,CLE 44,0.0,0.0,Rhamondre Stevenson left guard for 2 yards (tackle by Alex Wright),2.65,2.38,6.0,2022,84
1.0,12:20,2.0,8.0,CLE 42,0.0,0.0,Rhamondre Stevenson right guard for 4 yards (tackle by Isaac Rochell),2.38,2.21,6.0,2022,84
1.0,12:20,3.0,4.0,CLE 38,0.0,0.0,"Penalty on Trent Brown: False Start, 5 yards (accepted) (no play)",2.21,1.55,6.0,2022,84
1.0,11:21,3.0,9.0,CLE 43,0.0,0.0,Bailey Zappe pass complete deep left to DeVante Parker for 29 yards (tackle by Martin Emerson),1.55,4.65,6.0,2022,84
1.0,10:37,1.0,10.0,CLE 14,0.0,0.0,Rhamondre Stevenson right guard for 1 yard (tackle by Greg Newsome and Sione Takitaki),4.65,4.16,6.0,2022,84
1.0,9:57,2.0,9.0,CLE 13,0.0,0.0,Bailey Zappe pass complete short right to Rhamondre Stevenson for 7 yards (tackle by Jacob Phillips),4.16,4.73,6.0,2022,84
1.0,9:57,3.0,2.0,CLE 6,0.0,0.0,"Penalty on Isaiah Wynn: False Start, 5 yards (accepted) (no play)",4.73,3.62,6.0,2022,84
1.0,8:55,3.0,7.0,CLE 11,0.0,0.0,"Bailey Zappe pass incomplete intended for Jakobi Meyers. Penalty on Greg Newsome: Defensive Pass Interference, 10 yards (accepted) (no play)",3.62,6.97,6.0,2022,84
1.0,8:51,1.0,1.0,CLE 1,0.0,0.0,Rhamondre Stevenson left guard for no gain (tackle by John Johnson and Myles Garrett),6.97,5.91,6.0,2022,84
1.0,8:15,2.0,1.0,CLE 1,0.0,0.0,Rhamondre Stevenson right guard for no gain (tackle by Jordan Elliott),5.91,5.17,6.0,2022,84
1.0,7:40,3.0,1.0,CLE 1,0.0,0.0,Bailey Zappe pass incomplete short right intended for Hunter Henry. Penalty on Hunter Henry: Illegal Touch Pass (accepted),5.17,3.55,6.0,2022,84
1.0,7:34,4.0,1.0,CLE 1,3.0,0.0,Nick Folk 19 yard field goal good,3.55,3.0,6.0,2022,84
1.0,7:31,,,NWE 35,3.0,0.0,"Jake Bailey kicks off 67 yards, returned by Chester Rogers for 27 yards (tackle by Raekwon McMillan)",0.0,0.61,6.0,2022,84
1.0,7:27,1.0,10.0,CLE 25,3.0,0.0,Nick Chubb left tackle for 8 yards (tackle by Devin McCourty and Kyle Dugger),0.61,1.14,6.0,2022,84
1.0,6:49,2.0,2.0,CLE 33,3.0,0.0,Nick Chubb left tackle for 7 yards (tackle by Jahlani Tavai and Kyle Dugger),1.14,1.6,6.0,2022,84
1.0,6:06,1.0,10.0,CLE 40,3.0,0.0,Jacoby Brissett pass incomplete short left intended for Amari Cooper (defended by Adrian Phillips),1.6,1.05,6.0,2022,84
1.0,6:01,2.0,10.0,CLE 40,3.0,0.0,Nick Chubb right guard for no gain (tackle by Carl Davis),1.05,0.37,6.0,2022,84
1.0,5:22,3.0,10.0,CLE 40,3.0,0.0,Jacoby Brissett pass complete deep left to David Njoku for 33 yards,0.37,3.78,6.0,2022,84
1.0,5:03,1.0,10.0,NWE 27,3.0,0.0,Donovan Peoples-Jones right end for 2 yards (tackle by Kyle Dugger),3.78,3.5,6.0,2022,84
1.0,4:25,2.0,8.0,NWE 25,3.0,0.0,Jacoby Brissett pass complete short right to David Njoku for 4 yards (tackle by Kyle Dugger),3.5,3.34,6.0,2022,84
1.0,3:47,3.0,4.0,NWE 21,3.0,0.0,Kareem Hunt right guard for no gain (tackle by Kyle Dugger and Jalen Mills),3.34,2.16,6.0,2022,84
1.0,3:04,4.0,3.0,NWE 21,3.0,3.0,Cade York 39 yard field goal good,2.16,3.0,6.0,2022,84
1.0,3:00,,,CLE 35,3.0,3.0,"Cade York kicks off 63 yards, returned by Marcus Jones for 20 yards (tackle by A.J. Green)",0.0,0.41,6.0,2022,84
1.0,2:55,1.0,10.0,NWE 22,3.0,3.0,Bailey Zappe pass complete short right to DeVante Parker for 14 yards (tackle by Martin Emerson),0.41,1.33,6.0,2022,84
1.0,2:19,1.0,10.0,NWE 36,3.0,3.0,"Rhamondre Stevenson left guard for no gain (tackle by Grant Delpit). Penalty on Jakobi Meyers: Offensive Illegal Block Above the Waist, 10 yards (accepted) (no play)",1.33,0.67,6.0,2022,84
1.0,1:42,1.0,20.0,NWE 26,3.0,3.0,"Penalty on Bailey Zappe: Delay of Game, 5 yards (accepted) (no play)",0.67,0.34,6.0,2022,84
1.0,1:10,1.0,25.0,NWE 21,3.0,3.0,Bailey Zappe pass complete short left to Jakobi Meyers for 11 yards (tackle by Martin Emerson),0.34,0.25,6.0,2022,84
1.0,0:54,2.0,14.0,NWE 32,3.0,3.0,"Bailey Zappe sacked by Myles Garrett for no gain. Bailey Zappe fumbles (forced by Myles Garrett), recovered by John Johnson at NE-38 Replay Assistant challenged the fumble ruling, and the play was upheld.",0.25,-3.05,6.0,2022,84
1.0,0:47,1.0,10.0,NWE 38,3.0,3.0,Jacoby Brissett pass complete short left to Pharaoh Brown for 11 yards (tackle by Kyle Dugger and Jahlani Tavai),3.05,3.78,6.0,2022,84
1.0,0:15,1.0,10.0,NWE 27,3.0,3.0,Nick Chubb left tackle for 3 yards (tackle by Christian Barmore),3.78,3.64,6.0,2022,84
2.0,15:00,2.0,7.0,NWE 24,3.0,3.0,Nick Chubb left guard for 1 yard (tackle by Christian Barmore),3.64,3.07,6.0,2022,84
2.0,14:22,3.0,6.0,NWE 23,3.0,3.0,Jacoby Brissett pass complete short right to Harrison Bryant for 5 yards (tackle by Adrian Phillips),3.07,2.4,6.0,2022,84
2.0,14:00,4.0,1.0,NWE 18,3.0,3.0,Jacoby Brissett right guard for no gain (tackle by Matt Judon),2.4,-0.04,6.0,2022,84
2.0,13:56,1.0,10.0,NWE 18,3.0,3.0,Bailey Zappe pass complete short right to Rhamondre Stevenson for 3 yards (tackle by Jacob Phillips),0.04,0.01,6.0,2022,84
2.0,13:21,2.0,7.0,NWE 21,3.0,3.0,Rhamondre Stevenson right guard for 5 yards (tackle by Alex Wright),0.01,-0.14,6.0,2022,84
2.0,12:38,3.0,2.0,NWE 26,3.0,3.0,"Bailey Zappe pass incomplete deep right intended for Jakobi Meyers. Penalty on Greedy Williams: Defensive Pass Interference, 18 yards (accepted) (no play)",-0.14,1.86,6.0,2022,84
2.0,12:32,1.0,10.0,NWE 44,3.0,3.0,Tyquan Thornton left tackle for -2 yards (tackle by Myles Garrett and Jeremiah Owusu-Koramoah),1.86,1.05,6.0,2022,84
2.0,11:50,2.0,12.0,NWE 42,3.0,3.0,Bailey Zappe pass incomplete deep left intended for DeVante Parker,1.05,0.37,6.0,2022,84
2.0,11:45,3.0,12.0,NWE 42,3.0,3.0,Bailey Zappe pass incomplete short right intended for Hunter Henry,0.37,-0.59,6.0,2022,84
2.0,11:41,4.0,12.0,NWE 42,3.0,3.0,Jake Bailey punts 45 yards out of bounds,-0.59,0.32,6.0,2022,84
2.0,11:35,1.0,10.0,CLE 13,3.0,3.0,Nick Chubb right guard for 2 yards (tackle by Deatrich Wise),-0.32,-0.57,6.0,2022,84
2.0,10:58,2.0,8.0,CLE 15,3.0,3.0,Jacoby Brissett pass complete short middle to Donovan Peoples-Jones for 12 yards (tackle by Jack Jones),-0.57,0.74,6.0,2022,84
2.0,10:19,1.0,10.0,CLE 27,3.0,3.0,Nick Chubb left tackle for 6 yards (tackle by Anfernee Jennings),0.74,1.01,6.0,2022,84
2.0,9:30,2.0,4.0,CLE 33,3.0,3.0,"Penalty on Carl Davis: Encroachment, 5 yards (accepted) (no play)",1.01,1.47,6.0,2022,84
2.0,9:23,1.0,10.0,CLE 38,3.0,3.0,Jacoby Brissett pass complete short right to Pharaoh Brown for 10 yards (tackle by Ja'Whaun Bentley and Jahlani Tavai),1.47,2.13,6.0,2022,84
2.0,8:39,1.0,10.0,CLE 48,3.0,3.0,Nick Chubb left tackle for 3 yards (tackle by Kyle Dugger),2.13,1.99,6.0,2022,84
2.0,8:09,2.0,7.0,NWE 49,3.0,3.0,Jacoby Brissett pass incomplete short right,1.99,1.29,6.0,2022,84
2.0,8:03,3.0,7.0,NWE 49,3.0,3.0,Jacoby Brissett pass incomplete deep left intended for Amari Cooper,1.29,0.0,6.0,2022,84
2.0,7:58,4.0,7.0,NWE 49,3.0,3.0,"Corey Bojorquez punts 44 yards, returned by Marcus Jones for 8 yards (tackle by John Johnson and Jordan Kunaszyk)",0.0,0.32,6.0,2022,84
2.0,7:48,1.0,10.0,NWE 13,3.0,3.0,Bailey Zappe pass complete short right to Hunter Henry for 12 yards (tackle by Jacob Phillips and Grant Delpit),-0.32,0.61,6.0,2022,84
2.0,7:11,1.0,10.0,NWE 25,3.0,3.0,Bailey Zappe pass complete deep left to Jakobi Meyers for 20 yards (tackle by Martin Emerson),0.61,1.93,6.0,2022,84
2.0,6:31,1.0,10.0,NWE 45,3.0,3.0,Bailey Zappe pass complete short right to Jakobi Meyers for 2 yards (tackle by Greg Newsome),1.93,1.65,6.0,2022,84
2.0,5:55,2.0,8.0,NWE 47,3.0,3.0,"Penalty on Jakobi Meyers: False Start, 5 yards (accepted) (no play)",1.65,0.98,6.0,2022,84
2.0,5:35,2.0,13.0,NWE 42,3.0,3.0,Bailey Zappe pass complete short left to DeVante Parker for 14 yards (tackle by Jacob Phillips),0.98,2.65,6.0,2022,84
2.0,4:59,1.0,10.0,CLE 44,3.0,3.0,Rhamondre Stevenson right guard for 1 yard (tackle by Greg Newsome and Jeremiah Owusu-Koramoah),2.65,2.25,6.0,2022,84
2.0,4:22,2.0,9.0,CLE 43,3.0,3.0,Bailey Zappe pass complete short left to Tyquan Thornton for 12 yards (tackle by Grant Delpit),2.25,3.51,6.0,2022,84
2.0,3:40,1.0,10.0,CLE 31,3.0,3.0,Bailey Zappe pass incomplete short right,3.51,2.97,6.0,2022,84
2.0,3:34,,,,,,Timeout #1 by New England Patriots,,,6.0,2022,84
2.0,3:34,2.0,10.0,CLE 31,3.0,3.0,Bailey Zappe pass incomplete short left intended for DeVante Parker (defended by Martin Emerson),2.97,2.28,6.0,2022,84
2.0,3:30,3.0,10.0,CLE 31,9.0,3.0,"Rhamondre Stevenson left guard for 31 yards, touchdown",2.28,7.0,6.0,2022,84
2.0,3:23,,,CLE 15,10.0,3.0,Nick Folk kicks extra point good,0.0,0.0,6.0,2022,84
2.0,3:23,,,NWE 35,10.0,3.0,"Jake Bailey kicks off 63 yards, returned by Chester Rogers for 27 yards (tackle by Raekwon McMillan)",0.0,0.87,6.0,2022,84
2.0,3:17,1.0,10.0,CLE 29,10.0,3.0,Jacoby Brissett pass complete short right to Donovan Peoples-Jones for 3 yards (tackle by Jalen Mills),0.87,0.73,6.0,2022,84
2.0,2:46,2.0,7.0,CLE 32,10.0,3.0,Kareem Hunt left guard for 2 yards (tackle by Deatrich Wise),0.73,0.3,6.0,2022,84
2.0,2:00,3.0,5.0,CLE 34,10.0,3.0,Jacoby Brissett pass complete to Amari Cooper for 7 yards (tackle by Devin McCourty),0.3,1.66,6.0,2022,84
2.0,1:30,1.0,10.0,CLE 41,10.0,3.0,Jacoby Brissett pass incomplete short right,1.66,1.12,6.0,2022,84
2.0,1:22,2.0,10.0,CLE 41,10.0,3.0,Jacoby Brissett pass incomplete short right intended for David Njoku (defended by Kyle Dugger),1.12,0.43,6.0,2022,84
2.0,1:18,3.0,10.0,CLE 41,10.0,3.0,"Jacoby Brissett pass incomplete short left intended for Amari Cooper. Penalty on Jalen Mills: Defensive Pass Interference, 21 yards (accepted) (no play)",0.43,3.05,6.0,2022,84
2.0,1:13,1.0,10.0,NWE 38,10.0,3.0,Kareem Hunt right tackle for 9 yards (tackle by Matt Judon and Devin McCourty),3.05,3.72,6.0,2022,84
2.0,0:42,,,,,,Timeout #1 by Cleveland Browns,,,6.0,2022,84
2.0,0:42,2.0,1.0,NWE 29,10.0,3.0,Jacoby Brissett pass incomplete deep left intended for Amari Cooper,3.72,3.01,6.0,2022,84
2.0,0:36,3.0,1.0,NWE 29,10.0,3.0,Jacoby Brissett pass incomplete short left intended for Amari Cooper,3.01,1.62,6.0,2022,84
