Tm,Total,Offense Tot,Offense Pass,Offense Rush,Offense TOvr,Defense Tot,Defense Pass,Defense Rush,Defense TOvr,Special Teams Tot,Special Teams KO,Special Teams KR,Special Teams P,Special Teams PR,Special Teams FG/XP,week,year,game_id
Cardinals,-10.0,-14.01,-10.5,-2.18,-2.31,8.22,0.38,6.76,4.51,-5.25,-1.83,2.59,1.2,-4.64,-2.57,6.0,2022,91
Seahawks,10.0,-8.22,-0.38,-6.76,-4.51,14.01,10.5,2.18,2.31,5.25,-2.59,1.83,4.64,-1.2,2.57,6.0,2022,91
