Quarter,Time,Down,ToGo,Location,CAR,LAR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Rams won the coin toss and deferred, Panthers to receive the opening kickoff.",,,6.0,2022,90
1.0,15:00,,,LAR 35,0.0,0.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,6.0,2022,90
1.0,15:00,1.0,10.0,CAR 25,0.0,0.0,Christian McCaffrey left tackle for 6 yards (tackle by Marquise Copeland and Aaron Donald),0.61,0.87,6.0,2022,90
1.0,14:21,2.0,4.0,CAR 31,0.0,0.0,P.J. Walker pass complete short right to Christian McCaffrey for 16 yards (tackle by Bobby Wagner),0.87,2.06,6.0,2022,90
1.0,13:36,1.0,10.0,CAR 47,0.0,0.0,P.J. Walker sacked by Marquise Copeland for no gain,2.06,1.52,6.0,2022,90
1.0,12:54,2.0,10.0,CAR 47,0.0,0.0,Christian McCaffrey left tackle for 4 yards (tackle by Justin Hollins and Taylor Rapp),1.52,1.36,6.0,2022,90
1.0,12:09,3.0,6.0,LAR 49,0.0,0.0,Christian McCaffrey left tackle for 14 yards (tackle by Derion Kendrick),1.36,3.25,6.0,2022,90
1.0,11:36,1.0,10.0,LAR 35,0.0,0.0,D'Onta Foreman right guard for 2 yards (tackle by A'Shawn Robinson),3.25,2.97,6.0,2022,90
1.0,10:59,2.0,8.0,LAR 33,0.0,0.0,P.J. Walker pass complete short left to Christian McCaffrey for 11 yards (tackle by Taylor Rapp),2.97,4.11,6.0,2022,90
1.0,10:28,1.0,10.0,LAR 22,0.0,0.0,P.J. Walker pass incomplete short right intended for Shi Smith,4.11,3.56,6.0,2022,90
1.0,10:25,2.0,10.0,LAR 22,0.0,0.0,"P.J. Walker pass complete short left to Chuba Hubbard for 1 yard (tackle by A'Shawn Robinson). Penalty on Ikem Ekwonu: Offensive Illegal Block Above the Waist, 10 yards (accepted)",3.56,2.35,6.0,2022,90
1.0,10:01,2.0,19.0,LAR 31,0.0,0.0,Christian McCaffrey right tackle for 3 yards (tackle by Nick Scott and Taylor Rapp),2.35,2.08,6.0,2022,90
1.0,9:21,3.0,16.0,LAR 28,0.0,0.0,P.J. Walker pass complete short left to Christian McCaffrey for 4 yards (tackle by Bobby Wagner),2.08,1.87,6.0,2022,90
1.0,8:42,4.0,12.0,LAR 24,3.0,0.0,Eddy Pineiro 42 yard field goal good,1.87,3.0,6.0,2022,90
1.0,8:38,,,CAR 35,3.0,0.0,"Eddy Pineiro kicks off 52 yards, returned by Michael Hoecht for 22 yards (tackle by Stephen Sullivan)",0.0,1.27,6.0,2022,90
1.0,8:32,1.0,10.0,LAR 35,3.0,0.0,Darrell Henderson up the middle for 4 yards (tackle by Juston Burris and Yetur Gross-Matos),1.27,1.26,6.0,2022,90
1.0,7:49,2.0,6.0,LAR 39,3.0,0.0,Matthew Stafford pass complete short left to Cooper Kupp for 7 yards (tackle by Myles Hartsfield),1.26,1.99,6.0,2022,90
1.0,7:04,1.0,10.0,LAR 46,3.0,0.0,Matthew Stafford pass complete short left to Cooper Kupp for 2 yards (tackle by Cory Littleton),1.99,1.72,6.0,2022,90
