Unnamed: 0,BUF,KAN,week,year,game_id
First Downs,26,23,6.0,2022,92
Rush-Yds-TDs,31-125-0,18-68-0,6.0,2022,92
Cmp-Att-Yd-TD-INT,27-40-329-3-0,25-40-338-2-2,6.0,2022,92
Sacked-Yards,1-11,3-19,6.0,2022,92
Net Pass Yards,318,319,6.0,2022,92
Total Yards,443,387,6.0,2022,92
Fumbles-Lost,1-1,1-0,6.0,2022,92
Turnovers,1,2,6.0,2022,92
Penalties-Yards,7-35,5-58,6.0,2022,92
Third Down Conv.,4-11,4-11,6.0,2022,92
Fourth Down Conv.,1-3,1-1,6.0,2022,92
Time of Possession,31:28,28:32,6.0,2022,92
