Unnamed: 0,DEN,LAC,week,year,game_id
First Downs,13,24,6.0,2022,94
Rush-Yds-TDs,23-98-0,24-73-1,6.0,2022,94
Cmp-Att-Yd-TD-INT,15-28-188-1-0,37-57-238-0-1,6.0,2022,94
Sacked-Yards,4-28,2-14,6.0,2022,94
Net Pass Yards,160,224,6.0,2022,94
Total Yards,258,297,6.0,2022,94
Fumbles-Lost,3-1,0-0,6.0,2022,94
Turnovers,1,1,6.0,2022,94
Penalties-Yards,10-151,9-89,6.0,2022,94
Third Down Conv.,4-14,11-22,6.0,2022,94
Fourth Down Conv.,0-0,1-3,6.0,2022,94
Time of Possession,28:33,38:49,6.0,2022,94
