Quarter,Time,Down,ToGo,Location,MIN,MIA,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Dolphins won the coin toss and deferred, Vikings to receive the opening kickoff.",,,6.0,2022,87
1.0,15:00,,,MIA 35,0.0,0.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,6.0,2022,87
1.0,15:00,1.0,10.0,MIN 25,0.0,0.0,Kirk Cousins pass complete short left to K.J. Osborn for 8 yards (tackle by Nik Needham and Melvin Ingram),0.61,1.14,6.0,2022,87
1.0,14:26,2.0,2.0,MIN 33,0.0,0.0,Dalvin Cook left tackle for no gain (tackle by Andrew Van Ginkel and Raekwon Davis),1.14,0.43,6.0,2022,87
1.0,13:46,3.0,2.0,MIN 33,0.0,0.0,Kirk Cousins pass incomplete short right intended for Justin Jefferson,0.43,-1.18,6.0,2022,87
1.0,13:40,4.0,2.0,MIN 33,0.0,0.0,"Ryan Wright punts 42 yards, recovered by Jaelan Phillips at MIA-25",-1.18,-0.61,6.0,2022,87
1.0,13:30,1.0,10.0,MIA 25,0.0,0.0,Skylar Thompson pass complete short left to Alec Ingold for 8 yards (tackle by Jordan Hicks),0.61,1.14,6.0,2022,87
1.0,12:57,2.0,2.0,MIA 33,0.0,0.0,Skylar Thompson pass complete short right to Tyreek Hill for 2 yards (tackle by Camryn Bynum),1.14,1.27,6.0,2022,87
1.0,12:23,1.0,10.0,MIA 35,0.0,0.0,Raheem Mostert left guard for 4 yards (tackle by Jonathan Bullard and Dalvin Tomlinson),1.27,1.26,6.0,2022,87
1.0,11:42,2.0,6.0,MIA 39,0.0,0.0,Raheem Mostert right guard for -1 yards (tackle by Eric Kendricks and Za'Darius Smith),1.26,0.43,6.0,2022,87
1.0,11:07,3.0,7.0,MIA 38,0.0,0.0,Skylar Thompson scrambles left end for 9 yards (tackle by Cameron Dantzler),0.43,2.06,6.0,2022,87
1.0,10:23,1.0,10.0,MIA 47,0.0,0.0,Skylar Thompson pass incomplete short left intended for River Cracraft,2.06,1.52,6.0,2022,87
1.0,10:14,2.0,10.0,MIA 47,0.0,0.0,Skylar Thompson pass complete short middle to Mike Gesicki for 18 yards (tackle by Camryn Bynum),1.52,3.25,6.0,2022,87
1.0,9:30,1.0,10.0,MIN 35,0.0,0.0,Chase Edmonds left tackle for 1 yard (tackle by Eric Kendricks),3.25,2.84,6.0,2022,87
1.0,8:49,2.0,9.0,MIN 34,0.0,0.0,Skylar Thompson pass incomplete short right intended for Tanner Conner (defended by Chandon Sullivan),2.84,2.15,6.0,2022,87
1.0,8:48,3.0,9.0,MIN 34,0.0,0.0,Skylar Thompson sacked by Patrick Jones for -8 yards,2.15,0.46,6.0,2022,87
1.0,8:07,4.0,17.0,MIN 42,0.0,0.0,Thomas Morstead punts 36 yards downed by Justin Bethel,0.46,0.38,6.0,2022,87
1.0,7:59,1.0,10.0,MIN 6,0.0,0.0,Dalvin Cook right guard for 1 yard (tackle by Brandon Jones),-0.38,-0.71,6.0,2022,87
1.0,7:16,2.0,9.0,MIN 7,0.0,0.0,Dalvin Cook left end for no gain (tackle by Jerome Baker),-0.71,-1.3,6.0,2022,87
1.0,6:39,3.0,9.0,MIN 7,0.0,0.0,Kirk Cousins pass incomplete short left,-1.3,-2.49,6.0,2022,87
1.0,6:33,4.0,9.0,MIN 7,0.0,0.0,"Ryan Wright punts 73 yards, returned by Tyreek Hill for -2 yards (tackle by Josh Metellus)",-2.49,-0.04,6.0,2022,87
1.0,6:20,1.0,10.0,MIA 18,0.0,0.0,Skylar Thompson pass complete deep right to Jaylen Waddle for 30 yards (tackle by Eric Kendricks),0.04,2.13,6.0,2022,87
1.0,5:45,1.0,10.0,MIA 48,0.0,0.0,Raheem Mostert left end for 16 yards (tackle by Harrison Smith),2.13,3.18,6.0,2022,87
1.0,5:06,1.0,10.0,MIN 36,0.0,0.0,Skylar Thompson pass complete short middle to Tyreek Hill for 9 yards (tackle by Jordan Hicks),3.18,3.85,6.0,2022,87
1.0,4:24,2.0,1.0,MIN 27,0.0,0.0,Raheem Mostert up the middle for 3 yards (tackle by Jordan Hicks and Eric Kendricks),3.85,3.97,6.0,2022,87
1.0,3:45,1.0,10.0,MIN 24,0.0,0.0,"Penalty on Robert Hunt: False Start, 5 yards (accepted) (no play)",3.97,3.64,6.0,2022,87
1.0,3:24,1.0,15.0,MIN 29,0.0,0.0,"Skylar Thompson pass complete to Trent Sherfield for no gain. Penalty on Connor Williams: Ineligible Downfield Pass, 5 yards (accepted) (no play)",3.64,3.31,6.0,2022,87
1.0,2:57,1.0,20.0,MIN 34,0.0,0.0,"Skylar Thompson pass complete to River Cracraft for no gain. Penalty on Liam Eichenberg: Offensive Holding, 10 yards (accepted) (no play)",3.31,2.65,6.0,2022,87
1.0,2:20,1.0,30.0,MIN 44,0.0,0.0,Skylar Thompson pass complete short middle to Jaylen Waddle for 18 yards (tackle by Harrison Smith),2.65,3.16,6.0,2022,87
1.0,1:37,2.0,12.0,MIN 26,0.0,0.0,"Skylar Thompson pass complete to Tyreek Hill for no gain. Penalty on Alec Ingold: Offensive Pass Interference, 10 yards (accepted) (no play)",3.16,1.81,6.0,2022,87
1.0,1:08,2.0,22.0,MIN 36,0.0,0.0,Skylar Thompson pass incomplete short right intended for Tanner Conner,1.81,1.16,6.0,2022,87
1.0,1:04,3.0,22.0,MIN 36,0.0,0.0,"Skylar Thompson pass complete short left to Jaylen Waddle for 4 yards (tackle by Patrick Jones and Cameron Dantzler). Penalty on Trent Sherfield: Offensive Holding, 10 yards (accepted)",1.16,0.37,6.0,2022,87
1.0,0:34,3.0,28.0,MIN 42,0.0,0.0,Skylar Thompson pass incomplete short right intended for Tyreek Hill,0.37,0.46,6.0,2022,87
1.0,0:31,4.0,28.0,MIN 42,0.0,0.0,"Thomas Morstead punts 42 yards, touchback.",0.46,-0.28,6.0,2022,87
1.0,0:23,1.0,10.0,MIN 20,0.0,0.0,Kirk Cousins pass incomplete short right intended for Adam Thielen (defended by Xavien Howard),0.28,-0.27,6.0,2022,87
1.0,0:16,2.0,10.0,MIN 20,0.0,0.0,Kirk Cousins pass complete short right to K.J. Osborn for 3 yards (tackle by Xavien Howard),-0.27,-0.56,6.0,2022,87
2.0,15:00,3.0,7.0,MIN 23,0.0,0.0,Kirk Cousins pass incomplete short middle intended for K.J. Osborn (defended by Brandon Jones),-0.56,-1.83,6.0,2022,87
