Quarter,Time,Down,ToGo,Location,JAX,IND,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Jaguars won the coin toss and deferred, Colts to receive the opening kickoff.",,,6.0,2022,85
1.0,15:00,,,JAX 35,0.0,0.0,"Riley Patterson kicks off 65 yards, returned by Isaiah Rodgers for 14 yards (tackle by Ty Summers)",0.0,-0.28,6.0,2022,85
1.0,14:53,1.0,10.0,IND 14,0.0,0.0,Matt Ryan pass incomplete short left intended for Alec Pierce (defended by Tyson Campbell),-0.28,-0.75,6.0,2022,85
1.0,14:49,2.0,10.0,IND 14,0.0,0.0,Matt Ryan pass complete short right to Deon Jackson for 20 yards (tackle by Devin Lloyd),-0.75,1.2,6.0,2022,85
1.0,14:26,1.0,10.0,IND 34,0.0,0.0,Matt Ryan pass complete short left to Parris Campbell for 8 yards (tackle by Andre Cisco and Shaquill Griffin),1.2,1.74,6.0,2022,85
1.0,14:02,2.0,2.0,IND 42,0.0,0.0,Matt Ryan pass complete short left to Michael Pittman for 3 yards (tackle by Tyson Campbell),1.74,1.93,6.0,2022,85
1.0,13:23,1.0,10.0,IND 45,0.0,0.0,"Matt Ryan pass incomplete short left intended for Parris Campbell. Penalty on Braden Smith: Offensive Holding, 10 yards (accepted) (no play)",1.93,1.27,6.0,2022,85
1.0,13:23,1.0,20.0,IND 35,0.0,0.0,Matt Ryan pass complete short left to Michael Pittman for 10 yards (tackle by Darious Williams),1.27,1.38,6.0,2022,85
1.0,12:58,2.0,10.0,IND 45,0.0,0.0,Matt Ryan pass complete short left to Michael Pittman for 3 yards (tackle by Tyson Campbell),1.38,1.09,6.0,2022,85
1.0,12:31,3.0,7.0,IND 48,0.0,0.0,Matt Ryan pass complete short left to Deon Jackson for 4 yards (tackle by Devin Lloyd),1.09,0.07,6.0,2022,85
1.0,12:18,4.0,3.0,JAX 48,0.0,0.0,"Matt Haack punts 33 yards, fair catch by Jamal Agnew at JAC-15",0.07,0.22,6.0,2022,85
1.0,12:11,1.0,10.0,JAX 15,0.0,0.0,Trevor Lawrence pass complete short right to Christian Kirk for 9 yards (tackle by Stephon Gilmore and Bobby Okereke),-0.22,0.62,6.0,2022,85
